# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.834693908691406250e-01 6.019549369812011719e-01 1.086552381515502930e+00
1.000000000000000000e+03 8.192961104214191437e-03 8.171696215867996216e-03 1.265974044799804688e-01
2.000000000000000000e+03 5.934173706918954849e-03 6.285277195274829865e-03 1.110275834798812866e-01
3.000000000000000000e+03 5.441380199044942856e-03 5.852598696947097778e-03 1.071378812193870544e-01
4.000000000000000000e+03 5.081967916339635849e-03 5.619922187179327011e-03 1.049865931272506714e-01
5.000000000000000000e+03 4.864901304244995117e-03 5.378730595111846924e-03 1.027090176939964294e-01
6.000000000000000000e+03 4.790389910340309143e-03 5.270172841846942902e-03 1.016672551631927490e-01
7.000000000000000000e+03 4.763355944305658340e-03 5.234089680016040802e-03 1.013186201453208923e-01
8.000000000000000000e+03 4.751909058541059494e-03 5.242205690592527390e-03 1.013971343636512756e-01
9.000000000000000000e+03 4.744280595332384109e-03 5.274136550724506378e-03 1.017054840922355652e-01
1.000000000000000000e+04 4.737296141684055328e-03 5.307879298925399780e-03 1.020303070545196533e-01
1.100000000000000000e+04 4.726995248347520828e-03 5.339172668755054474e-03 1.023306325078010559e-01
1.200000000000000000e+04 4.733503330498933792e-03 5.325928330421447754e-03 1.022036373615264893e-01
1.300000000000000000e+04 4.702053964138031006e-03 5.362697876989841461e-03 1.025558263063430786e-01
1.400000000000000000e+04 4.690027330070734024e-03 5.356466397643089294e-03 1.024962291121482849e-01
1.500000000000000000e+04 4.668937530368566513e-03 5.324924364686012268e-03 1.021939963102340698e-01
1.600000000000000000e+04 4.630659706890583038e-03 5.282444879412651062e-03 1.017855554819107056e-01
1.700000000000000000e+04 4.559006541967391968e-03 5.249457899481058121e-03 1.014672517776489258e-01
1.800000000000000000e+04 4.389951936900615692e-03 4.972274415194988251e-03 9.875207394361495972e-02
1.900000000000000000e+04 4.308287985622882843e-03 4.792737774550914764e-03 9.695283323526382446e-02
2.000000000000000000e+04 4.045601468533277512e-03 4.284390248358249664e-03 9.166703373193740845e-02
2.100000000000000000e+04 3.167800139635801315e-03 3.704453585669398308e-03 8.523751050233840942e-02
2.200000000000000000e+04 2.131655812263488770e-03 2.731726970523595810e-03 7.319600135087966919e-02
2.300000000000000000e+04 1.910259248688817024e-03 2.640460152179002762e-03 7.196287065744400024e-02
2.400000000000000000e+04 1.746497233398258686e-03 2.566809998825192451e-03 7.095214724540710449e-02
2.500000000000000000e+04 1.815047580748796463e-03 2.627362497150897980e-03 7.178416848182678223e-02
2.600000000000000000e+04 1.606386504136025906e-03 2.462750766426324844e-03 6.949906051158905029e-02
2.700000000000000000e+04 1.299748313613235950e-03 2.064368687570095062e-03 6.363005936145782471e-02
2.800000000000000000e+04 4.866427043452858925e-04 1.147928298451006413e-03 4.744888842105865479e-02
2.900000000000000000e+04 1.347930083284154534e-04 8.521525887772440910e-04 4.088155180215835571e-02
3.000000000000000000e+04 6.786068843211978674e-05 8.261756156571209431e-04 4.025361314415931702e-02
3.100000000000000000e+04 1.705735303403344005e-05 7.786782807670533657e-04 3.907938301563262939e-02
3.200000000000000000e+04 1.080753190763061866e-05 7.450527627952396870e-04 3.822629526257514954e-02
3.300000000000000000e+04 7.309003194677643478e-06 7.337085553444921970e-04 3.793416172266006470e-02
3.400000000000000000e+04 5.356760539143579081e-06 7.224557339213788509e-04 3.764213994145393372e-02
3.500000000000000000e+04 4.147450908931205049e-06 7.099088397808372974e-04 3.731384500861167908e-02
3.600000000000000000e+04 5.987070471746847034e-05 7.041545468382537365e-04 3.716230764985084534e-02
3.700000000000000000e+04 3.975786967203021049e-06 6.691551534458994865e-04 3.622697666287422180e-02
3.800000000000000000e+04 3.240010528315906413e-06 6.487151258625090122e-04 3.566939011216163635e-02
3.900000000000000000e+04 3.614794650275143795e-06 6.566781084984540939e-04 3.588764369487762451e-02
4.000000000000000000e+04 2.114856215484905988e-06 6.393903167918324471e-04 3.541209921240806580e-02
4.100000000000000000e+04 2.066277147605433129e-06 6.143668433651328087e-04 3.471223264932632446e-02
4.200000000000000000e+04 1.775687337612907868e-06 6.098991725593805313e-04 3.458578884601593018e-02
4.300000000000000000e+04 1.733478256937814876e-06 5.887066363357007504e-04 3.397959098219871521e-02
4.400000000000000000e+04 9.859618876362219453e-05 7.162747788242995739e-04 3.748076781630516052e-02
4.500000000000000000e+04 1.447781414753990248e-06 5.732041317969560623e-04 3.352921083569526672e-02
4.600000000000000000e+04 1.323287165178044233e-06 5.614575347863137722e-04 3.318387642502784729e-02
4.700000000000000000e+04 1.319355874329630751e-06 5.518480902537703514e-04 3.289867937564849854e-02
4.800000000000000000e+04 1.269702124773175456e-06 5.336432950571179390e-04 3.235148638486862183e-02
4.900000000000000000e+04 1.515592884970828891e-05 5.319397896528244019e-04 3.229980543255805969e-02
5.000000000000000000e+04 1.045439034896844532e-06 5.135353421792387962e-04 3.173612058162689209e-02
