"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107I","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,0.2294765476,0.2810502248,-0.008552815646,-0.0104750171,376.9927158,376.9919413,0.1223973078,0.04799725674,-0.7689060364,0.3813951134,0.4671117091,-0.01432219396,-0.0175410336,0.1256510324,0.03864191544,0.9594697636,-0.7695216316
1.0E-4,0.2294643992,0.2810353461,-0.008556945284,-0.01048007485,376.9927555,376.9919407,0.1223881624,0.04799416682,-0.7689071005,0.3813849694,0.4670992853,-0.01432712874,-0.01754707745,0.125640292,0.0386397498,0.9594701389,-0.7694716287
2.0E-4,0.2294511609,0.2810191326,-0.008561569002,-0.01048573773,376.9927862,376.9919357,0.1223785119,0.047991101,-0.7689080762,0.3813753523,0.4670875068,-0.01433240961,-0.01755354517,0.1256291279,0.03863763993,0.9594704781,-0.769418319
3.0E-4,0.2294368999,0.2810016665,-0.008566662344,-0.01049197577,376.9928076,376.9919262,0.1223684068,0.04798807474,-0.7689089582,0.3813663151,0.4670764385,-0.01433801041,-0.01756040472,0.1256175984,0.03863559685,0.9594707793,-0.7693619778
4.0E-4,0.2294216895,0.2809830375,-0.008572199304,-0.01049875713,376.9928196,376.9919122,0.1223579,0.04798510381,-0.7689097413,0.3813579086,0.4670661428,-0.01434390209,-0.01756762052,0.1256057645,0.0386336317,0.9594710407,-0.7693028979
5.0E-4,0.2294056079,0.2809633418,-0.008578151287,-0.01050604679,376.9928222,376.9918939,0.1223470477,0.0479822032,-0.7689104209,0.3813501815,0.467056679,-0.01435005796,-0.01757515989,0.1255936897,0.03863175396,0.9594712607,-0.769241389
6.0E-4,0.229388739,0.2809426816,-0.008584487295,-0.01051380679,376.9928154,376.9918712,0.1223359076,0.04797938966,-0.7689109931,0.3813431804,0.4670481044,-0.01435644372,-0.01758298082,0.125581439,0.03862997524,0.9594714381,-0.769177776
7.0E-4,0.229371171,0.2809211653,-0.008591174775,-0.01052199725,376.9927991,376.9918444,0.1223245409,0.04797667645,-0.7689114543,0.3813369488,0.4670404723,-0.01436303361,-0.01759105176,0.12556908,0.03862830323,0.9594715718,-0.7691123986
8.0E-4,0.2293529968,0.2808989065,-0.008598178539,-0.01053057507,376.9927735,376.9918135,0.1223130096,0.04797407982,-0.7689118018,0.3813315283,0.4670338335,-0.01436979177,-0.01759932877,0.1255566811,0.03862674898,0.9594716608,-0.7690456093
9.0E-4,0.2293343135,0.2808760243,-0.008605462868,-0.01053949651,376.9927387,376.9917787,0.1223013773,0.04797161472,-0.7689120332,0.3813269558,0.4670282335,-0.01437668263,-0.01760776832,0.1255443117,0.0386253222,0.9594717046,-0.7689777713
