"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,0.2132911572,0.2612272508,-0.08384256299,-0.102685749,376.9903672,0.1254245606,0.03864620659,-0.7688840689,0.3815185906,0.4672629372,-0.01448045898,-0.01773486787,0.125431452,0.03864883828,0.9594603333,-0.7680235412
1.0E-4,0.2132960085,0.2612331925,-0.08384360621,-0.1026870267,376.9903395,0.1254315307,0.03864883879,-0.7688825817,0.381531968,0.4672793211,-0.01447772506,-0.01773151952,0.1254392238,0.0386514952,0.9594597807,-0.7680512284
2.0E-4,0.2133024909,0.2612411318,-0.08384453457,-0.1026881637,376.9903164,0.1254393025,0.03865149571,-0.7688811449,0.3815450684,0.4672953657,-0.01447444908,-0.01772750727,0.1254477472,0.03865415746,0.9594592507,-0.7680838452
3.0E-4,0.2133105635,0.2612510187,-0.08384533985,-0.10268915,376.990298,0.1254478258,0.03865415797,-0.7688797669,0.3815578062,0.4673109663,-0.01447064902,-0.01772285318,0.1254569668,0.03865680779,0.9594587464,-0.7681211817
4.0E-4,0.2133201747,0.2612627899,-0.08384601509,-0.102689977,376.9902845,0.1254570455,0.03865680831,-0.7688784558,0.3815700989,0.4673260218,-0.01446635671,-0.01771759619,0.1254668242,0.03865942534,0.9594582708,-0.7681629987
5.0E-4,0.2133312632,0.2612763705,-0.08384655355,-0.1026906364,376.990276,0.1254669029,0.03865942585,-0.7688772192,0.3815818687,0.4673404366,-0.01446159897,-0.01771176916,0.1254772567,0.03866199311,0.9594578266,-0.7682090287
6.0E-4,0.2133437581,0.2612916736,-0.08384695081,-0.102691123,376.9902724,0.1254773353,0.03866199362,-0.7688760643,0.3815930412,0.4673541202,-0.01445640754,-0.01770541099,0.125488198,0.03866449357,0.9594574164,-0.7682589783
7.0E-4,0.2133575799,0.2613086018,-0.08384720283,-0.1026914316,376.9902739,0.1254882767,0.03866449408,-0.7688749977,0.3816035482,0.4673669886,-0.01445081894,-0.01769856639,0.12549958,0.03866690933,0.9594570424,-0.7683125309
8.0E-4,0.2133726406,0.2613270473,-0.0838473068,-0.102691559,376.9902804,0.1254996587,0.03866690985,-0.7688740255,0.3816133271,0.4673789652,-0.01444487071,-0.01769128132,0.125511332,0.0386692245,0.9594567069,-0.7683693495
9.0E-4,0.2133888449,0.2613468934,-0.08384726137,-0.1026915033,376.9902918,0.1255114107,0.03866922502,-0.7688731531,0.3816223212,0.4673899807,-0.01443860118,-0.01768360274,0.1255233819,0.03867142455,0.9594564117,-0.7684290786
0.001,0.213406091,0.2613680154,-0.08384706635,-0.1026912645,376.9903081,0.1255234606,0.03867142507,-0.7688723855,0.3816304807,0.467399974,-0.01443205688,-0.01767558764,0.1255356571,0.03867349389,0.9594561583,-0.7684913488
0.0011,0.2134242709,0.2613902812,-0.08384672256,-0.1026908434,376.9903291,0.1255357358,0.03867349441,-0.7688717268,0.3816377628,0.4674088927,-0.01442528015,-0.01766728788,0.1255480843,0.03867542052,0.9594559482,-0.7685557779
