"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,0.2138495106,0.2619110914,-0.08380662676,-0.1026417363,376.9918011,0.1257192923,0.03866140899,-0.7688977043,0.3814881858,0.4672256991,-0.01429808059,-0.01751150088,0.1257141435,0.03865918616,0.9594667316,-0.769773263
1.0E-4,0.213847484,0.2619086093,-0.08380570893,-0.1026406122,376.9918333,0.1257142225,0.03865918668,-0.7688992174,0.3814758895,0.4672106392,-0.01429974754,-0.01751354247,0.1257082756,0.03865693155,0.9594673009,-0.7697556011
2.0E-4,0.2138439424,0.2619042717,-0.08380488879,-0.1026396077,376.9918616,0.1257083545,0.03865693207,-0.7689006975,0.3814636777,0.4671956828,-0.01430188842,-0.0175161645,0.1257016388,0.03865465389,0.9594678543,-0.7697332042
3.0E-4,0.2138389041,0.2618981011,-0.08380416857,-0.1026387257,376.9918858,0.1257017177,0.03865465441,-0.7689021363,0.3814516104,0.4671809035,-0.01430448895,-0.01751934948,0.1256942659,0.03865236481,0.9594683888,-0.7697061847
4.0E-4,0.2138323948,0.2618901289,-0.08380355048,-0.1026379687,376.9919059,0.1256943448,0.03865236533,-0.7689035259,0.3814397469,0.4671663738,-0.01430754304,-0.01752308996,0.1256861944,0.03865007218,0.9594689014,-0.7696746784
5.0E-4,0.2138244477,0.2618803957,-0.0838030355,-0.1026373379,376.9919216,0.1256862734,0.0386500727,-0.7689048587,0.3814281468,0.4671521666,-0.01431103386,-0.01752736532,0.125677465,0.0386477876,0.9594693893,-0.7696388439
6.0E-4,0.2138151028,0.2618689506,-0.08380262547,-0.1026368358,376.9919329,0.125677544,0.03864778812,-0.7689061273,0.381416868,0.467138353,-0.01431494433,-0.01753215465,0.1256681216,0.03864552158,0.9594698498,-0.7695988613
7.0E-4,0.2138044074,0.2618558514,-0.08380232109,-0.102636463,376.9919399,0.1256682005,0.0386455221,-0.7689073246,0.3814059682,0.4671250035,-0.01431925715,-0.01753743676,0.1256582118,0.0386432842,0.9594702803,-0.769554933
8.0E-4,0.2137924155,0.2618411644,-0.08380212268,-0.10263622,376.9919423,0.1256582907,0.03864328471,-0.7689084439,0.3813955036,0.467112187,-0.01432394898,-0.01754318306,0.1256477861,0.03864108695,0.9594706784,-0.7695072814
9.0E-4,0.213779188,0.2618249641,-0.0838020304,-0.1026361069,376.9919402,0.1256478651,0.03864108746,-0.768909479,0.3813855299,0.4670999717,-0.01432900316,-0.01754937313,0.1256368992,0.03863893827,0.9594710418,-0.7694561503
