"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.0,1.618756768,0.2133040279,0.2612430142,-0.08383283879,-0.1026738394,376.9906717,0.1254012835,0.03862991874,-0.7688951225,0.3814246967,0.4671479411,-0.01448342482,-0.01773850027,0.2196876805,-0.1663765117,-0.05331094516,0.1254016261,0.03863190495,0.9594645473,-0.7679783539,0.3813105129,-0.1748432478,-0.2063703126
1.0E-4,1.656455833,0.2132972314,0.2612346902,-0.08383441656,-0.1026757717,376.9906182,0.1254017048,0.03863190547,-0.7688935382,0.3814375083,0.4671636321,-0.0144847551,-0.01774012952,0.221986983,-0.160317127,-0.06166963183,0.12540304,0.03863402891,0.9594639324,-0.7679684926,0.3803667284,-0.1619366236,-0.2183331068
2.0E-4,1.694154892,0.2132920466,0.2612283402,-0.08383594931,-0.102677649,376.9905676,0.1254031187,0.03863402942,-0.7688919395,0.3814506658,0.4671797466,-0.01448550603,-0.01774104922,0.2239726101,-0.1540308615,-0.0699415244,0.1254054382,0.03863627707,0.9594633157,-0.7679640732,0.3788825184,-0.1487985363,-0.2299870837
3.0E-4,1.731853946,0.213288509,0.2612240075,-0.08383742635,-0.102679458,376.9905201,0.1254055169,0.03863627759,-0.768890336,0.3814640837,0.4671961801,-0.01448567091,-0.01774125116,0.2256417393,-0.1475264706,-0.0781150447,0.125408806,0.03863863469,0.9594627007,-0.7679651299,0.3768597977,-0.1354475573,-0.2413155865
4.0E-4,1.769552996,0.2132866434,0.2612217226,-0.08383883696,-0.1026811856,376.990476,0.1254088847,0.03863863521,-0.7688887371,0.381477674,0.4672128247,-0.01448524563,-0.0177407303,0.2269919732,-0.140813009,-0.08617874077,0.125413122,0.03864108657,0.9594620911,-0.7679716608,0.3743012462,-0.1219025794,-0.2523024016
5.0E-4,1.807252042,0.2132864638,0.2612215026,-0.08384017077,-0.1026828192,376.9904357,0.1254132006,0.03864108708,-0.7688871521,0.3814913466,0.4672295702,-0.01448422899,-0.01773948517,0.2280213434,-0.1338998199,-0.09412130093,0.1254183581,0.03864361684,0.9594614906,-0.7679836271,0.3712103109,-0.1081827996,-0.2629317785
6.0E-4,1.844951084,0.213287973,0.2612233511,-0.08384141749,-0.1026843461,376.9903993,0.1254184367,0.03864361736,-0.7688855906,0.3815050111,0.4672463058,-0.01448263049,-0.01773752742,0.2287283133,-0.1267965242,-0.1019315678,0.125424481,0.03864620668,0.9594609025,-0.7680009549,0.3675912009,-0.09430768073,-0.2731884622
7.0E-4,1.882650122,0.213291163,0.261227258,-0.08384256689,-0.1026857538,376.9903672,0.1254245597,0.0386462072,-0.7688840618,0.3815185771,0.4672629206,-0.01448045842,-0.01773486719,0.2291117822,-0.1195130113,-0.1095985512,0.1254314511,0.03864883889,0.9594603305,-0.7680235347,0.3634488849,-0.08029692891,-0.2830577139
8.0E-4,1.920349157,0.2132960143,0.2612331997,-0.08384361012,-0.1026870315,376.9903395,0.1254315297,0.03864883941,-0.7688825745,0.3815319545,0.4672793045,-0.0144777245,-0.01773151884,0.2291710877,-0.1120594264,-0.1171114435,0.1254392229,0.03865149581,0.9594597779,-0.7680512218,0.3587890886,-0.06617047047,-0.2925253313
9.0E-4,1.95804819,0.2133024968,0.261241139,-0.08384453848,-0.1026881685,376.9903164,0.1254393015,0.03865149633,-0.7688811377,0.3815450548,0.4672953491,-0.01447444852,-0.01772750659,0.228906008,-0.1044461595,-0.1244596329,0.1254477462,0.03865415808,0.9594592479,-0.7680838386,0.3536182863,-0.05194841383,-0.3015776782
0.001,1.995747221,0.2133105693,0.2612510258,-0.08384534375,-0.1026891547,376.990298,0.1254478249,0.03865415859,-0.7688797597,0.3815577927,0.4673109497,-0.01447064846,-0.01772285249,0.2283167652,-0.09668383421,-0.1316327179,0.1254569658,0.03865680841,0.9594587436,-0.7681211751,0.3479436991,-0.03765103579,-0.310201697
0.0011,2.03344625,0.2133201805,0.261262797,-0.08384601899,-0.1026899817,376.9902845,0.1254570445,0.03865680893,-0.7688784486,0.3815700854,0.4673260052,-0.01446635615,-0.0177175955,0.2274040259,-0.08878329431,-0.1386205214,0.1254668233,0.03865942596,0.959458268,-0.7681629921,0.3417732808,-0.02329873331,-0.3183849418
0.0012,2.071145278,0.213331269,0.2612763776,-0.08384655745,-0.1026906412,376.990276,0.1254669019,0.03865942648,-0.768877212,0.3815818551,0.4673404201,-0.0144615984,-0.01771176848,0.2261689046,-0.080755593,-0.1454131045,0.1254772557,0.03866199373,0.9594578238,-0.7682090221,0.3351157101,-0.008912003031,-0.3261155921
0.0013,2.108844305,0.2133437639,0.2612916807,-0.08384695471,-0.1026911278,376.9902724,0.1254773344,0.03866199424,-0.7688760571,0.3815930277,0.4673541036,-0.01445640697,-0.0177054103,0.2246129631,-0.0726119777,-0.1520007818,0.1254881971,0.03866449419,0.9594574136,-0.7682589716,0.3279803809,0.005488589335,-0.3333824732
0.0014,2.146543333,0.2133575857,0.2613086088,-0.08384720673,-0.1026914364,376.9902739,0.1254882757,0.03866449471,-0.7688749905,0.3816035347,0.4673669721,-0.01445081838,-0.0176985657,0.2227382123,-0.06436387711,-0.1583741352,0.125499579,0.03866690995,0.9594570397,-0.7683125242,0.3203773883,0.01988244378,-0.3401750769
0.0015,2.18424236,0.2133726464,0.2613270543,-0.08384731069,-0.1026915637,376.9902804,0.1254996577,0.03866691047,-0.7688740183,0.3816133136,0.4673789487,-0.01444487014,-0.01769128062,0.2205471115,-0.05602288708,-0.1645240285,0.1255113311,0.03866922513,0.9594567042,-0.7683693427,0.3123175138,0.03424895733,-0.3464835785
0.0016,2.221941389,0.2133888507,0.2613469005,-0.08384726526,-0.1026915081,376.9902918,0.1255114098,0.03866922564,-0.768873146,0.3816223077,0.4673899641,-0.0144386006,-0.01768360204,0.2180425686,-0.04760075547,-0.1704416215,0.1255233809,0.03867142517,0.9594564089,-0.7684290719,0.303812215,0.04856754827,-0.3522988505
