"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.0,5.995391954,0.2133889871,0.2613470676,-0.08369239359,-0.1025018298,376.9912389,0.1256618818,0.03866114564,-0.7692059483,0.3821182256,0.4679973371,-0.01437341684,-0.01760376856,-0.1339001689,-0.09416563189,0.228065855,0.1256622593,0.03865985478,0.9595848726,-0.7694579891,-0.1084898496,-0.263289971,0.3718002723
1.0E-4,6.033091079,0.2133922124,0.2613510178,-0.0836903069,-0.1024992742,376.9912641,0.125662338,0.03865985529,-0.7692063839,0.3821145163,0.4679927942,-0.01437227064,-0.01760236475,-0.1267916626,-0.1019787689,0.2287704788,0.1256624432,0.03865847886,0.9595850438,-0.7694639182,-0.09459220096,-0.2735529725,0.3681626093
2.0E-4,6.070790207,0.213395025,0.2613544625,-0.0836881988,-0.1024966923,376.9912885,0.1256625218,0.03865847938,-0.7692068289,0.3821106441,0.4679880516,-0.01437134928,-0.01760123633,-0.1195026532,-0.10964669,0.2291493835,0.1256623533,0.03865702475,0.9595852176,-0.7694683738,-0.08056060429,-0.2834267381,0.3640017364
3.0E-4,6.108489337,0.2133974077,0.2613573806,-0.08368608139,-0.102494099,376.9913119,0.1256624319,0.03865702527,-0.7692072809,0.3821066318,0.4679831377,-0.01437065836,-0.01760039012,-0.112043561,-0.1171584376,0.2292020319,0.1256619897,0.03865550099,0.9595853931,-0.7694713273,-0.0664150298,-0.29289727,0.3593236306
4.0E-4,6.146188469,0.2133993455,0.2613597539,-0.08368396708,-0.1024915095,376.9913343,0.1256620684,0.03865550151,-0.7692077372,0.3821025032,0.4679780812,-0.01437020058,-0.01759982946,-0.1044250518,-0.1245032806,0.2289283585,0.1256613542,0.03865391693,0.9595855693,-0.7694727587,-0.05217560947,-0.3019511461,0.3541350063
5.0E-4,6.183887604,0.2134008264,0.2613615677,-0.0836818682,-0.1024889389,376.9913554,0.1256614328,0.03865391745,-0.7692081952,0.3820982831,0.4679729126,-0.01436998371,-0.01759956385,-0.09665802012,-0.1316707304,0.2283287696,0.1256604507,0.03865228013,0.959585745,-0.7694726578,-0.03786259594,-0.3105755459,0.3484433004
6.0E-4,6.22158674,0.2134018409,0.2613628102,-0.08367979672,-0.1024864019,376.9913752,0.1256605293,0.03865228065,-0.7692086523,0.382093997,0.4679676632,-0.01437000835,-0.01759959403,-0.08875357441,-0.1386505565,0.2274041428,0.1256592844,0.03865060087,0.9595859194,-0.7694710235,-0.02349633899,-0.3187582646,0.3422566625
7.0E-4,6.259285878,0.2134023825,0.2613634736,-0.08367776538,-0.102483914,376.9913935,0.125659363,0.03865060138,-0.7692091057,0.382089671,0.467962365,-0.01437027357,-0.01759991886,-0.08072301882,-0.1454328014,0.226155825,0.125657862,0.03864888948,0.9595860914,-0.7694678643,-0.009097255636,-0.3264877293,0.3355839414
8.0E-4,0.0137997115,0.2134024475,0.2613635531,-0.0836757863,-0.1024814901,376.9914102,0.1256579407,0.03864889,-0.7692095529,0.3820853311,0.4679570497,-0.01437077608,-0.01760053431,-0.07257783648,-0.1520077963,0.2245856304,0.1256561917,0.0386471567,0.95958626,-0.7694631973,0.00531419206,-0.3337530129,0.3284346767
9.0E-4,0.05149885328,0.213402035,0.2613630479,-0.08367387116,-0.1024791446,376.9914253,0.1256562704,0.03864715722,-0.7692099913,0.3820810039,0.46795175,-0.0143715171,-0.01760144186,-0.06432967212,-0.1583661742,0.2226958367,0.125654284,0.03864541139,0.9595864243,-0.7694570498,0.01971753597,-0.3405438527,0.3208190786
