"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.0,5.954151563,0.2137025027,0.2617310442,-0.08382950128,-0.1026697518,376.9909773,0.1256895643,0.03868444053,-0.7688759965,0.3816443415,0.4674169499,-0.01433222304,-0.01755331666,-0.1416826167,-0.08559482689,0.227277349,0.1256973152,0.0386838982,0.9594581809,-0.7694483712,-0.1233539064,-0.2513590621,0.3746753165
1.0E-4,5.991850664,0.2137206619,0.2617532845,-0.08382779847,-0.1026676663,376.9910395,0.1256973941,0.03868389871,-0.7688769855,0.381637933,0.4674091012,-0.01432686933,-0.01754675973,-0.1347763875,-0.09357625423,0.2283525547,0.1257044202,0.03868318757,0.9594585951,-0.7695001723,-0.109635752,-0.2620150853,0.3716165188
2.0E-4,6.029549771,0.2137379398,0.2617744456,-0.08382608526,-0.102665568,376.991102,0.1257044991,0.03868318809,-0.7688780624,0.3816307685,0.4674003265,-0.01432188169,-0.01754065115,-0.1276771316,-0.1014248093,0.2291018616,0.1257107657,0.03868231441,0.9594590406,-0.7695484849,-0.09576245412,-0.2722973402,0.3680288519
3.0E-4,6.067248884,0.2137542464,0.261794417,-0.08382437243,-0.1026634702,376.9911644,0.1257108447,0.03868231493,-0.7688792208,0.3816228922,0.46739068,-0.01431728225,-0.017535018,-0.1203950336,-0.1091291553,0.2295241174,0.1257163211,0.0386812862,0.9594595151,-0.7695930633,-0.08175385985,-0.282191222,0.3639175541
4.0E-4,6.104948004,0.2137694973,0.2618130955,-0.08382267062,-0.1026613859,376.9912264,0.1257164,0.03868128672,-0.7688804544,0.3816143503,0.4673802184,-0.01431308944,-0.01752988289,-0.1129405543,-0.1166781626,0.2296186533,0.1257210593,0.03868011122,0.9594600157,-0.7696336829,-0.06763000445,-0.2916826905,0.3592886161
5.0E-4,6.142647129,0.2137836147,0.2618303857,-0.0838209898,-0.1026593274,376.9912876,0.1257211382,0.03868011174,-0.768881756,0.3816051919,0.4673690016,-0.01430932584,-0.01752527344,-0.1053244138,-0.1240609272,0.2293852853,0.1257249584,0.03867879598,0.9594605397,-0.7696701413,-0.05341106959,-0.3007582972,0.3541487664
6.0E-4,6.180346261,0.2137965271,0.2618462001,-0.08381933917,-0.1026573058,376.9913476,0.1257250373,0.0386787965,-0.7688831184,0.3815954678,0.4673570921,-0.0143060062,-0.01752120772,-0.09755757612,-0.1312667871,0.2288243156,0.125728,0.03867734962,0.9594610841,-0.7697022582,-0.03911735906,-0.3094051991,0.3485054618
7.0E-4,6.218045399,0.2138081697,0.2618604593,-0.0838177282,-0.1026553327,376.9914063,0.125728079,0.03867735014,-0.7688845339,0.3815852303,0.4673445538,-0.01430314291,-0.01751770093,-0.08965123039,-0.1382853407,0.2279365316,0.12573017,0.03867578133,0.959461646,-0.7697298761,-0.02476926844,-0.3176111774,0.3423668744
8.0E-4,6.255744542,0.2138184848,0.2618730926,-0.08381616536,-0.1026534187,376.9914632,0.125730249,0.03867578185,-0.7688859947,0.3815745329,0.4673314523,-0.01430074543,-0.01751476462,-0.08161677341,-0.1451064626,0.2267232046,0.1257314581,0.03867410066,0.9594622222,-0.7697528599,-0.01038726226,-0.3253646503,0.3357418829
9.0E-4,0.01025838404,0.2138274215,0.2618840378,-0.08381465835,-0.102651573,376.991518,0.1257315371,0.03867410118,-0.7688874928,0.3815634313,0.4673178556,-0.01429882696,-0.01751241498,-0.07346579139,-0.1517203198,0.2251860881,0.1257318595,0.03867231533,0.9594628095,-0.7697710992,0.00400816553,-0.332654694,0.3286400529
0.001,0.04795753847,0.2138349363,0.2618932415,-0.08381321395,-0.1026498039,376.9915705,0.1257319385,0.03867231584,-0.7688890198,0.3815519816,0.4673038326,-0.01429739479,-0.01751066095,-0.06521004256,-0.1581173871,0.2233274147,0.1257313728,0.03867043486,0.9594634047,-0.769784507,0.01839652045,-0.3394710561,0.3210716222
0.0011,0.08565669802,0.2138409928,0.2619006593,-0.0838118391,-0.1026481201,376.9916205,0.1257314518,0.03867043538,-0.7688905673,0.3815402414,0.4672894539,-0.0142964509,-0.01750950492,-0.05686143747,-0.1642884617,0.2211498925,0.1257300008,0.03866846989,0.9594640045,-0.7697930201,0.03275732788,-0.3458041642,0.3130474887
0.0012,0.1233558624,0.2138455623,0.2619062557,-0.08381053996,-0.102646529,376.9916675,0.1257300797,0.03866847041,-0.7688921269,0.3815282683,0.4672747898,-0.01429600092,-0.01750895381,-0.04843201974,-0.1702246785,0.2186566997,0.1257277509,0.03866642887,0.9594646057,-0.7697965995,0.04707017559,-0.3516451456,0.3045791876
0.0013,0.1610550314,0.2138486232,0.2619100045,-0.08380932154,-0.1026450367,376.9917115,0.1257278298,0.03866642939,-0.76889369,0.3815161213,0.4672599129,-0.01429604102,-0.01750900292,-0.03993394797,-0.1759175221,0.2158514798,0.1257246341,0.03866432323,0.959465205,-0.7697952299,0.06131472407,-0.3569858299,0.2956788836
0.0014,0.1987542046,0.2138501615,0.2619118885,-0.08380818887,-0.1026436495,376.9917522,0.1257247131,0.03866432375,-0.7688952481,0.3815038595,0.4672448953,-0.01429657654,-0.01750965879,-0.03137947499,-0.1813588414,0.2127383344,0.1257206669,0.03866216022,0.959465799,-0.769788921,0.07547075635,-0.3618187685,0.2863593408
0.0015,0.2364533816,0.2138501707,0.2619118998,-0.08380714551,-0.1026423716,376.9917894,0.1257207459,0.03866216074,-0.7688967925,0.3814915431,0.4672298109,-0.01429760112,-0.01751091365,-0.02278093071,-0.1865408603,0.2093218172,0.1257158689,0.03865995121,0.9594663845,-0.7697777064,0.08951819401,-0.366137237,0.2766339088
0.0016,0.2741525623,0.2138486518,0.2619100396,-0.08380619581,-0.1026412085,376.9918229,0.1257159479,0.03865995173,-0.768898315,0.3814792315,0.4672147323,-0.01429910884,-0.01751276022,-0.01415070048,-0.1914561903,0.2056069252,0.1257102638,0.03865770621,0.9594669584,-0.7697616433,0.1034371271,-0.3699352462,0.2665165041
0.0017,0.311851746,0.2138456134,0.2619063183,-0.08380534278,-0.1026401638,376.9918525,0.1257103428,0.03865770673,-0.768899807,0.3814669847,0.4671997331,-0.01430109284,-0.01751519011,-0.005501206512,-0.1960978408,0.2015990898,0.1257038797,0.03865543505,0.9594675174,-0.7697408131,0.1172078461,-0.3732075486,0.2560215841
0.0018,0.3495509326,0.2138410714,0.2619007555,-0.08380458897,-0.1026392405,376.9918781,0.1257039587,0.03865543557,-0.7689012605,0.3814548624,0.4671848863,-0.01430354063,-0.01751818803,0.003155111432,-0.200459229,0.1973041681,0.125696748,0.03865314886,0.9594680586,-0.7697153199,0.1308108587,-0.3759496432,0.2451641359
0.0019,0.3872501214,0.213835049,0.2618933796,-0.0838039366,-0.1026384416,376.9918995,0.1256968269,0.03865314937,-0.7689026674,0.3814429243,0.4671702652,-0.01430644587,-0.01752174621,0.01180581605,-0.2045341895,0.192728432,0.125688905,0.03865085588,0.9594685788,-0.7696852923,0.1442269306,-0.3781577825,0.2339596421
0.002,0.4249493122,0.2138275769,0.2618842282,-0.08380338693,-0.1026377683,376.9919167,0.125688984,0.0386508564,-0.7689040201,0.3814312298,0.4671559425,-0.01430979311,-0.01752584573,0.02043849023,-0.2083169822,0.1878785585,0.1256803901,0.03864856737,0.9594690753,-0.7696508811,0.1574371049,-0.3798289749,0.2224240632
0.0021,0.4626485046,0.2138186928,0.2618733475,-0.08380294183,-0.1026372232,376.9919295,0.1256804691,0.03864856789,-0.7689053109,0.3814198374,0.4671419897,-0.01431356536,-0.01753046577,0.02904075772,-0.2118023005,0.1827616172,0.125671246,0.0386462941,0.9594695452,-0.7696122593,0.1704227261,-0.3809609871,0.2105738171
