"Time","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,0.2613422386,-0.1024655666,376.9914777,-0.7692127172,0.4679163902,-0.01761621206,0.1256343191,0.03863323995,0.959587414,-0.7693714515
1.0E-4,0.261337291,-0.1024643558,376.9914763,-0.7692129916,0.4679124202,-0.01761917321,0.1256309944,0.03863179635,0.9595875085,-0.7693551597
2.0E-4,0.2613319146,-0.1024633257,376.9914729,-0.7692132373,0.4679087364,-0.01762230741,0.125627583,0.03863043472,0.9595875915,-0.7693380324
3.0E-4,0.2613261415,-0.1024624825,376.9914675,-0.7692134531,0.4679053594,-0.0176256031,0.1256241055,0.03862916074,0.9595876625,-0.7693201717
4.0E-4,0.2613200065,-0.1024618305,376.99146,-0.7692136376,0.4679023093,-0.01762903686,0.1256205825,0.0386279833,0.959587721,-0.769301684
5.0E-4,0.261313546,-0.1024613741,376.9914505,-0.7692137898,0.4678996028,-0.01763258689,0.1256170343,0.03862690942,0.9595877668,-0.7692826785
6.0E-4,0.2613067986,-0.1024611156,376.9914392,-0.7692139089,0.4678972546,-0.01763623274,0.1256134816,0.038625945,0.9595877996,-0.7692632671
7.0E-4,0.2612998042,-0.102461056,376.991426,-0.7692139942,0.467895277,-0.01763994863,0.1256099447,0.0386250966,0.9595878193,-0.7692435635
8.0E-4,0.2612926042,-0.1024611956,376.991411,-0.7692140454,0.4678936799,-0.01764371887,0.1256064443,0.03862436691,0.9595878257,-0.7692236829
9.0E-4,0.261285241,-0.1024615323,376.9913944,-0.7692140621,0.4678924712,-0.01764751864,0.1256030004,0.03862376093,0.9595878189,-0.7692037409
0.001,0.2612777575,-0.1024620646,376.9913761,-0.7692140443,0.4678916559,-0.01765132391,0.1255996322,0.03862328223,0.9595877989,-0.7691838525
0.0011,0.2612701974,-0.1024627887,376.9913565,-0.7692139922,0.4678912363,-0.01765511408,0.1255963588,0.03862293262,0.9595877657,-0.7691641318
0.0012,0.2612626045,-0.1024636996,376.9913355,-0.7692139061,0.467891213,-0.01765886605,0.1255931984,0.03862271406,0.9595877198,-0.7691446913
0.0013,0.2612550226,-0.1024647916,376.9913132,-0.7692137866,0.4678915836,-0.01766255617,0.1255901681,0.03862262777,0.9595876612,-0.7691256408
0.0014,0.2612474951,-0.1024660577,376.9912899,-0.7692136343,0.4678923437,-0.01766616864,0.1255872851,0.03862267213,0.9595875904,-0.769107088
0.0015,0.2612400648,-0.1024674896,376.9912656,-0.7692134502,0.467893487,-0.01766968189,0.125584565,0.0386228469,0.9595875078,-0.7690891367
0.0016,0.2612327738,-0.102469079,376.9912406,-0.7692132354,0.4678950049,-0.01767307381,0.1255820222,0.03862315122,0.9595874139,-0.7690718864
0.0017,0.261225663,-0.1024708162,376.9912148,-0.7692129912,0.467896884,-0.01767632828,0.12557967,0.03862358166,0.9595873091,-0.7690554314
0.0018,0.2612187722,-0.1024726904,376.9911886,-0.7692127189,0.4678991179,-0.0176794222,0.1255775216,0.03862413728,0.9595871943,-0.7690398634
0.0019,0.2612121392,-0.1024746907,376.991162,-0.7692124203,0.4679016875,-0.01768234716,0.1255755884,0.03862481132,0.9595870699,-0.7690252666
0.002,0.2612058013,-0.1024768044,376.9911351,-0.7692120969,0.4679045765,-0.01768508396,0.1255738797,0.03862560075,0.9595869367,-0.7690117193
0.0021,0.261199793,-0.10247902,376.9911083,-0.7692117506,0.4679077693,-0.01768761727,0.1255724049,0.03862650095,0.9595867955,-0.7689992946
0.0022,0.2611941467,-0.1024813245,376.9910815,-0.7692113835,0.4679112452,-0.01768993521,0.1255711711,0.03862750576,0.9595866471,-0.7689880582
0.0023,0.2611888931,-0.1024837043,376.9910549,-0.7692109976,0.4679149854,-0.01769202518,0.1255701849,0.03862860948,0.9595864923,-0.7689780698
0.0024,0.2611840604,-0.102486146,376.9910288,-0.769210595,0.467918967,-0.01769387411,0.1255694505,0.038629806,0.9595863319,-0.768969381
0.0025,0.2611796743,-0.1024886356,376.9910032,-0.7692101782,0.4679231683,-0.01769547829,0.1255689722,0.03863108672,0.959586167,-0.7689620373
0.0026,0.2611757582,-0.1024911585,376.9909783,-0.7692097494,0.4679275653,-0.01769682829,0.1255687519,0.03863244485,0.9595859984,-0.7689560765
0.0027,0.2611723325,-0.1024937014,376.9909542,-0.769209311,0.4679321346,-0.01769791531,0.1255687904,0.03863387332,0.9595858271,-0.7689515286
0.0028,0.2611694151,-0.10249625,376.990931,-0.7692088655,0.46793685,-0.01769873644,0.1255690872,0.03863536326,0.9595856539,-0.7689484162
0.0029,0.2611670213,-0.1024987899,376.990909,-0.7692084154,0.4679416871,-0.01769928326,0.12556964,0.03863690774,0.95958548,-0.7689467539
0.003,0.2611651631,-0.1025013076,376.9908881,-0.7692079632,0.4679466188,-0.0176995608,0.1255704463,0.03863849587,0.9595853063,-0.7689465491
0.0031,0.2611638501,-0.1025037883,376.9908685,-0.7692075114,0.4679516201,-0.01769956514,0.1255715015,0.03864012018,0.9595851336,-0.7689478017
0.0032,0.2611630887,-0.1025062196,376.9908504,-0.7692070626,0.4679566637,-0.01769929561,0.1255727996,0.038641772,0.9595849631,-0.7689505033
0.0033,0.2611628824,-0.102508588,376.9908338,-0.7692066192,0.4679617231,-0.01769875531,0.1255743337,0.03864344199,0.9595847956,-0.7689546385
0.0034,0.261163232,-0.1025108806,376.9908187,-0.7692061837,0.4679667717,-0.01769794655,0.1255760954,0.03864512145,0.9595846321,-0.768960184
0.0035,0.2611641351,-0.1025130853,376.9908054,-0.7692057586,0.4679717828,-0.01769687147,0.1255780751,0.03864680194,0.9595844734,-0.768967109
0.0036,0.2611655866,-0.1025151901,376.9907938,-0.7692053461,0.46797673,-0.01769554121,0.1255802627,0.03864847286,0.9595843206,-0.7689753761
0.0037,0.2611675784,-0.1025171831,376.990784,-0.7692049487,0.4679815876,-0.01769396143,0.1255826463,0.03865012601,0.9595841743,-0.7689849407
0.0038,0.2611700997,-0.1025190545,376.9907761,-0.7692045684,0.4679863299,-0.017692138,0.1255852131,0.03865175326,0.9595840355,-0.7689957511
0.0039,0.2611731367,-0.102520794,376.9907701,-0.7692042075,0.4679909314,-0.01769008281,0.1255879494,0.03865334518,0.9595839049,-0.769007749
0.004,0.2611766732,-0.1025223921,376.990766,-0.769203868,0.4679953679,-0.01768780175,0.1255908402,0.03865489472,0.9595837833,-0.7690208697
0.0041,0.2611806901,-0.1025238405,376.990764,-0.7692035517,0.4679996151,-0.01768531417,0.1255938705,0.03865639127,0.9595836712,-0.7690350428
0.0042,0.2611851658,-0.1025251304,376.9907638,-0.7692032604,0.4680036509,-0.01768262997,0.1255970238,0.03865782809,0.9595835695,-0.7690501922
0.0043,0.2611900763,-0.1025262557,376.9907657,-0.7692029958,0.4680074528,-0.01767976215,0.1256002829,0.03865919765,0.9595834786,-0.7690662359
0.0044,0.2611953952,-0.1025272101,376.9907695,-0.7692027594,0.4680109998,-0.01767672695,0.1256036302,0.03866049216,0.959583399,-0.7690830874
0.0045,0.261201094,-0.1025279881,376.9907753,-0.7692025526,0.468014272,-0.01767353639,0.125607047,0.0386617057,0.9595833312,-0.7691006548
0.0046,0.2612071417,-0.1025285854,376.990783,-0.7692023764,0.4680172507,-0.017670214,0.1256105151,0.03866282952,0.9595832757,-0.769118843
0.0047,0.2612135059,-0.1025289979,376.9907926,-0.769202232,0.4680199192,-0.0176667749,0.1256140152,0.03866385846,0.9595832327,-0.7691375526
0.0048,0.2612201517,-0.1025292238,376.990804,-0.7692021202,0.4680222614,-0.01766323589,0.1256175277,0.03866478713,0.9595832025,-0.769156681
0.0049,0.2612270431,-0.1025292616,376.9908172,-0.7692020416,0.4680242629,-0.01765961753,0.1256210331,0.0386656097,0.9595831852,-0.7691761228
0.005,0.2612341425,-0.1025291103,376.9908321,-0.7692019967,0.4680259115,-0.01765593831,0.1256245117,0.0386663218,0.959583181,-0.7691957704
0.0051,0.2612414107,-0.1025287707,376.9908486,-0.7692019859,0.468027196,-0.01765221608,0.1256279433,0.03866691968,0.95958319,-0.7692155139
0.0052,0.2612488076,-0.102528244,376.9908666,-0.7692020092,0.4680281089,-0.01764847676,0.1256313094,0.03866739817,0.9595832121,-0.769235244
0.0053,0.2612562923,-0.1025275322,376.990886,-0.7692020666,0.46802864,-0.01764473903,0.1256345897,0.03866775473,0.9595832471,-0.7692548484
0.0054,0.2612638232,-0.1025266393,376.9909068,-0.7692021578,0.4680287867,-0.01764102157,0.1256377655,0.03866798775,0.959583295,-0.7692742165
0.0055,0.2612713576,-0.1025255698,376.9909289,-0.7692022822,0.4680285463,-0.01763734814,0.1256408186,0.03866809455,0.9595833555,-0.7692932384
0.0056,0.2612788533,-0.1025243288,376.990952,-0.7692024394,0.4680279169,-0.01763373425,0.1256437305,0.03866807548,0.9595834281,-0.7693118045
0.0057,0.2612862678,-0.102522923,376.9909761,-0.7692026283,0.4680269003,-0.01763020832,0.1256464847,0.03866792774,0.9595835126,-0.7693298081
