"Time","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,0.2613573808,-0.1024940995,376.9913119,-0.7692072809,0.4679831375,-0.01760038901,0.1256619897,0.03865550148,0.9595853931,-0.7694713276
1.0E-4,0.2613597541,-0.10249151,376.9913343,-0.7692077372,0.4679780811,-0.01759983143,0.1256613544,0.03865391655,0.9595855693,-0.7694727592
2.0E-4,0.2613615678,-0.1024889392,376.9913554,-0.7692081952,0.4679729127,-0.01759956597,0.125660451,0.03865227992,0.959585745,-0.7694726585
3.0E-4,0.2613628104,-0.1024864026,376.9913752,-0.7692086523,0.4679676632,-0.01759959243,0.1256592843,0.03865060175,0.9595859194,-0.7694710241
4.0E-4,0.2613634737,-0.102483915,376.9913935,-0.7692091057,0.4679623646,-0.0175999166,0.1256578618,0.03864889032,0.9595860914,-0.7694678645
5.0E-4,0.2613635533,-0.1024814907,376.9914102,-0.7692095529,0.4679570493,-0.01760053552,0.1256561918,0.03864715648,0.95958626,-0.7694631976
6.0E-4,0.261363048,-0.1024791449,376.9914253,-0.7692099913,0.4679517498,-0.01760144341,0.1256542841,0.03864541126,0.9595864243,-0.7694570501
7.0E-4,0.2613619605,-0.1024768915,376.9914386,-0.7692104183,0.4679464982,-0.01760263736,0.1256521504,0.03864366435,0.9595865832,-0.7694494583
8.0E-4,0.261360297,-0.1024747438,376.9914501,-0.7692108314,0.4679413269,-0.01760410546,0.125649803,0.0386419277,0.9595867358,-0.7694404666
9.0E-4,0.2613580671,-0.102472715,376.9914596,-0.7692112283,0.467936267,-0.01760584634,0.1256472567,0.03864020945,0.9595868813,-0.769430129
0.001,0.261355284,-0.1024708164,376.9914672,-0.7692116066,0.4679313502,-0.01760784633,0.1256445268,0.03863852128,0.9595870189,-0.7694185073
0.0011,0.2613519643,-0.1024690604,376.9914727,-0.7692119642,0.467926606,-0.0176100922,0.1256416294,0.03863687359,0.9595871476,-0.7694056712
0.0012,0.2613481279,-0.1024674573,376.9914762,-0.769212299,0.467922063,-0.01761257134,0.1256385822,0.03863527599,0.9595872669,-0.7693916975
0.0013,0.2613437977,-0.1024660166,376.9914777,-0.7692126091,0.4679177486,-0.01761526462,0.125635403,0.03863373923,0.959587376,-0.7693766696
0.0014,0.2613389997,-0.1024647471,376.991477,-0.7692128927,0.4679136883,-0.01761816212,0.1256321114,0.03863227053,0.9595874742,-0.7693606778
0.0015,0.2613337627,-0.1024636555,376.9914743,-0.7692131481,0.4679099066,-0.01762124355,0.1256287269,0.03863087974,0.9595875611,-0.7693438178
0.0016,0.2613281181,-0.1024627492,376.9914695,-0.769213374,0.4679064253,-0.01762448842,0.1256252694,0.03862957557,0.9595876361,-0.7693261901
0.0017,0.2613220997,-0.1024620331,376.9914627,-0.769213569,0.4679032643,-0.01762787849,0.1256217592,0.03862836522,0.9595876988,-0.7693078994
0.0018,0.2613157435,-0.1024615114,376.9914539,-0.7692137321,0.4679004415,-0.01763139197,0.1256182171,0.03862725621,0.9595877489,-0.7692890541
0.0019,0.2613090873,-0.1024611868,376.9914432,-0.7692138623,0.4678979723,-0.01763500539,0.1256146633,0.03862625547,0.9595877861,-0.7692697652
0.002,0.2613021707,-0.102461061,376.9914306,-0.769213959,0.4678958698,-0.01763870209,0.1256111189,0.03862536718,0.9595878102,-0.7692501461
0.0021,0.2612950346,-0.1024611339,376.9914162,-0.7692140216,0.4678941451,-0.01764245865,0.1256076044,0.03862459697,0.959587821,-0.7692303118
0.0022,0.2612877209,-0.1024614052,376.9914001,-0.7692140498,0.4678928065,-0.01764625011,0.1256041394,0.03862394978,0.9595878186,-0.7692103775
0.0023,0.2612802726,-0.1024618729,376.9913824,-0.7692140435,0.4678918595,-0.0176500565,0.1256007439,0.03862342823,0.9595878029,-0.7691904585
0.0024,0.2612727332,-0.1024625335,376.9913632,-0.7692140028,0.4678913079,-0.01765385056,0.1255974365,0.03862303641,0.9595877742,-0.769170669
0.0025,0.2612651464,-0.1024633829,376.9913426,-0.769213928,0.4678911523,-0.01765761776,0.1255942363,0.03862277376,0.9595877324,-0.7691511223
0.0026,0.261257556,-0.1024644148,376.9913208,-0.7692138195,0.467891392,-0.01766133324,0.125591161,0.03862264259,0.959587678,-0.7691319298
0.0027,0.2612500055,-0.1024656235,376.9912978,-0.769213678,0.4678920231,-0.01766497484,0.1255882272,0.03862264328,0.9595876113,-0.7691131995
0.0028,0.2612425381,-0.1024670012,376.9912738,-0.7692135045,0.4678930374,-0.01766852336,0.1255854505,0.03862277462,0.9595875325,-0.7690950354
0.0029,0.261235196,-0.1024685392,376.991249,-0.7692132998,0.467894433,-0.01767195754,0.1255828473,0.03862303624,0.9595874423,-0.7690775406
0.003,0.2612280202,-0.1024702284,376.9912235,-0.7692130652,0.4678961953,-0.01767525688,0.1255804304,0.03862342597,0.9595873411,-0.7690608108
0.0031,0.2612210517,-0.1024720582,376.9911974,-0.7692128021,0.4678983113,-0.0176784083,0.1255782128,0.03862393939,0.9595872296,-0.7690449374
0.0032,0.2612143289,-0.1024740173,376.9911709,-0.7692125121,0.4679007702,-0.01768139324,0.1255762067,0.0386245739,0.9595871083,-0.7690300079
0.0033,0.2612078888,-0.1024760946,376.9911441,-0.7692121967,0.4679035545,-0.01768419354,0.125574422,0.03862532576,0.959586978,-0.7690161023
0.0034,0.2612017668,-0.102478278,376.9911172,-0.7692118579,0.4679066484,-0.01768679668,0.1255728684,0.03862618955,0.9595868393,-0.7690032959
0.0035,0.2611959962,-0.1024805544,376.9910904,-0.7692114975,0.4679100321,-0.01768918428,0.1255715532,0.03862716115,0.9595866932,-0.7689916562
0.0036,0.2611906085,-0.1024829107,376.9910637,-0.7692111176,0.4679136863,-0.01769135151,0.1255704838,0.03862823236,0.9595865404,-0.7689812454
0.0037,0.2611856325,-0.1024853329,376.9910375,-0.7692107203,0.4679175899,-0.01769328422,0.1255696652,0.03862939796,0.9595863819,-0.768972118
0.0038,0.2611810949,-0.1024878077,376.9910117,-0.769210308,0.4679217207,-0.01769497179,0.1255691014,0.03863065127,0.9595862184,-0.7689643216
0.0039,0.2611770196,-0.1024903213,376.9909865,-0.7692098829,0.4679260552,-0.017696407,0.1255687949,0.03863198459,0.9595860509,-0.7689578961
0.004,0.2611734283,-0.1024928592,376.9909621,-0.7692094475,0.4679305697,-0.01769758225,0.1255687471,0.03863339054,0.9595858803,-0.7689528744
0.0041,0.2611703397,-0.1024954075,376.9909386,-0.7692090041,0.467935239,-0.01769848947,0.1255689576,0.03863486172,0.9595857077,-0.768949281
0.0042,0.2611677698,-0.102497952,376.9909162,-0.7692085552,0.4679400382,-0.01769912996,0.1255694255,0.03863638822,0.9595855339,-0.768947134
0.0043,0.2611657319,-0.1025004782,376.9908949,-0.7692081034,0.4679449414,-0.01769949944,0.1255701479,0.03863796226,0.95958536,-0.7689464431
0.0044,0.2611642363,-0.1025029728,376.9908749,-0.7692076512,0.4679499227,-0.01769959413,0.1255711207,0.03863957584,0.9595851869,-0.7689472105
0.0045,0.2611632904,-0.1025054223,376.9908563,-0.7692072011,0.4679549551,-0.01769941629,0.1255723386,0.03864121936,0.9595850156,-0.7689494306
0.0046,0.2611628989,-0.1025078131,376.9908391,-0.7692067557,0.4679600123,-0.01769896247,0.1255737946,0.0386428853,0.959584847,-0.7689530899
0.0047,0.2611630632,-0.1025101326,376.9908236,-0.7692063173,0.4679650671,-0.01769824279,0.1255754813,0.03864456235,0.959584682,-0.768958168
0.0048,0.2611637823,-0.1025123675,376.9908096,-0.7692058884,0.4679700939,-0.01769725824,0.1255773897,0.03864624277,0.9595845216,-0.7689646371
0.0049,0.2611650517,-0.1025145065,376.9907975,-0.7692054714,0.4679750655,-0.01769601314,0.1255795094,0.03864791774,0.9595843668,-0.7689724616
0.005,0.2611668645,-0.1025165382,376.9907871,-0.7692050687,0.4679799559,-0.01769451535,0.125581829,0.03864957796,0.9595842182,-0.7689815993
0.0051,0.2611692106,-0.1025184514,376.9907785,-0.7692046825,0.4679847393,-0.01769276887,0.1255843359,0.03865121569,0.9595840768,-0.7689920003
0.0052,0.2611720775,-0.102520236,376.9907719,-0.7692043149,0.4679893902,-0.01769078956,0.1255870172,0.03865282014,0.9595839434,-0.7690036089
0.0053,0.2611754495,-0.1025218818,376.9907672,-0.769203968,0.4679938843,-0.01768858529,0.1255898584,0.03865438384,0.9595838187,-0.7690163629
0.0054,0.2611793085,-0.1025233806,376.9907644,-0.7692036438,0.4679981975,-0.017686166,0.1255928441,0.03865589881,0.9595837034,-0.7690301935
0.0055,0.2611836338,-0.1025247243,376.9907637,-0.769203344,0.4680023062,-0.01768354591,0.1255959583,0.03865735646,0.9595835981,-0.7690450264
0.0056,0.2611884022,-0.1025259053,376.9907649,-0.7692030703,0.4680061885,-0.01768073761,0.1255991841,0.03865874935,0.9595835035,-0.7690607815
0.0057,0.2611935881,-0.1025269174,376.990768,-0.7692028244,0.4680098226,-0.01767775362,0.1256025037,0.03866007046,0.9595834201,-0.7690773734
0.0058,0.2611991635,-0.1025277548,376.9907732,-0.7692026075,0.4680131885,-0.0176746148,0.1256058995,0.03866131108,0.9595833484,-0.7690947126
0.0059,0.2612050985,-0.1025284124,376.9907802,-0.769202421,0.4680162672,-0.01767133642,0.1256093528,0.03866246504,0.9595832887,-0.7691127049
0.006,0.2612113609,-0.1025288869,376.9907892,-0.7692022659,0.4680190412,-0.01766793327,0.1256128444,0.03866352671,0.9595832415,-0.7691312522
0.0061,0.2612179168,-0.1025291756,376.9908,-0.7692021431,0.4680214937,-0.01766442591,0.125616355,0.03866448931,0.959583207,-0.7691502527
0.0062,0.2612247305,-0.1025292762,376.9908126,-0.7692020534,0.4680236103,-0.0176608282,0.1256198647,0.03866534885,0.9595831854,-0.7691696018
0.0063,0.2612317648,-0.1025291881,376.9908269,-0.7692019972,0.4680253775,-0.01765716707,0.1256233543,0.038666098,0.9595831769,-0.7691891926
0.0064,0.2612389812,-0.1025289107,376.9908429,-0.769201975,0.4680267845,-0.01765345926,0.125626804,0.03866673364,0.9595831815,-0.7692089165
0.0065,0.2612463398,-0.1025284459,376.9908604,-0.769201987,0.4680278215,-0.01764972408,0.125630194,0.0386672521,0.9595831992,-0.7692286631
0.0066,0.2612537998,-0.1025277955,376.9908794,-0.769202033,0.4680284807,-0.0176459833,0.125633505,0.03866764973,0.9595832299,-0.7692483217
