"Time","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,0.2612409309,-0.1026725754,376.9906725,-0.7688972927,0.467152916,-0.01773868333,0.1254019457,0.03863180253,0.959465382,-0.7679805221
1.0E-4,0.2612326077,-0.1026745083,376.9906191,-0.7688957084,0.4671686052,-0.01774031205,0.1254033593,0.03863392656,0.9594647672,-0.7679706613
2.0E-4,0.2612262583,-0.1026763858,376.9905684,-0.7688941098,0.4671847182,-0.01774123164,0.1254057572,0.03863617468,0.9594641504,-0.7679662421
3.0E-4,0.2612219261,-0.102678195,376.9905209,-0.7688925062,0.4672011498,-0.01774143028,0.1254091243,0.03863853309,0.9594635354,-0.7679672983
4.0E-4,0.2612196414,-0.1026799229,376.9904769,-0.7688909073,0.4672177924,-0.01774090907,0.1254134396,0.03864098471,0.9594629259,-0.7679738281
5.0E-4,0.2612194215,-0.1026815561,376.9904365,-0.7688893224,0.4672345364,-0.01773966755,0.1254186756,0.03864351378,0.9594623253,-0.7679857935
6.0E-4,0.2612212698,-0.1026830828,376.9904002,-0.7688877609,0.4672512707,-0.01773770955,0.125424798,0.03864610375,0.9594617372,-0.76800312
7.0E-4,0.2612251764,-0.1026844909,376.9903681,-0.768886232,0.4672678837,-0.01773504891,0.1254317674,0.03864873597,0.9594611652,-0.7680256978
8.0E-4,0.2612311176,-0.1026857688,376.9903403,-0.7688847447,0.4672842657,-0.01773169764,0.1254395381,0.03865139353,0.9594606126,-0.7680533824
9.0E-4,0.2612390563,-0.1026869059,376.9903172,-0.7688833079,0.4673003085,-0.01772768506,0.1254480606,0.03865405551,0.9594600826,-0.7680859961
0.001,0.2612489424,-0.1026878917,376.9902989,-0.7688819299,0.4673159077,-0.01772303499,0.1254572797,0.03865670448,0.9594595783,-0.7681233298
0.0011,0.2612607126,-0.1026887183,376.9902854,-0.7688806188,0.4673309619,-0.01771777791,0.1254671364,0.03865932209,0.9594591027,-0.7681651436
0.0012,0.2612742921,-0.1026893781,376.9902768,-0.7688793821,0.4673453751,-0.01771195093,0.1254775678,0.03866188972,0.9594586585,-0.7682111699
0.0013,0.261289594,-0.1026898647,376.9902733,-0.7688782272,0.4673590572,-0.01770559322,0.1254885083,0.03866438994,0.9594582482,-0.7682611155
0.0014,0.2613065207,-0.1026901734,376.9902748,-0.7688771606,0.467371924,-0.0176987459,0.1254998889,0.0386668063,0.9594578743,-0.7683146635
0.0015,0.2613249647,-0.1026903007,376.9902812,-0.7688761883,0.467383899,-0.01769146104,0.1255116398,0.03866912105,0.9594575387,-0.7683714772
0.0016,0.2613448092,-0.1026902446,376.9902927,-0.7688753159,0.4673949134,-0.01768378663,0.125523689,0.03867131973,0.9594572435,-0.7684312018
0.0017,0.2613659294,-0.1026900053,376.9903089,-0.7688745482,0.467404906,-0.0176757718,0.1255359633,0.03867338906,0.9594569901,-0.7684934672
0.0018,0.2613881934,-0.1026895845,376.99033,-0.7688738894,0.4674138235,-0.01766747214,0.1255483895,0.03867531559,0.95945678,-0.7685578913
0.0019,0.261411463,-0.1026889849,376.9903556,-0.7688733431,0.4674216217,-0.01765893728,0.1255608937,0.03867708941,0.9594566142,-0.7686240822
0.002,0.2614355953,-0.1026882114,376.9903857,-0.7688729121,0.4674282647,-0.01765022978,0.1255734039,0.03867869835,0.9594564937,-0.7686916423
0.0021,0.2614604431,-0.1026872693,376.9904201,-0.7688725987,0.4674337256,-0.01764140192,0.1255858479,0.03868013529,0.9594564188,-0.76876017
0.0022,0.2614858565,-0.1026861672,376.9904584,-0.7688724042,0.4674379848,-0.01763250771,0.1255981553,0.03868139356,0.9594563901,-0.7688292623
0.0023,0.2615116838,-0.1026849137,376.9905005,-0.7688723294,0.4674410314,-0.01762360268,0.1256102572,0.03868246745,0.9594564074,-0.7688985177
0.0024,0.2615377726,-0.1026835188,376.990546,-0.7688723744,0.467442862,-0.01761473619,0.1256220867,0.0386833542,0.9594564706,-0.7689675385
0.0025,0.2615639704,-0.1026819937,376.9905948,-0.7688725387,0.4674434812,-0.01760596669,0.1256335801,0.03868404938,0.9594565791,-0.7690359335
0.0026,0.2615901261,-0.10268035,376.9906464,-0.7688728209,0.4674429005,-0.01759734175,0.1256446756,0.03868455302,0.9594567323,-0.7691033198
0.0027,0.2616160903,-0.102678601,376.9907006,-0.768873219,0.4674411377,-0.01758890778,0.1256553146,0.03868486582,0.959456929,-0.7691693244
0.0028,0.2616417168,-0.1026767602,376.990757,-0.7688737306,0.4674382169,-0.01758071212,0.1256654414,0.0386849888,0.9594571681,-0.7692335866
0.0029,0.2616668628,-0.1026748411,376.9908154,-0.7688743523,0.4674341683,-0.01757279696,0.1256750039,0.03868492505,0.9594574482,-0.7692957592
0.003,0.2616913899,-0.102672858,376.9908752,-0.7688750804,0.4674290265,-0.01756520089,0.1256839531,0.03868467877,0.9594577674,-0.7693555099
0.0031,0.2617151647,-0.1026708248,376.9909363,-0.7688759105,0.4674228319,-0.01755796713,0.1256922445,0.03868425306,0.959458124,-0.7694125237
0.0032,0.2617380594,-0.1026687553,376.9909982,-0.7688768377,0.4674156291,-0.01755112974,0.1256998366,0.03868365402,0.9594585159,-0.769466503
0.0033,0.2617599523,-0.1026666639,376.9910606,-0.7688778566,0.4674074662,-0.0175447187,0.125706692,0.03868288857,0.9594589408,-0.7695171689
0.0034,0.2617807283,-0.1026645644,376.9911231,-0.7688789613,0.4673983947,-0.0175387661,0.1257127773,0.03868196276,0.9594593963,-0.7695642622
0.0035,0.2618002795,-0.1026624696,376.9911854,-0.7688801455,0.4673884701,-0.01753329397,0.1257180627,0.03868088539,0.9594598797,-0.7696075439
0.0036,0.2618185051,-0.1026603926,376.9912471,-0.7688814024,0.4673777501,-0.01752833388,0.1257225236,0.03867966198,0.9594603884,-0.7696467971
0.0037,0.2618353125,-0.1026583446,376.9913079,-0.7688827251,0.4673662958,-0.01752390406,0.1257261387,0.03867830203,0.9594609195,-0.7696818268
