"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,4.468366262E-8,0.2617094518,-0.102672773,376.990915,0.9363952244,3.680076449,0.8881577558,1.782916492,-0.7688734547,1.007541193,1.803345756E-5,0.4674200692,-0.01756014702,2.998012223,1.172719651,0.1256892616,0.03868452234,0.9594571674,-0.7693917867
1.0E-4,4.168434808E-8,0.2617326556,-0.1026707144,376.9909766,0.9368177052,3.680041072,0.8878998841,1.782921259,-0.7688743503,1.007523387,1.671300889E-5,0.4674131969,-0.01755316925,2.998001688,1.172733309,0.1256970914,0.03868398181,0.9594575478,-0.7694468134
2.0E-4,3.863213021E-8,0.2617548972,-0.1026686293,376.9910389,0.9372152222,3.679992027,0.887646012,1.782917157,-0.7688753394,1.007503386,1.537147008E-5,0.4674053477,-0.01754661216,2.99798897,1.172748103,0.1257041967,0.03868327102,0.959457962,-0.7694986172
3.0E-4,3.553116247E-8,0.2617760595,-0.1026665308,376.9911014,0.9375856239,3.679929719,0.887397575,1.782904241,-0.7688764164,1.007481316,1.401063592E-5,0.4673965728,-0.01754050337,2.99797415,1.172763947,0.1257105426,0.03868239786,0.9594584077,-0.7695469324
4.0E-4,3.23855935E-8,0.261796032,-0.102664433,376.9911638,0.9379271321,3.679854573,0.8871559348,1.782882694,-0.7688775751,1.007457312,1.263229834E-5,0.4673869259,-0.01753486964,2.997957317,1.17278075,0.1257160982,0.03868136974,0.9594588822,-0.7695915133
5.0E-4,2.919956539E-8,0.2618147115,-0.1026623487,376.9912258,0.9382379766,3.679767076,0.8869223855,1.782852714,-0.7688788088,1.007431513,1.123824596E-5,0.4673764642,-0.01752973721,2.997938572,1.172798415,0.1257208369,0.03868019398,0.9594593828,-0.7696321355
6.0E-4,2.597721249E-8,0.2618320027,-0.10266029,376.991287,0.9385166075,3.679667772,0.8866981887,1.782814526,-0.7688801106,1.007404065,9.830263826E-6,0.4673652472,-0.01752512757,2.997918026,1.172816842,0.1257247363,0.03867887896,0.9594599069,-0.7696685962
7.0E-4,2.272266096E-8,0.2618478179,-0.1026582689,376.991347,0.9387617012,3.679557251,0.8864845528,1.7827684,-0.7688814731,1.00737512,8.410133504E-6,0.4673533369,-0.01752105779,2.997895797,1.172835927,0.1257277776,0.03867743374,0.9594604514,-0.7697007147
8.0E-4,1.944002889E-8,0.2618620779,-0.1026562962,376.9914057,0.9389720382,3.679436134,0.8862825417,1.782714656,-0.7688828888,1.00734483,6.979633266E-6,0.4673407977,-0.01751755001,2.997872015,1.172855563,0.1257299475,0.03867586545,0.9594610133,-0.7697283337
9.0E-4,1.613342674E-8,0.2618747119,-0.1026543817,376.9914625,0.9391467155,3.679305127,0.886093218,1.782653575,-0.7688843498,1.007313357,5.540538534E-6,0.4673276958,-0.01751461687,2.997846816,1.172875641,0.125731236,0.03867418375,0.9594615896,-0.7697513189
0.001,1.280695842E-8,0.2618856576,-0.1026525358,376.9915174,0.9392848481,3.679164936,0.8859175213,1.782585539,-0.7688858481,1.007280859,4.094622428E-6,0.4673140987,-0.01751226734,2.997820341,1.172896049,0.1257316374,0.0386723985,0.959462177,-0.7697695594
0.0011,9.464722498E-9,0.2618948617,-0.1026507671,376.9915699,0.9393858887,3.679016304,0.8857563511,1.782510941,-0.7688873752,1.007247502,2.643656438E-6,0.4673000751,-0.01751051247,2.99779274,1.172916674,0.1257311506,0.03867051828,0.9594627722,-0.769782968
0.0012,6.110813793E-9,0.2619022798,-0.1026490834,376.9916199,0.9394492833,3.678860018,0.885610457,1.78243018,-0.768888923,1.00721345,1.189411178E-6,0.4672856953,-0.01750935359,2.997764168,1.172937403,0.125729778,0.03866855399,0.9594633721,-0.7697914812
0.0013,2.749324991E-9,0.2619078764,-0.1026474924,376.991667,0.93947497,3.678696873,0.8854805799,1.782343718,-0.7688904827,1.007178872,-2.663427981E-7,0.4672710304,-0.01750880168,2.997734782,1.172958123,0.1257275278,0.03866651292,0.9594639734,-0.7697950604
0.0014,-6.156511707E-10,0.2619116252,-0.1026459998,376.991711,0.9394627921,3.678527734,0.8853673315,1.782251952,-0.768892046,1.007143936,-1.721834166E-6,0.467256153,-0.01750885468,2.997704746,1.17297872,0.1257244112,0.03866440602,0.9594645727,-0.7697936909
0.0015,-3.98002031E-9,0.2619135092,-0.1026446122,376.9917517,0.9394128815,3.678353453,0.8852712308,1.782155385,-0.7688936043,1.007108812,-3.175290006E-6,0.4672411351,-0.01750950996,2.997674224,1.172999082,0.1257204438,0.03866224331,0.9594651668,-0.7697873818
0.0016,-7.339684341E-9,0.2619135203,-0.1026433347,376.9917888,0.9393255886,3.678174904,0.8851927209,1.78205451,-0.7688951489,1.007073669,-4.62493502E-6,0.4672260498,-0.01751076458,2.997643383,1.173019097,0.1257156454,0.0386600343,0.9594657524,-0.7697761666
0.0017,-1.069053965E-8,0.2619116598,-0.1026421716,376.9918223,0.9392013189,3.677992989,0.8851321626,1.781949829,-0.7688966715,1.007038677,-6.06899081E-6,0.4672109704,-0.01751260798,2.997612394,1.173038658,0.1257100396,0.03865779007,0.9594663264,-0.7697601023
0.0018,-1.402847547E-8,0.2619079382,-0.1026411268,376.9918519,0.9390408246,3.677808604,0.8850898235,1.781841891,-0.7688981637,1.007004006,-7.505675246E-6,0.4671959702,-0.01751503763,2.997581423,1.173057657,0.1257036549,0.03865551863,0.9594668855,-0.7697392705
0.0019,-1.734937238E-8,0.2619023748,-0.1026402031,376.9918775,0.9388449532,3.677622702,0.8850658676,1.78173118,-0.7688996174,1.006969825,-8.93320196E-6,0.4671811229,-0.01751803938,2.997550641,1.173075992,0.1256965231,0.03865323118,0.9594674267,-0.7697137761
