"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,5.69680568E-8,0.2616009214,-0.1026810431,376.9906633,0.9343322743,3.680065787,0.8892851592,1.782792376,-0.7688707719,1.007590256,2.34678547E-5,0.4674375012,-0.0175943166,2.998031279,1.172675451,0.1256479773,0.03868478649,0.9594559589,-0.7691234172
1.0E-4,5.424596022E-8,0.2616267912,-0.1026792625,376.9907183,0.934835747,3.680092274,0.8890272163,1.78283586,-0.7688712083,1.007583221,2.22595606E-5,0.4674353493,-0.01758595655,2.998030814,1.172683339,0.1256584523,0.0386850358,0.95945617,-0.7691888853
2.0E-4,5.145298771E-8,0.2616522752,-0.1026773939,376.9907754,0.935324817,3.680104275,0.8887667389,1.782870488,-0.7688717572,1.007573545,2.102239219E-5,0.4674320491,-0.01757784931,2.998027968,1.172692663,0.1256683974,0.03868509629,0.959456423,-0.7692524936
3.0E-4,4.859327221E-8,0.261677232,-0.1026754519,376.9908343,0.9357968375,3.680101852,0.8885052513,1.782896188,-0.768872415,1.007561312,1.975814306E-5,0.467427632,-0.01757003626,2.998022764,1.172703367,0.1256777615,0.03868497119,0.9594567164,-0.7693138997
4.0E-4,4.56709596E-8,0.2617015248,-0.1026734506,376.9908946,0.9362492154,3.680085152,0.8882443173,1.782912914,-0.7688731778,1.007546619,1.846860989E-5,0.4674221347,-0.01756255847,2.99801524,1.172715385,0.1256864971,0.03868466417,0.9594570484,-0.7693727771
5.0E-4,4.269020293E-8,0.261725022,-0.1026714039,376.990956,0.9366795574,3.680054397,0.8879854243,1.782920664,-0.768874041,1.007529572,1.71555905E-5,0.4674155985,-0.01755544916,2.998005448,1.172728646,0.1256945601,0.03868418124,0.9594574171,-0.7694288157
6.0E-4,3.965515787E-8,0.2617475977,-0.1026693261,376.9910181,0.9370856256,3.680009864,0.8877300787,1.782919516,-0.7688749996,1.007510289,1.58208822E-5,0.4674080694,-0.01754874938,2.99799345,1.172743071,0.125701911,0.03868352611,0.9594578203,-0.7694817243
7.0E-4,3.656997885E-8,0.2617691325,-0.1026672303,376.9910806,0.9374653219,3.679951936,0.8874796705,1.782909513,-0.768876048,1.007488894,1.446628056E-5,0.4673995973,-0.01754248825,2.997979321,1.172758575,0.1257085137,0.03868270623,0.9594582557,-0.7695312307
8.0E-4,3.343881635E-8,0.2617895134,-0.1026651309,376.991143,0.937816615,3.679881019,0.8872356139,1.782890822,-0.7688771801,1.007465519,1.309357855E-5,0.4673902349,-0.017536693,2.997963149,1.172775069,0.1257143359,0.03868172901,0.9594587209,-0.7695770824
9.0E-4,3.026581485E-8,0.2618086349,-0.1026630407,376.9912052,0.9381378379,3.67979758,0.8869992178,1.78286363,-0.7688783895,1.007440303,1.170456592E-5,0.4673800382,-0.01753139113,2.997945029,1.172792458,0.1257193496,0.03868060149,0.9594592132,-0.7696190477
0.001,2.705511135E-8,0.261826399,-0.1026609721,376.9912667,0.9384273934,3.679702149,0.8867717839,1.782828149,-0.7688796694,1.007413388,1.030102892E-5,0.4673690662,-0.01752660477,2.99792507,1.172810642,0.125723531,0.03867933203,0.9594597298,-0.7696569168
0.0011,2.381083474E-8,0.2618427154,-0.1026589373,376.9913271,0.9386837936,3.679595298,0.8865544928,1.782784638,-0.7688810125,1.007384925,8.88475025E-6,0.4673573799,-0.01752235213,2.997903388,1.17282952,0.1257268601,0.03867792948,0.9594602678,-0.7696905012
0.0012,2.053710577E-8,0.2618575021,-0.1026569472,376.9913863,0.9389058428,3.679477636,0.8863484835,1.782733405,-0.7688824114,1.007355066,7.45750925E-6,0.4673450432,-0.01751865609,2.99788011,1.172848984,0.1257293218,0.03867640096,0.9594608242,-0.7697196362
0.0013,1.723803736E-8,0.2618706855,-0.1026550121,376.9914438,0.939092539,3.679349852,0.8861548237,1.782674724,-0.7688838582,1.00732397,6.021082235E-6,0.4673321215,-0.01751553035,2.997855367,1.172868927,0.125730905,0.03867475597,0.9594613961,-0.7697441797
0.0014,1.39177355E-8,0.2618822003,-0.1026531423,376.9914994,0.9392429075,3.679212642,0.885974494,1.782608965,-0.7688853449,1.007291796,4.577243023E-6,0.467318682,-0.01751298466,2.997829301,1.172889237,0.1257316024,0.03867300438,0.9594619801,-0.7697640127
0.0015,1.05803003E-8,0.2618919904,-0.102651347,376.9915527,0.9393563685,3.679066738,0.8858083762,1.782536513,-0.7688868634,1.007258707,3.127763566E-6,0.4673047927,-0.01751103105,2.997802059,1.172909802,0.1257314116,0.03867115466,0.9594625731,-0.7697790402
0.0016,7.229827687E-9,0.2619000082,-0.1026496341,376.9916035,0.9394323534,3.678912915,0.8856572957,1.782457758,-0.7688884052,1.007224868,1.67441468E-6,0.4672905238,-0.01750967166,2.997773793,1.17293051,0.1257303336,0.03866921769,0.9594631718,-0.7697891907
0.0017,3.870410879E-9,0.2619062154,-0.1026480115,376.9916516,0.9394706421,3.678751958,0.8855220326,1.782373157,-0.7688899619,1.007190446,2.189668492E-7,0.4672759459,-0.01750891837,2.99774466,1.172951245,0.1257283749,0.03866720071,0.959463773,-0.7697944175
0.0018,5.061423491E-10,0.2619105826,-0.1026464851,376.9916967,0.9394710782,3.678584727,0.8854031708,1.782283096,-0.768891525,1.00715561,-1.236808952E-6,0.4672611314,-0.01750876994,2.997714822,1.172971896,0.1257255456,0.03866511466,0.9594643733,-0.7697946978
0.0019,-2.858884259E-9,0.2619130895,-0.102645062,376.9917385,0.9394337113,3.678412064,0.8853012823,1.782188076,-0.7688930858,1.00712053,-2.691140424E-6,0.4672461521,-0.0175092246,2.997684443,1.172992348,0.1257218598,0.03866296951,0.9594649695,-0.7697900327
0.002,-6.220572319E-9,0.2619137252,-0.1026437473,376.9917768,0.9393588112,3.678234838,0.8852168671,1.782088582,-0.768894636,1.007085374,-4.142253146E-6,0.4672310811,-0.01751028024,2.997653691,1.173012492,0.1257173359,0.03866077476,0.9594655583,-0.7697804478
0.0021,-9.574820223E-9,0.2619124879,-0.1026425456,376.9918116,0.9392468064,3.678053945,0.88515029,1.781985111,-0.7688961669,1.007050314,-5.588369829E-6,0.4672159917,-0.01751193029,2.997622732,1.173032216,0.1257119966,0.03865854065,0.9594661365,-0.7697659923
0.0022,-1.291751978E-8,0.261909385,-0.102641461,376.9918425,0.9390983407,3.677870291,0.885101851,1.781878184,-0.7688976701,1.007015517,-7.027709649E-6,0.467200957,-0.01751416398,2.997591736,1.173051414,0.1257058681,0.03865627779,0.9594667009,-0.7697467393
0.0023,-1.624455461E-8,0.2619044328,-0.102640497,376.9918694,0.9389141504,3.677684784,0.8850717653,1.781768354,-0.7688991376,1.006981154,-8.4584877E-6,0.4671860505,-0.01751697582,2.997560872,1.173069981,0.1256989815,0.03865399469,0.9594672484,-0.769722786
0.0024,-1.955179891E-8,0.261897657,-0.1026396558,376.9918923,0.9386952075,3.677498379,0.8850601326,1.781656118,-0.7689005611,1.006947393,-9.878914585E-6,0.4671713456,-0.01752035104,2.997530309,1.173087817,0.1256913712,0.03865170223,0.959467776,-0.7696942529
