"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,-8.807098378E-8,0.261300289,-0.1026651334,376.9909275,0.9264072519,3.675374419,0.8902816269,1.779801083,-0.7689015993,1.006796084,-3.848878222E-5,0.4670871988,-0.01772369681,2.997317386,1.173051449,0.1254069375,0.0386244268,0.9594671027,-0.7680815685
1.0E-4,-8.896684262E-8,0.2612842077,-0.1026671602,376.9908658,0.9261585476,3.675490937,0.8904999453,1.77984765,-0.7689001822,1.006827118,-3.881945775E-5,0.4670999565,-0.01772817372,2.997340471,1.173031787,0.1254040772,0.03862587843,0.9594665372,-0.7680493714
2.0E-4,-8.973119933E-8,0.2612697747,-0.1026691857,376.9908055,0.9259467977,3.675620079,0.8907071363,1.779903188,-0.7688987119,1.006859948,-3.909256093E-5,0.4671135354,-0.01773203339,2.997365159,1.173011565,0.1254021882,0.03862750222,0.9594659545,-0.768022068
3.0E-4,-9.03624775E-8,0.2612570834,-0.102671198,376.9907468,0.9257734201,3.6757611,0.890901862,1.779967443,-0.768897197,1.006894374,-3.930752296E-5,0.4671278539,-0.01773525227,2.997391312,1.1729909,0.1254012851,0.03862928792,0.9594653581,-0.7679998402
4.0E-4,-9.085936238E-8,0.2612462168,-0.1026731842,376.9906901,0.9256396326,3.6759132,0.8910829449,1.780040023,-0.7688956462,1.006930184,-3.946389197E-5,0.4671428238,-0.01773780405,2.997418781,1.172969911,0.125401375,0.03863122615,0.9594647514,-0.7679828376
5.0E-4,-9.122080945E-8,0.2612372467,-0.1026751324,376.9906357,0.9255463616,3.676075462,0.8912491748,1.780120551,-0.7688940688,1.00696715,-3.956133601E-5,0.4671583509,-0.01773966573,2.997447408,1.172948723,0.1254024586,0.03863330614,0.959464138,-0.7679711761
6.0E-4,-9.144605143E-8,0.2612302332,-0.1026770297,376.9905841,0.9254943191,3.676246887,0.8913995239,1.780208568,-0.7688924739,1.007005035,-3.959964545E-5,0.4671743356,-0.01774082369,2.997477027,1.172927459,0.1254045301,0.03863551433,0.9594635214,-0.7679649372
7.0E-4,-9.153460373E-8,0.2612252241,-0.102678863,376.9905355,0.9254839276,3.676426413,0.8915329881,1.780303543,-0.7688908709,1.007043592,-3.957873454E-5,0.4671906746,-0.01774126206,2.997507467,1.172906245,0.1254075764,0.03863783815,0.9594629055,-0.7679641667
8.0E-4,-9.148626816E-8,0.261222254,-0.1026806193,376.9904903,0.9255153137,3.676612893,0.8916486386,1.78040493,-0.7688892694,1.007082567,-3.949864226E-5,0.4672072606,-0.01774098227,2.997538548,1.172885207,0.1254115789,0.03864026015,0.9594622937,-0.7679688751
9.0E-4,-9.130113482E-8,0.2612213447,-0.1026822852,376.9904487,0.9255884176,3.676805168,0.8917457351,1.780512043,-0.7688876787,1.007121704,-3.935953234E-5,0.4672239851,-0.01773998048,2.99757009,1.172864469,0.125416512,0.03864276544,0.9594616897,-0.7679790362
