"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,1.058030014E-8,0.2618919878,-0.1026513454,376.9915527,0.9393564235,3.679066834,0.8858063484,1.78253656,-0.7688868661,1.00725872,3.12776351E-6,0.4673047988,-0.01751103129,2.997802094,1.172911903,0.125731412,0.03867115451,0.9594625741,-0.7697790429
1.0E-4,7.229827551E-9,0.2619000057,-0.1026496325,376.9916035,0.9394324144,3.678913011,0.8856552867,1.782457804,-0.7688884079,1.007224881,1.674414643E-6,0.4672905299,-0.0175096719,2.997773828,1.17293261,0.125730334,0.03866921754,0.9594631729,-0.7697891934
2.0E-4,3.870410788E-9,0.2619062128,-0.1026480099,376.9916516,0.9394707111,3.678752055,0.8855200051,1.782373203,-0.7688899646,1.007190459,2.189668306E-7,0.467275952,-0.01750891861,2.997744695,1.172953345,0.1257283753,0.03866720056,0.959463774,-0.7697944202
3.0E-4,5.061423151E-10,0.26191058,-0.1026464835,376.9916967,0.9394711358,3.678584824,0.8854011478,1.782283143,-0.7688915277,1.007155624,-1.236808952E-6,0.4672611375,-0.01750877019,2.997714857,1.172973996,0.125725546,0.03866511451,0.9594643744,-0.7697947005
4.0E-4,-2.858884259E-9,0.2619130869,-0.1026450604,376.9917385,0.9394337749,3.678412161,0.8852992606,1.782188123,-0.7688930885,1.007120543,-2.691140405E-6,0.4672461583,-0.01750922484,2.997684479,1.172994448,0.1257218602,0.03866296936,0.9594649706,-0.7697900354
5.0E-4,-6.220572274E-9,0.2619137226,-0.1026437457,376.9917768,0.9393588788,3.678234935,0.8852148539,1.782088628,-0.7688946387,1.007085388,-4.142253108E-6,0.4672310873,-0.01751028049,2.997653726,1.173014591,0.1257173363,0.03866077462,0.9594655594,-0.7697804504
6.0E-4,-9.574820132E-9,0.2619124853,-0.102642544,376.9918116,0.9392468789,3.678054041,0.885148278,1.781985158,-0.7688961696,1.007050327,-5.588369773E-6,0.4672159979,-0.01751193054,2.997622767,1.173034316,0.125711997,0.03865854051,0.9594661376,-0.769765995
7.0E-4,-1.291751966E-8,0.2619093824,-0.1026414594,376.9918425,0.9390983957,3.677870388,0.8850998521,1.781878231,-0.7688976728,1.00701553,-7.027709575E-6,0.4672009631,-0.01751416422,2.997591771,1.173053514,0.1257058685,0.03865627765,0.959466702,-0.7697467419
8.0E-4,-1.624455444E-8,0.2619044302,-0.1026404954,376.9918694,0.9389141935,3.67768488,0.8850697562,1.781768401,-0.7688991402,1.006981167,-8.458487607E-6,0.4671860567,-0.01751697606,2.997560908,1.173072081,0.1256989819,0.03865399456,0.9594672495,-0.7697227887
9.0E-4,-1.955179872E-8,0.2618976544,-0.1026396542,376.9918923,0.9386952823,3.677498476,0.8850581202,1.781656164,-0.7689005638,1.006947406,-9.878914473E-6,0.4671713518,-0.01752035129,2.997530344,1.173089916,0.1256913715,0.03865170209,0.959467777,-0.7696942556
0.001,-2.283511624E-8,0.2618890894,-0.1026389389,376.9919109,0.938442743,3.677312104,0.8850649873,1.7815421,-0.7689019355,1.006914413,-1.128719605E-5,0.467156921,-0.0175242716,2.997500246,1.173106922,0.1256830755,0.0386494112,0.9594682818,-0.7696612857
0.0011,-2.609035995E-8,0.2618787786,-0.1026383511,376.9919252,0.9381579074,3.677126698,0.8850902396,1.781426782,-0.7689032479,1.006882352,-1.268153345E-5,0.4671428362,-0.01752872103,2.997470778,1.173123005,0.1256741356,0.03864713144,0.959468761,-0.7696240448
