"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,4.665176276E-8,0.2616935092,-0.1026741235,376.9908744,0.9361007545,3.680092292,0.8883311591,1.782908336,-0.7688729121,1.007551783,1.890115265E-5,0.4674240845,-0.0175650117,2.998018002,1.172711217,0.1256836578,0.03868478639,0.9594569335,-0.7693534517
1.0E-4,4.369002577E-8,0.2617172859,-0.1026720904,376.9909354,0.9365387167,3.680066193,0.8880714097,1.782919074,-0.7688737424,1.007535509,1.759576225E-5,0.46741789,-0.01755777754,2.998008959,1.172724071,0.1256919499,0.03868436102,0.9594572902,-0.7694104701
2.0E-4,4.067261509E-8,0.2617401824,-0.1026700214,376.9909973,0.9369530917,3.680026227,0.8878147532,1.782920868,-0.7688746698,1.007516958,1.626808396E-5,0.4674106866,-0.01755093589,2.997997689,1.172738117,0.1256995422,0.03868376323,0.9594576822,-0.7694644533
3.0E-4,3.760368597E-8,0.261762077,-0.1026679305,376.9910597,0.9373418145,3.679972712,0.8875625291,1.78291382,-0.7688756889,1.007496252,1.491991407E-5,0.467402523,-0.01754452447,2.997984261,1.172753271,0.125706398,0.03868299769,0.9594581072,-0.7695151227
4.0E-4,3.448739049E-8,0.2617828546,-0.1026658307,376.9911222,0.9377027896,3.679906073,0.8873162022,1.782898009,-0.7688767938,1.007473523,1.355304649E-5,0.4673934512,-0.01753857173,2.99796876,1.172769445,0.1257124837,0.03868207184,0.9594585627,-0.7695622194
5.0E-4,3.132787525E-8,0.2618024071,-0.102663736,376.9911845,0.938034226,3.679826754,0.8870771181,1.782873625,-0.7688779782,1.007448904,1.216927208E-5,0.4673835264,-0.01753310202,2.997951278,1.172786547,0.1257177698,0.03868099379,0.9594590462,-0.7696055046
6.0E-4,2.812927991E-8,0.2618206341,-0.102661659,376.9912463,0.938334493,3.679735258,0.8868465622,1.782840884,-0.7688792354,1.00742254,1.077037828E-5,0.467372806,-0.01752814186,2.997931919,1.172804477,0.125722231,0.03867977059,0.959459555,-0.7696447611
7.0E-4,2.489573607E-8,0.2618374426,-0.1026596115,376.9913071,0.9386020809,3.679632148,0.8866257546,1.782800017,-0.7688805583,1.007394576,9.358148971E-6,0.4673613509,-0.01752370767,2.997910798,1.172823135,0.125725846,0.03867841189,0.9594600862,-0.7696797931
8.0E-4,2.16313672E-8,0.2618527478,-0.1026576054,376.9913667,0.9388356959,3.679518012,0.8864158643,1.782751335,-0.7688819394,1.007365164,7.934364573E-6,0.4673492237,-0.01751982552,2.997888038,1.172842416,0.1257285983,0.03867692393,0.9594606369,-0.7697104281
9.0E-4,1.834028873E-8,0.2618664733,-0.1026556506,376.9914248,0.9390342646,3.67939353,0.8862179788,1.782695089,-0.7688833711,1.007334463,6.50080236E-6,0.4673364897,-0.01751650816,2.997863768,1.172862212,0.1257304754,0.03867531681,0.959461204,-0.7697365165
