"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0,1.723803735E-8,0.2618706853,-0.1026550125,376.9914438,0.9390925063,3.679349852,0.8861548673,1.782674725,-0.7688838582,1.00732397,6.021082229E-6,0.4673321216,-0.01751553009,2.997855367,1.172868905,0.1257309049,0.03867475627,0.9594613961,-0.7697441793
0.0064,-7.229979255E-8,0.2614376939,-0.1026894747,376.9903849,0.9309969379,3.679568965,0.890761555,1.782327079,-0.7688707424,1.007570001,-3.033551292E-5,0.4674233194,-0.01765004476,2.997979439,1.172661322,0.1255730998,0.03867880395,0.9594556592,-0.7686895323
0.0128,9.122080967E-8,0.2612372479,-0.1026751336,376.9906357,0.9255463565,3.676075438,0.8912496049,1.780120556,-0.7688940684,1.006967147,3.956133611E-5,0.4671583495,-0.01773966429,2.997447394,1.172948298,0.1254024587,0.03863330677,0.9594641378,-0.7679711774
0.0192,-6.228942393E-8,0.2616375001,-0.10264161,376.9917402,0.9327186999,3.6752787,0.8867665949,1.780128476,-0.7689121471,1.006622441,-2.80214108E-5,0.4670237135,-0.01761632551,2.997215927,1.173215339,0.1255320413,0.03862403228,0.9594717027,-0.7689092554
0.0256,2.858884225E-9,0.2619130894,-0.1026450623,376.9917385,0.9394336873,3.678412058,0.8853013048,1.782188088,-0.7688930858,1.007120529,2.691140412E-6,0.4672461518,-0.01750922352,2.997684442,1.172992328,0.1257218596,0.03866296975,0.9594649695,-0.7697900324
0.032,5.785896043E-8,0.261592237,-0.1026816151,376.9906455,0.9341617469,3.680053728,0.8893703458,1.782775955,-0.768870652,1.007592,2.386389364E-5,0.4674379584,-0.01759715152,2.998030901,1.172673129,0.125644377,0.03868466108,0.9594558981,-0.7691012415
0.0384,-9.05222755E-8,0.2612257275,-0.1026852978,376.9903774,0.9258578706,3.677202081,0.8918820817,1.780740795,-0.7688845671,1.007199413,-3.890553284E-5,0.4672574028,-0.01773583211,2.997633794,1.172823955,0.1254290361,0.03864795745,0.9594605192,-0.7680154309
0.0448,7.57916165E-8,0.2614827497,-0.1026495764,376.9914426,0.9296496081,3.674955482,0.8882155631,1.779775243,-0.7689103521,1.006627527,3.361074508E-5,0.4670209437,-0.01766756616,2.997201795,1.173179233,0.1254644339,0.0386196082,0.9594707452,-0.7685056046
0.0512,-2.283511652E-8,0.2618890916,-0.1026389407,376.9919109,0.9384426661,3.677312007,0.8850669997,1.781542054,-0.7689019328,1.0069144,-1.128719618E-5,0.4671569149,-0.01752427128,2.997500211,1.1731048,0.1256830749,0.03864941149,0.9594682808,-0.769661282
0.0576,-4.067261511E-8,0.2617401825,-0.1026700208,376.9909973,0.9369531036,3.680026216,0.8878147246,1.782920882,-0.7688746698,1.007516958,-1.626808396E-5,0.4674106865,-0.01755093737,2.99799769,1.172738117,0.1256995424,0.03868376241,0.9594576822,-0.7694644532
