"",Time,theta,Id,Idrms,Iq,Iqrms,Ws,p_test,q_test,Tmpu,Vd,Vdrms,Vq,Vqrms,Ia,Ib,Ic,ph,qh,Wr,Te,Va,Vb,Vc,phCalcPeak,phCalcRMS,qhCalcPeak,qhCalcRMS,edp,eqp,edp_dt,eqp_dt,edp_Calc,eqp_Calc
0,0.0000,1.618757,0.213304,0.261243,-0.083833,-0.102674,376.990672,0.125401,0.038630,-0.768895,0.381425,0.467148,-0.014483,-0.017739,0.219688,-0.166377,-0.053311,0.125402,0.038632,0.959465,-0.767978,0.381311,-0.174843,-0.206370,0.123860,0.123860,0.043330,0.043330,0.359717,-0.057115,0.156545,0.002882,0.899626,4.533084
1,0.0001,1.656456,0.213297,0.261235,-0.083834,-0.102676,376.990618,0.125402,0.038632,-0.768894,0.381438,0.467164,-0.014485,-0.017740,0.221987,-0.160317,-0.061670,0.125403,0.038634,0.959464,-0.767968,0.380367,-0.161937,-0.218333,0.123861,0.123861,0.043332,0.043332,0.359730,-0.057115,0.156545,0.002882,0.899626,4.532920
2,0.0002,1.694155,0.213292,0.261228,-0.083836,-0.102678,376.990568,0.125403,0.038634,-0.768892,0.381451,0.467180,-0.014486,-0.017741,0.223973,-0.154031,-0.069942,0.125405,0.038636,0.959463,-0.767964,0.378883,-0.148799,-0.229987,0.123862,0.123862,0.043334,0.043334,0.359743,-0.057115,0.159985,0.005860,0.899624,4.532789
3,0.0003,1.731854,0.213289,0.261224,-0.083837,-0.102679,376.990520,0.125406,0.038636,-0.768890,0.381464,0.467196,-0.014486,-0.017741,0.225642,-0.147526,-0.078115,0.125409,0.038639,0.959463,-0.767965,0.376860,-0.135448,-0.241316,0.123865,0.123865,0.043337,0.043337,0.359756,-0.057114,0.162382,0.008825,0.899621,4.532694
4,0.0004,1.769553,0.213287,0.261222,-0.083839,-0.102681,376.990476,0.125409,0.038639,-0.768889,0.381478,0.467213,-0.014485,-0.017741,0.226992,-0.140813,-0.086179,0.125413,0.038641,0.959462,-0.767972,0.374301,-0.121903,-0.252302,0.123868,0.123868,0.043340,0.043340,0.359770,-0.057113,0.163711,0.011770,0.899616,4.532634
5,0.0005,1.807252,0.213286,0.261222,-0.083840,-0.102683,376.990436,0.125413,0.038641,-0.768887,0.381491,0.467230,-0.014484,-0.017739,0.228021,-0.133900,-0.094121,0.125418,0.038644,0.959461,-0.767984,0.371210,-0.108183,-0.262932,0.123872,0.123872,0.043343,0.043343,0.359783,-0.057112,0.163959,0.014640,0.899610,4.532610
6,0.0006,1.844951,0.213288,0.261223,-0.083841,-0.102684,376.990399,0.125418,0.038644,-0.768886,0.381505,0.467246,-0.014483,-0.017738,0.228728,-0.126797,-0.101932,0.125424,0.038646,0.959461,-0.768001,0.367591,-0.094308,-0.273188,0.123877,0.123877,0.043345,0.043345,0.359796,-0.057111,0.163125,0.017406,0.899602,4.532622
7,0.0007,1.882650,0.213291,0.261227,-0.083843,-0.102686,376.990367,0.125425,0.038646,-0.768884,0.381519,0.467263,-0.014480,-0.017735,0.229112,-0.119513,-0.109599,0.125431,0.038649,0.959460,-0.768024,0.363449,-0.080297,-0.283058,0.123883,0.123883,0.043348,0.043348,0.359810,-0.057109,0.161214,0.020082,0.899593,4.532670
8,0.0008,1.920349,0.213296,0.261233,-0.083844,-0.102687,376.990340,0.125432,0.038649,-0.768883,0.381532,0.467279,-0.014478,-0.017732,0.229171,-0.112059,-0.117111,0.125439,0.038651,0.959460,-0.768051,0.358789,-0.066170,-0.292525,0.123890,0.123890,0.043351,0.043351,0.359823,-0.057107,0.158238,0.022626,0.899583,4.532753
9,0.0009,1.958048,0.213302,0.261241,-0.083845,-0.102688,376.990316,0.125439,0.038651,-0.768881,0.381545,0.467295,-0.014474,-0.017728,0.228906,-0.104446,-0.124460,0.125448,0.038654,0.959459,-0.768084,0.353618,-0.051948,-0.301578,0.123897,0.123897,0.043355,0.043355,0.359835,-0.057105,0.154228,0.025027,0.899571,4.532872
