"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.9700753537,-3.445871997,3.708669128,1.793592433,2.939401944,5.291467519,0.1601574888,0.05227669578
0.0064,0.9676174395,-3.445134676,3.708709362,1.793419428,2.939383412,5.291429584,0.1601208185,0.05226896026
0.0128,0.9671873028,-3.44510583,3.708003735,1.79291813,2.93921856,5.291482684,0.16009301,0.05224074924
0.0192,0.9695627714,-3.445837334,3.70777771,1.792962438,2.939197907,5.291533527,0.1601226073,0.05224132848
0.0256,0.9705285967,-3.446033379,3.708459117,1.793492306,2.939360253,5.29149114,0.1601580777,0.05227061555
0.032,0.9683574962,-3.445341342,3.708813345,1.793547065,2.939415327,5.291431294,0.1601353749,0.05227559891
0.0384,0.9669289113,-3.444996284,3.708234885,1.793051077,2.939267587,5.291459839,0.1600959621,0.05224853646
0.0448,0.9687379275,-3.445601205,3.707730844,1.792862879,2.939177143,5.291526215,0.160108573,0.05223634473
0.0512,0.9706247204,-3.446093649,3.708210185,1.793336835,2.939306246,5.291512812,0.1601519861,0.0522617034
0.0576,0.9691842999,-3.445587964,3.708813089,1.793613734,2.939424394,5.291443014,0.1601481224,0.05227868012
0.064,0.9670340687,-3.444993745,3.70847331,1.793217326,2.939322973,5.291441277,0.1601047293,0.0522579287
0.0704,0.967925927,-3.445353178,3.707796406,1.792839848,2.939181395,5.291509879,0.1600981161,0.05223569329
0.0768,0.9703391802,-3.446039794,3.707974717,1.793157708,2.939250895,5.291528056,0.1601404595,0.05225177463
0.0832,0.9699349109,-3.445825484,3.70870596,1.793604992,2.939408622,5.2914625,0.1601564443,0.05227753158
0.0896,0.9674798366,-3.445098489,3.708673978,1.793385168,2.939373787,5.291430628,0.1601176281,0.05226712329
0.096,0.9672908481,-3.445143046,3.707957954,1.792896016,2.939209565,5.2914879,0.1600932285,0.05223940571
0.1024,0.9697301806,-3.445883166,3.707803121,1.792993265,2.939205605,5.291533723,0.160125937,0.05224294161
0.1088,0.9704562092,-3.446005408,3.708510828,1.79352025,2.939370931,5.291485887,0.1601585393,0.05227226498
0.1152,0.9681800484,-3.445290349,3.708798778,1.793523206,2.939410047,5.291430009,0.1601321961,0.05227439321
0.1216,0.9669552983,-3.445011852,3.708181245,1.793017557,2.939255764,5.291464696,0.1600947642,0.05224660481
0.128,0.968926368,-3.445656531,3.707731404,1.792878792,2.939179659,5.291528709,0.1601114726,0.0522370968
0.1344,0.9706367735,-3.446090028,3.708266254,1.793374686,2.939318773,5.291508409,0.1601538754,0.0522638424
0.1408,0.969001284,-3.44553216,3.708822598,1.79360511,2.939424531,5.291439631,0.1601455879,0.05227834858
0.1472,0.9669793738,-3.444984725,3.708422043,1.793179099,2.939310677,5.291444826,0.1601023497,0.05225579446
0.1536,0.9680964648,-3.445406687,3.707772667,1.792837947,2.939178265,5.291514138,0.1601000135,0.05223544642
0.16,0.9704339264,-3.44606145,3.708023147,1.793197638,2.939262711,5.291525414,0.1601433799,0.05225396178
0.1664,0.9697829943,-3.445776045,3.708738367,1.793613727,2.9394142,5.291457676,0.1601550864,0.0522781602
0.1728,0.9673548048,-3.445066694,3.708634734,1.793349395,2.939363432,5.291432175,0.1601145211,0.0522651897
0.1792,0.9674095384,-3.445184113,3.707915336,1.792877161,2.939201474,5.291493054,0.1600937714,0.05223823587
0.1856,0.9698877709,-3.44592546,3.707833588,1.793026614,2.939214271,5.291533384,0.1601292707,0.05224470551
0.192,0.9703668668,-3.445972534,3.708560139,1.793545113,2.93938088,5.291480592,0.1601586628,0.05227375432
0.1984,0.9680086982,-3.445241859,3.70877913,1.793496585,2.939403676,5.291429236,0.1601289574,0.05227302274
0.2048,0.9669999122,-3.445032613,3.708128482,1.792986072,2.93924438,5.291469719,0.1600938688,0.05224477357
0.2112,0.9691134063,-3.445710629,3.707737663,1.792898467,2.939183409,5.291530723,0.1601145241,0.05223806217
0.2176,0.970629549,-3.446080722,3.70832238,1.793410989,2.939331104,5.291503728,0.1601554706,0.05226590987
0.224,0.9688164401,-3.445476442,3.708826716,1.793592833,2.939423422,5.291436671,0.1601428597,0.05227780915
0.2304,0.9669422957,-3.444981175,3.7083694,1.793141319,2.939298271,5.291448737,0.1601002012,0.05225367087
0.2368,0.968274124,-3.44546158,3.70775394,1.792840057,2.939176367,5.291518071,0.1601021701,0.05223542308
0.2432,0.9705114281,-3.446077657,3.708074287,1.793237861,2.939274909,5.291522318,0.1601461193,0.05225617995
0.2496,0.969621123,-3.445724247,3.708766051,1.793618575,2.939418627,5.291453097,0.1601534318,0.05227857634
0.256,0.9672437491,-3.445039612,3.708592122,1.793312431,2.939352452,5.291434209,0.16011153,0.0522631761
0.2624,0.9675421293,-3.44522882,3.707876201,1.792861818,2.939194371,5.291498096,0.1600946309,0.05223725447
0.2688,0.9700339226,-3.445963822,3.70786875,1.793062101,2.939223821,5.29153251,0.1601325717,0.05224659961
0.2752,0.9702613359,-3.445935301,3.708606362,1.793566664,2.939390002,5.291475308,0.1601584443,0.05227507062
0.2816,0.9678450062,-3.445196396,3.708754636,1.793467393,2.939396274,5.291428985,0.1601256942,0.05227149938
0.288,0.9670621605,-3.44505834,3.70807716,1.792956916,2.939233543,5.291474862,0.1600932874,0.05224306029
0.2944,0.9692973487,-3.445763067,3.707749536,1.792921637,2.939188355,5.291532235,0.1601176946,0.05223922852
0.3008,0.9706031935,-3.446065862,3.708377971,1.793445307,2.939343116,5.291498818,0.1601567567,0.05226788156
0.3072,0.968631306,-3.445421453,3.708825355,1.793577017,2.939421085,5.291434162,0.1601399636,0.0522770691
0.3136,0.9669232585,-3.444983105,3.708315855,1.7931043,2.93928588,5.291452972,0.1600983021,0.05225157589
0.32,0.9684571152,-3.445517318,3.707740554,1.792846191,2.939175728,5.291521637,0.16010457,0.05223562379
0.3264,0.9705707929,-3.446088335,3.708127569,1.793277909,2.939287362,5.291518801,0.1601486484,0.05225840382
0.3328,0.9694509514,-3.445670657,3.708788722,1.793619532,2.939421855,5.291448809,0.1601514969,0.05227877879
0.3392,0.9671478822,-3.445017322,3.708546509,1.793274699,2.93934095,5.291436709,0.1601086798,0.05226110482
0.3456,0.9676874661,-3.445276577,3.707841035,1.792850178,2.93918833,5.291502975,0.160095802,0.05223647343
0.352,0.9701670045,-3.445997823,3.707908256,1.793099395,2.939234159,5.29153111,0.160135807,0.05224860638
0.3584,0.9701408151,-3.445894005,3.708649146,1.793584752,2.939398208,5.29147009,0.1601578899,0.05227620271
0.3648,0.9676906561,-3.445154265,3.708725524,1.793435941,2.939387921,5.291429255,0.1601224337,0.05226983862
