"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.9684110429,-3.445503312,3.707743396,1.792844261,2.939175768,5.291520792,0.1601039477,0.05223555167
0.0064,0.970557686,-3.446086196,3.708114071,1.793267933,2.939284235,5.291519727,0.1601480371,0.05225784792
0.0128,0.9694941209,-3.445684214,3.708783501,1.793619651,2.93942116,5.291449863,0.1601520046,0.05227874876
0.0192,0.9671704217,-3.445022396,3.708558165,1.79328421,2.93934387,5.29143605,0.1601093768,0.0522616279
0.0256,0.9676501052,-3.445264393,3.707849422,1.792852734,2.939189737,5.291501784,0.1600954802,0.05223664963
0.032,0.9701349979,-3.445989715,3.707897987,1.793089944,2.939231503,5.29153152,0.1601350062,0.05224809672
0.0384,0.9701722523,-3.445904716,3.708638807,1.793580563,2.939396248,5.291471395,0.1601580598,0.05227593731
0.0448,0.9677282889,-3.445164472,3.708733257,1.793443986,2.939390092,5.29142915,0.1601232477,0.052270265
0.0512,0.9671200829,-3.445080824,3.708039779,1.792936703,2.939225844,5.291478775,0.1600930568,0.05224186269
0.0576,0.9694319358,-3.445800961,3.707762125,1.792941181,2.939192822,5.29153304,0.1601201339,0.05224022772
0.064,0.9705710664,-3.446051116,3.708418991,1.793469531,2.939351833,5.291495029,0.1601575107,0.05226928452
0.0704,0.9684935407,-3.445380944,3.708820872,1.793562931,2.93941854,5.2914326,0.1601377012,0.05227638582
0.0768,0.9669209626,-3.444988208,3.708275355,1.793077281,2.939276668,5.291456347,0.1600970541,0.05225003769
0.0832,0.9685969669,-3.445559293,3.707734167,1.792853432,2.939176078,5.291524058,0.160106516,0.05223592188
0.0896,0.9706031409,-3.446092606,3.708168558,1.793307624,2.939296795,5.291515917,0.1601503889,0.05226006307
0.096,0.9693190316,-3.445629579,3.708802372,1.793617718,2.939423471,5.291445821,0.1601498769,0.05227879074
0.1024,0.967086277,-3.445004085,3.708510498,1.793246053,2.939332051,5.291438885,0.1601066506,0.05225952339
0.1088,0.9678037939,-3.44531425,3.707817394,1.792843875,2.939184535,5.291506508,0.1600968751,0.05223602155
0.1152,0.9702574886,-3.446020207,3.707940484,1.793128244,2.939242359,5.291529734,0.1601381681,0.05225016946
0.1216,0.9700413948,-3.445860692,3.708678725,1.793595915,2.939403713,5.29146626,0.1601572572,0.05227692344
0.128,0.9675818932,-3.445125276,3.708700882,1.793411031,2.939381079,5.291429809,0.1601200147,0.05226851152
0.1344,0.9672117536,-3.445114716,3.70799203,1.7929123,2.93921623,5.291484003,0.160093034,0.05224039752
0.1408,0.969605524,-3.445849065,3.707783653,1.792969928,2.939199735,5.291533638,0.1601234396,0.05224171736
0.1472,0.9705121872,-3.446026824,3.708472264,1.793499564,2.939362984,5.291489845,0.1601582246,0.05227104167
0.1536,0.9683126372,-3.445328412,3.708810171,1.793541376,2.939414113,5.291430936,0.1601345862,0.05227531358
