"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.9697301634,-3.445883159,3.707803128,1.792993255,2.9392056,5.291533733,0.1601259371,0.0522429416
0.0064,0.970456205,-3.446005412,3.708510834,1.793520238,2.939370934,5.291485895,0.1601585391,0.05227226409
0.0128,0.9681800766,-3.445290344,3.708798774,1.793523215,2.939410045,5.291430019,0.1601321962,0.0522743936
0.0192,0.9669553,-3.445011853,3.708181235,1.793017572,2.939255766,5.291464703,0.1600947634,0.05224660557
0.0256,0.9689264067,-3.445656547,3.7077314,1.7928788,2.939179661,5.291528718,0.1601114727,0.05223709675
0.032,0.9706368025,-3.446090035,3.70826625,1.793374698,2.939318768,5.291508419,0.1601538753,0.05226384327
0.0384,0.9690012515,-3.44553217,3.708822589,1.79360513,2.939424533,5.291439638,0.1601455873,0.05227834917
0.0448,0.9669793917,-3.444984736,3.708422039,1.793179113,2.939310674,5.291444837,0.16010235,0.05225579524
0.0512,0.9680964405,-3.445406653,3.707772672,1.792837939,2.939178263,5.291514147,0.1601000133,0.05223544656
0.0576,0.9704339295,-3.44606147,3.708023159,1.793197621,2.939262714,5.291525422,0.1601433801,0.05225396053
0.064,0.9697830186,-3.445776051,3.708738378,1.793613708,2.939414198,5.291457687,0.1601550868,0.05227815956
0.0704,0.9673547763,-3.445066687,3.70863474,1.793349383,2.939363436,5.291432182,0.1601145209,0.05226518896
0.0768,0.9674096011,-3.44518413,3.707915331,1.792877169,2.939201474,5.291493065,0.1600937716,0.05223823602
0.0832,0.9698877787,-3.445925452,3.707833594,1.793026602,2.939214267,5.291533393,0.1601292708,0.05224470525
0.0896,0.9703668694,-3.445972555,3.708560129,1.79354513,2.939380883,5.2914806,0.1601586622,0.05227375473
