"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.8052956071,-3.430329,3.582177215,1.764523533,2.938478447,5.323334601,0.1245113074,0.1274097578
0.0064,0.8060213035,-3.430138799,3.581304571,1.764293006,2.93827608,5.323426905,0.1244987224,0.1273866668
0.0128,0.8086809582,-3.431592629,3.580908309,1.764219205,2.938332623,5.323478713,0.1245140197,0.1274002314
0.0192,0.8085782663,-3.432113788,3.581640204,1.764407168,2.938544674,5.323399776,0.1245288946,0.1274250489
0.0256,0.8058907811,-3.430784231,3.582250298,1.764551091,2.938539484,5.323328748,0.1245181725,0.1274186721
0.032,0.8053738543,-3.429947541,3.581612968,1.764367992,2.938322575,5.323392716,0.1244996821,0.1273906878
0.0384,0.8079751814,-3.431111646,3.580893435,1.764208663,2.938282477,5.323477529,0.1245073119,0.1273925177
0.0448,0.8090318945,-3.432180692,3.581344841,1.764332549,2.938486841,5.323432905,0.1245266234,0.1274191734
0.0512,0.8067311092,-3.431293935,3.582178513,1.764539687,2.938576239,5.323338277,0.1245240533,0.1274250121
0.0576,0.8050824995,-3.42998491,3.581914016,1.764447201,2.93838936,5.323360857,0.1245036706,0.1273981989
0.064,0.8070897799,-3.430617494,3.581010581,1.76422877,2.938259824,5.323461654,0.1245018858,0.1273875023
0.0704,0.8091103254,-3.432028761,3.581093014,1.764268872,2.938416209,5.323460404,0.1245219055,0.1274110619
0.0768,0.8076396724,-3.431752605,3.581982024,1.764493118,2.938581471,5.323361035,0.1245278733,0.1274275361
0.0832,0.8052110317,-3.430245438,3.582142076,1.764512563,2.938462773,5.323337949,0.1245097924,0.1274076131
0.0896,0.8062004948,-3.430208964,3.581241698,1.764278513,2.938269548,5.323434099,0.1244989545,0.1273863404
0.096,0.80879895,-3.431688,3.58092928,1.764225441,2.938346558,5.323476921,0.1245155431,0.1274021596
0.1024,0.8084336749,-3.432069339,3.581706531,1.764423956,2.938554549,5.32339229,0.1245290244,0.1274259272
0.1088,0.8057317393,-3.430674611,3.582246641,1.764548253,2.938527644,5.323328705,0.1245166851,0.1274168529
0.1152,0.8054908881,-3.429971074,3.581542631,1.764350342,2.938310078,5.323400364,0.1244991867,0.1273894504
0.1216,0.8081530954,-3.431223189,3.580885211,1.764208413,2.938291535,5.323479109,0.1245087402,0.127394049
0.128,0.8089616844,-3.432185007,3.581408478,1.764348606,2.93850126,5.323425812,0.1245273584,0.1274207187
0.1344,0.8065318992,-3.431181413,3.582206451,1.764545588,2.93857064,5.323334894,0.1245228939,0.127423905
0.1408,0.8051118298,-3.429956346,3.581851218,1.764430153,2.938373417,5.323367377,0.1245025582,0.1273962979
0.1472,0.8072934498,-3.430723327,3.580973639,1.764221623,2.938262134,5.323466342,0.1245029122,0.1273883157
0.1536,0.8091271643,-3.432080506,3.581142761,1.764281551,2.938432319,5.323455079,0.1245231309,0.1274129861
0.16,0.8074414738,-3.431660151,3.582034392,1.764505917,2.93858317,5.323355046,0.1245272419,0.127427334
0.1664,0.8051460785,-3.430170384,3.582100641,1.764500122,2.938446669,5.323341983,0.1245083121,0.1274054599
0.1728,0.8063888769,-3.430287601,3.581182415,1.764265162,2.938264567,5.323440981,0.1244993468,0.1273862294
0.1792,0.8089000951,-3.431777264,3.580956167,1.764232984,2.93836123,5.32347441,0.1245170423,0.1274041264
0.1856,0.8082756544,-3.432014845,3.581771739,1.764440446,2.938563104,5.323384917,0.1245290138,0.127426626
0.192,0.8055867122,-3.430568998,3.582235663,1.764543486,2.938514704,5.323329437,0.1245151631,0.1274149236
0.1984,0.8056244462,-3.430005846,3.58147273,1.764333114,2.938298726,5.32340805,0.1244988506,0.1273884027
0.2048,0.8083202214,-3.431332895,3.580883637,1.76420968,2.938301872,5.32347994,0.1245102173,0.1273956991
0.2112,0.8088731705,-3.432178361,3.581473707,1.764365063,2.93851489,5.323418507,0.1245279652,0.1274221378
0.2176,0.8063380836,-3.43106748,3.582227784,1.764549574,2.938563511,5.323332211,0.1245216408,0.1274226125
0.224,0.8051619587,-3.42993924,3.581785509,1.764412612,2.938357977,5.323374276,0.124501568,0.1273945138
0.2304,0.8074949096,-3.430832354,3.580942753,1.764215971,2.938266045,5.323470397,0.1245040537,0.1273893118
0.2368,0.8091243674,-3.43212229,3.581196458,1.764295125,2.938448322,5.323449257,0.1245242636,0.1274148544
0.2432,0.8072395389,-3.431561444,3.582082259,1.764517488,2.938583232,5.323349543,0.1245264808,0.1274269269
0.2496,0.8051016576,-3.430104536,3.582053457,1.764486359,2.938430301,5.323346664,0.1245068856,0.1274033216
0.256,0.8065842923,-3.43037394,3.58112727,1.76425309,2.938261175,5.323447483,0.1244998936,0.1273863341
0.2624,0.8089835228,-3.431859361,3.580988788,1.764241806,2.938376486,5.323471207,0.124518505,0.127406116
0.2688,0.8081057117,-3.431950756,3.581835176,1.76445645,2.93857025,5.323377728,0.1245288601,0.1274271345
0.2752,0.8054574146,-3.430468275,3.582217547,1.764536844,2.938500803,5.323330938,0.1245136223,0.1274129053
0.2816,0.8057730836,-3.430051446,3.581403933,1.764316457,2.938288637,5.323415693,0.1244986752,0.1273875517
0.288,0.8084749823,-3.431439838,3.5808886,1.764212393,2.93831339,5.323480015,0.1245117261,0.1273974489
0.2944,0.8087674517,-3.432160636,3.58154007,1.764381825,2.938527601,5.32341106,0.124528441,0.1274234187
0.3008,0.8061517167,-3.430953361,3.582242125,1.764551647,2.938554918,5.323330259,0.1245203032,0.1274211508
0.3072,0.8052322523,-3.429933775,3.581717522,1.764394802,2.93834319,5.323381487,0.1245007073,0.127392866
0.3136,0.8076918997,-3.430943467,3.58091812,1.764211883,2.938271507,5.32347378,0.1245052923,0.1273904774
0.32,0.8091018806,-3.432153675,3.581253643,1.764309573,2.938464065,5.323442992,0.1245252915,0.1274166502
0.3264,0.8070356888,-3.431457499,3.582125017,1.764527588,2.938581658,5.323344584,0.1245255972,0.1274263128
0.3328,0.8050780079,-3.430048774,3.582001058,1.764471407,2.938413845,5.323351942,0.1245055319,0.127401223
0.3392,0.8067845747,-3.430467149,3.58107668,1.764242281,2.938259406,5.32345354,0.124500587,0.1273866475
0.3456,0.809048481,-3.431933599,3.581026754,1.764251789,2.938392179,5.323467346,0.1245199153,0.127408107
0.352,0.8079254553,-3.431877659,3.581896288,1.764471755,2.938575905,5.323370798,0.12452857,0.1274274463
0.3584,0.8053450128,-3.430373696,3.58219238,1.764528386,2.938486073,5.323333196,0.1245120783,0.1274108183
0.3648,0.8059355124,-3.430107247,3.581337066,1.764300562,2.938279907,5.323423214,0.1244986661,0.1273869093
0.3712,0.8086161273,-3.431542873,3.58090017,1.764216585,2.938325975,5.323479333,0.1245132541,0.1273992851
0.3776,0.8086452648,-3.432132061,3.581606833,1.76439874,2.93853927,5.32340354,0.124528778,0.1274245473
0.384,0.8059748944,-3.430840126,3.582249356,1.764551764,2.938544952,5.323329061,0.1245188955,0.1274195331
0.3904,0.8053220289,-3.429940053,3.581648035,1.764376912,2.938329213,5.323388932,0.1244999877,0.1273913715
0.3968,0.8078826821,-3.431055584,3.580900014,1.764209355,2.938278461,5.323476461,0.1245066193,0.1273918027
0.4032,0.8090600589,-3.432174406,3.581313798,1.764324754,2.938479386,5.323436349,0.1245262076,0.1274183572
0.4096,0.8068320593,-3.431349291,3.582162176,1.764536097,2.938578447,5.323340221,0.1245245965,0.127425496
0.416,0.8050756696,-3.430003484,3.581944065,1.764455455,2.938397467,5.323357762,0.1245042662,0.1273991866
0.4224,0.8069877868,-3.430566167,3.581031289,1.764232945,2.938259278,5.323459087,0.1245014214,0.1273871683
0.4288,0.8090945569,-3.431999314,3.581069766,1.764262897,2.93840816,5.323462864,0.124521262,0.1274100842
0.4352,0.8077366965,-3.431796234,3.581954339,1.764486241,2.938580012,5.323364195,0.1245281392,0.1274275573
0.4416,0.8052508852,-3.43028624,3.582160447,1.764518242,2.938470672,5.323336188,0.124510548,0.1274086877
0.448,0.80610969,-3.43017275,3.58127276,1.764285624,2.938272624,5.323430536,0.1244988186,0.1273864785
0.4544,0.808742028,-3.431641065,3.580918019,1.764222145,2.938339491,5.323477908,0.1245147826,0.1274011872
0.4608,0.8085077395,-3.432092855,3.581673455,1.764415596,2.938549769,5.323396025,0.124528978,0.1274255114
0.4672,0.8058096139,-3.430729026,3.582249394,1.76454995,2.938533711,5.323328629,0.1245174331,0.1274177792
0.4736,0.8054301844,-3.429957904,3.581577799,1.764359137,2.938316192,5.323396531,0.1244994159,0.1273900454
0.48,0.8080653625,-3.431167591,3.580888457,1.764208357,2.938286839,5.323478412,0.1245080171,0.1273932687
0.4864,0.8089989705,-3.432184253,3.581376419,1.764340502,2.93849414,5.32342939,0.1245270068,0.1274199597
0.4928,0.8066308974,-3.431237917,3.582193301,1.764542839,2.938573632,5.323336502,0.1245234877,0.127424481
0.4992,0.8050944538,-3.42996921,3.581883023,1.764438746,2.938381336,5.323364065,0.1245030981,0.1273972355
0.5056,0.8071918829,-3.430669956,3.580991403,1.764224998,2.938260778,5.323464075,0.1245023863,0.1273878841
0.512,0.8091212108,-3.432055857,3.581117368,1.764275081,2.938424265,5.323457808,0.1245225308,0.1274120318
0.5184,0.807541241,-3.431707214,3.582008782,1.764499684,2.938582525,5.323357983,0.1245275734,0.1274274612
0.5248,0.8051760122,-3.43020681,3.582122084,1.764506523,2.938454765,5.323339883,0.1245090469,0.127406535
0.5312,0.8062936893,-3.430247234,3.581211597,1.764271707,2.938266861,5.323437583,0.1244991296,0.1273862597
0.5376,0.8088516522,-3.431733504,3.580941959,1.764229055,2.938353811,5.323475754,0.124516295,0.1274031374
0.544,0.8083561859,-3.432043355,3.581739299,1.764432258,2.938558995,5.323388586,0.1245290374,0.127426301
0.5504,0.8056574087,-3.430621273,3.582242074,1.764546107,2.938521305,5.323328974,0.1245159261,0.127415901
0.5568,0.8055556504,-3.429987099,3.581507558,1.764341661,2.938304251,5.323404208,0.1244989995,0.1273889009
0.5632,0.8082380454,-3.431278361,3.580883593,1.764208849,2.938296548,5.323479619,0.1245094746,0.1273948622
0.5696,0.8089196879,-3.432183066,3.581440958,1.764356792,2.938508184,5.323422181,0.124527678,0.1274214442
0.576,0.8064341537,-3.431124529,3.582217946,1.764547802,2.938567263,5.323333463,0.1245222796,0.1274232805
0.5824,0.8051342988,-3.429946295,3.581818673,1.764421426,2.938365625,5.323370783,0.1245020452,0.1273953904
0.5888,0.80739461,-3.430777529,3.580957444,1.764218605,2.938263892,5.323468452,0.1245034706,0.1273887901
0.5952,0.8091282181,-3.432102671,3.581169152,1.764288232,2.938440341,5.323452228,0.1245237104,0.1274139305
0.6016,0.8073408485,-3.431611511,3.582058935,1.764511893,2.938583408,5.323352229,0.1245268758,0.1274271566
0.608,0.8051213134,-3.430136243,3.582077717,1.764493406,2.938438507,5.323344247,0.1245075919,0.1274043871
0.6144,0.8064857967,-3.430329862,3.581154253,1.764258981,2.938262669,5.323444284,0.1244995989,0.1273862573
0.6208,0.80894407,-3.431819242,3.58097179,1.764237258,2.938368796,5.323472892,0.1245177789,0.1274051188
0.6272,0.8081920884,-3.431983956,3.581803747,1.764448521,2.938566859,5.323381295,0.1245289571,0.1274269056
0.6336,0.805520037,-3.43051794,3.58222753,1.764540402,2.938507866,5.323330092,0.1245143931,0.1274139251
0.64,0.8056971028,-3.430027311,3.581438208,1.764324704,2.938293516,5.323411883,0.1244987468,0.1273879523
0.6464,0.8083992216,-3.431386762,3.580885296,1.764210837,2.938307489,5.323480072,0.1245109685,0.1273965631
0.6528,0.8088225136,-3.432170857,3.581506823,1.764373442,2.938521371,5.323414796,0.1245282189,0.1274227962
0.6592,0.8062437386,-3.431010422,3.582235786,1.764550854,2.938559391,5.323331144,0.1245209823,0.1274219021
0.6656,0.8051946376,-3.429935024,3.581751714,1.764403741,2.938350492,5.323377847,0.1245011173,0.1273936727
0.672,0.8075940336,-3.430887699,3.580929642,1.764213753,2.938268587,5.323472174,0.1245046609,0.1273898731
0.6784,0.8091155747,-3.432139275,3.581224675,1.764302283,2.938456236,5.323446176,0.1245247923,0.1274157648
0.6848,0.8071377016,-3.431510033,3.582104315,1.764522719,2.938582651,5.323346992,0.1245260534,0.1274266446
0.6912,0.8050871878,-3.430075382,3.582027865,1.764479005,2.938422072,5.323349233,0.1245062007,0.1274022651
0.6976,0.8066838192,-3.430419741,3.58110133,1.764247487,2.938260085,5.323450571,0.1245002206,0.1273864645
0.704,0.8090183758,-3.431897495,3.581007132,1.764246634,2.938384289,5.323469356,0.1245192176,0.1274071096
