"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.7786197281,-3.398634522,3.554571654,1.767590612,2.939337139,5.294294944,0.1247520208,0.1276566874
0.0064,0.7776800223,-3.397950754,3.554386067,1.767449543,2.93918215,5.294326791,0.12473794,0.1276277948
0.0128,0.7792809774,-3.398624668,3.553616891,1.7672655,2.939096423,5.294393333,0.1247302667,0.1276196941
0.0192,0.7806171768,-3.399478044,3.553634655,1.767378864,2.939234022,5.294376638,0.1247429705,0.1276478457
0.0256,0.7792760787,-3.398976835,3.554409018,1.767577373,2.939349154,5.294306098,0.124753308,0.1276613201
0.032,0.7776833029,-3.39803186,3.554557759,1.767516581,2.939238793,5.294307489,0.1247429744,0.1276370266
0.0384,0.778616534,-3.398297964,3.553832015,1.767300367,2.939097961,5.294377667,0.1247304421,0.1276174612
0.0448,0.7804680014,-3.399324307,3.553498303,1.767312452,2.939176827,5.294393115,0.1247376394,0.1276377108
0.0512,0.7799072046,-3.399270499,3.554174676,1.767535116,2.93933567,5.294325456,0.1247522557,0.1276617237
0.0576,0.7779694444,-3.398248762,3.554631681,1.767565875,2.939291944,5.294295923,0.1247477738,0.1276467616
0.064,0.7780598136,-3.398059024,3.554089798,1.76736096,2.93912441,5.29435587,0.124732828,0.127619756
0.0704,0.7800422758,-3.399046683,3.553478568,1.767270283,2.939128724,5.294400088,0.1247331897,0.1276280066
0.0768,0.780384916,-3.399455436,3.553913293,1.767470481,2.939299155,5.294349212,0.1247489889,0.1276576875
0.0832,0.7784835221,-3.398559185,3.554594602,1.767589388,2.93933116,5.294294422,0.1247514423,0.1276551697
0.0896,0.7777189519,-3.397954023,3.554337329,1.767433404,2.939170216,5.294332361,0.1247368865,0.1276259976
0.096,0.7794297727,-3.398703337,3.55357972,1.767262315,2.939099615,5.294396207,0.1247305508,0.1276207933
0.1024,0.780608124,-3.399492133,3.553677959,1.767395421,2.939246779,5.29437258,0.1247441584,0.127649932
0.1088,0.7791274604,-3.39890324,3.554452506,1.767582924,2.939348661,5.294303394,0.1247532203,0.1276606321
0.1152,0.7776570261,-3.398001673,3.554527075,1.767502858,2.939226097,5.29431181,0.1247418449,0.127634867
0.1216,0.778759238,-3.398365669,3.553778566,1.767289954,2.939095348,5.294382401,0.1247302031,0.1276175632
0.128,0.7805271184,-3.399371323,3.553519111,1.767325596,2.939189141,5.294390764,0.1247387896,0.1276400054
0.1344,0.7797757965,-3.399213315,3.554230693,1.767546759,2.939340811,5.294321197,0.1247526947,0.1276620251
0.1408,0.7778832718,-3.398191241,3.554624496,1.767556941,2.939280989,5.294298254,0.1247467745,0.1276446507
0.1472,0.7781678555,-3.39810233,3.554031385,1.767345943,2.939116583,5.294361603,0.1247321301,0.1276188713
0.1536,0.7801568388,-3.399116936,3.553472119,1.76727697,2.939138058,5.294400039,0.1247340516,0.1276300178
0.16,0.7802978229,-3.39942671,3.553970899,1.767486274,2.939308945,5.294344362,0.1247498806,0.1276589473
0.1664,0.7783538801,-3.398485623,3.554612229,1.767586685,2.939324091,5.294294403,0.1247507669,0.1276535055
0.1728,0.7777717793,-3.397964913,3.554285655,1.76741704,2.939158783,5.294338058,0.1247358777,0.1276243286
0.1792,0.7795756551,-3.398782296,3.55354742,1.767260927,2.939104054,5.294398561,0.1247309482,0.1276220922
0.1856,0.7805839229,-3.399498388,3.553725127,1.767412212,2.939259271,5.29436824,0.124745321,0.1276519093
0.192,0.778979149,-3.398827871,3.55449199,1.767587026,2.939346899,5.29430111,0.1247530158,0.1276597413
0.1984,0.7776451958,-3.397978551,3.554491758,1.76748838,2.939213354,5.294316459,0.1247407127,0.127632754
0.2048,0.7789059132,-3.39843707,3.553727778,1.767280993,2.939094018,5.294386763,0.1247300757,0.1276178938
0.2112,0.7805715065,-3.399411622,3.553545484,1.767339802,2.939201784,5.294387945,0.1247399689,0.1276422954
0.2176,0.7796380278,-3.399151308,3.5542848,1.767557193,2.939344744,5.294317188,0.1247530191,0.1276621028
0.224,0.7778093512,-3.398138943,3.554611852,1.767546784,2.939269439,5.294301051,0.1247457283,0.1276424941
0.2304,0.778285843,-3.398151921,3.55397304,1.767331692,2.939109807,5.294367177,0.1247315233,0.1276181952
0.2368,0.7802608112,-3.399183226,3.553471704,1.767285239,2.93914825,5.294399427,0.1247349926,0.1276321296
0.2432,0.7801986379,-3.399390926,3.554029167,1.767501316,2.939317844,5.294339526,0.1247506842,0.1276600045
0.2496,0.7782320837,-3.398414309,3.554624557,1.767582496,2.939316007,5.294294891,0.1247500089,0.1276517102
0.256,0.7778382946,-3.397983322,3.554231567,1.767400723,2.939147972,5.294343832,0.1247349229,0.1276228102
0.2624,0.779717078,-3.398860718,3.553520452,1.767261325,2.939109697,5.294400376,0.1247314608,0.1276235778
0.2688,0.7805447559,-3.399496581,3.553775627,1.767429115,2.939271367,5.294363671,0.1247464433,0.1276537591
0.2752,0.7788326365,-3.398751548,3.55452712,1.767589613,2.939343883,5.294299275,0.1247526985,0.127658656
0.2816,0.7776480825,-3.397962673,3.554452213,1.767473246,2.939200686,5.294321397,0.1247395927,0.1276307064
0.288,0.7790552379,-3.39851145,3.553680276,1.767273591,2.939093987,5.294390711,0.1247300649,0.127618452
0.2944,0.78060102,-3.39944476,3.553577253,1.767354949,2.939214629,5.294384691,0.1247411683,0.1276445592
0.3008,0.7794953056,-3.399085061,3.55433646,1.767566304,2.939347438,5.294313471,0.1247532255,0.1276619562
0.3072,0.7777485885,-3.398092334,3.554593905,1.767535492,2.939257413,5.294304291,0.1247446488,0.127640312
0.3136,0.7784125133,-3.398207427,3.553915395,1.767318356,2.939104153,5.294372543,0.1247310164,0.1276177356
0.32,0.7803530819,-3.399244701,3.553477553,1.767295063,2.939159193,5.294398266,0.1247360092,0.1276343243
0.3264,0.7800888678,-3.399348292,3.55408756,1.767515583,2.939325759,5.294334761,0.124751391,0.1276608561
0.3328,0.7781191087,-3.398346158,3.554631342,1.767576909,2.939306985,5.294295889,0.1247491699,0.1276498026
0.3392,0.7779174866,-3.398009236,3.554175547,1.767384565,2.939137893,5.29434963,0.1247340305,0.1276214559
0.3456,0.779852649,-3.398937743,3.553499044,1.767263578,2.93911649,5.294401637,0.1247320782,0.1276252357
0.352,0.7804909475,-3.399486888,3.55382888,1.767445926,2.93928295,5.294358924,0.1247475126,0.1276554597
0.3584,0.7786891574,-3.398675016,3.554557587,1.767590686,2.939339648,5.294297913,0.124752273,0.1276573888
0.3648,0.7776652803,-3.397954478,3.55440856,1.767457578,2.939188216,5.294326584,0.1247384872,0.1276287424
0.3712,0.7792054794,-3.398588067,3.553636577,1.767267815,2.939095251,5.294394214,0.1247301732,0.1276192324
0.3776,0.7806151827,-3.399470478,3.553613914,1.767370755,2.939227537,5.294381042,0.1247423726,0.1276467676
0.384,0.7793493376,-3.399015231,3.554385257,1.767574047,2.939348866,5.294310091,0.1247533158,0.12766159
0.3904,0.7777011125,-3.398052046,3.554570646,1.767523154,2.939245032,5.294307946,0.1247435384,0.1276381226
0.3968,0.7785466414,-3.398268129,3.553858975,1.76730608,2.939099685,5.29437765,0.1247306115,0.1276174973
0.4032,0.7804327515,-3.399300806,3.553489511,1.767306368,2.939170778,5.294396572,0.1247370874,0.1276365794
0.4096,0.7799695232,-3.39929944,3.554145483,1.767528918,2.939332612,5.294330121,0.1247519961,0.1276614925
0.416,0.7780162172,-3.398281743,3.554632536,1.767569916,2.939297113,5.29429739,0.12474826,0.1276477982
0.4224,0.7780092024,-3.398042196,3.554118213,1.767368744,2.939128641,5.294355403,0.1247332106,0.1276202802
0.4288,0.7799807666,-3.399012612,3.553483508,1.767267646,2.939124361,5.294402336,0.1247327986,0.1276270497
0.4352,0.7804232413,-3.399469365,3.553884329,1.767462448,2.9392939,5.294354055,0.1247485187,0.1276569948
0.4416,0.7785502242,-3.398599049,3.554583131,1.767590203,2.93933424,5.29429704,0.1247517448,0.1276559506
0.448,0.7776972395,-3.397953754,3.554361494,1.767441566,2.939176075,5.294331971,0.1247374156,0.1276268852
0.4544,0.7793550145,-3.39866625,3.553597082,1.767263706,2.939097808,5.294397239,0.1247303973,0.1276202246
0.4608,0.7806139995,-3.399488412,3.553655172,1.767387114,2.939240377,5.294377044,0.1247435702,0.1276489016
0.4672,0.7792012376,-3.398942663,3.554430622,1.767580365,2.939349012,5.294307088,0.124753286,0.127661008
0.4736,0.7776677924,-3.398018193,3.554542447,1.767509868,2.939232409,5.294311988,0.1247424142,0.127635949
0.48,0.7786867801,-3.398333611,3.553804402,1.767295031,2.939096447,5.294382454,0.1247303157,0.1276174858
0.4864,0.7804987764,-3.399350856,3.55350741,1.767318935,2.939182882,5.294394369,0.1247382153,0.1276388661
0.4928,0.7798418065,-3.399244853,3.554202275,1.767541145,2.939338341,5.294325657,0.1247524908,0.1276619054
0.4992,0.7779243912,-3.398221671,3.554628204,1.76756163,2.939286495,5.294299383,0.1247472885,0.1276457193
0.5056,0.778111969,-3.398082145,3.554060012,1.767353424,2.939120319,5.294361098,0.1247324697,0.1276192955
0.512,0.780100213,-3.399084595,3.553473962,1.767273448,2.939133229,5.294402472,0.1247336145,0.1276289991
0.5184,0.7803422572,-3.399444265,3.553941347,1.767478455,2.939304102,5.294349121,0.1247494514,0.1276583468
0.5248,0.7784172316,-3.3985244,3.554603496,1.76758825,2.93932771,5.294296671,0.1247511179,0.1276543587
0.5312,0.7777432005,-3.397960734,3.554311228,1.767425268,2.939164379,5.294337514,0.1247363824,0.1276251478
0.5376,0.7795025638,-3.39874505,3.553562364,1.767261435,2.939101631,5.294399759,0.1247307397,0.1276214262
0.544,0.780597355,-3.399498551,3.553700498,1.767403833,2.93925302,5.294372743,0.1247447469,0.1276509377
0.5504,0.7790527221,-3.398867969,3.554472187,1.767585206,2.939347886,5.294304493,0.1247531398,0.127660218
0.5568,0.7776488142,-3.39799137,3.554509391,1.767495768,2.939219675,5.294316382,0.1247412778,0.1276338091
0.5632,0.7788316825,-3.398403168,3.553752217,1.767285335,2.939094474,5.294386911,0.1247301306,0.1276177024
0.5696,0.7805506314,-3.399394507,3.553531043,1.767332648,2.939195377,5.294391685,0.1247393802,0.1276411606
0.576,0.7797071075,-3.399185076,3.554257468,1.767552167,2.939342885,5.294321422,0.1247528744,0.1276620948
0.5824,0.7778442611,-3.39816657,3.554618332,1.767552041,2.939275231,5.294301855,0.1247462662,0.1276435818
0.5888,0.7782252778,-3.398128548,3.554001626,1.76733875,2.939113011,5.294366663,0.124731818,0.1276185136
0.5952,0.7802097176,-3.399152854,3.553470557,1.767280911,2.939143008,5.294402046,0.124734517,0.1276310623
0.6016,0.7802491296,-3.399411824,3.553999406,1.767493926,2.939313462,5.294344177,0.1247502995,0.1276595084
0.608,0.7782914264,-3.398451752,3.554618521,1.767584817,2.939320125,5.294296812,0.1247503997,0.1276526269
0.6144,0.7778029297,-3.397975315,3.55425828,1.7674089,2.939153244,5.294343162,0.1247353987,0.1276235519
0.6208,0.7796465977,-3.398823696,3.55353272,1.76726095,2.939106678,5.294401752,0.1247311945,0.1276228207
0.6272,0.7805657036,-3.399500605,3.553749448,1.767420746,2.939265332,5.294368188,0.1247458901,0.1276528545
0.6336,0.7789052129,-3.398791903,3.554509601,1.767588583,2.939345497,5.294302338,0.124752879,0.1276592297
0.64,0.7776443097,-3.397971824,3.554471956,1.767480924,2.939206957,5.294321088,0.1247401527,0.1276317261
0.6464,0.7789799109,-3.398476046,3.553703035,1.767277146,2.939093794,5.294390979,0.1247300609,0.127618147
0.6528,0.7805876667,-3.39943123,3.553560167,1.767347295,2.93920814,5.294388551,0.1247405723,0.1276434389
0.6592,0.779566744,-3.399120774,3.554310442,1.767561953,2.939346204,5.294317463,0.1247531392,0.1276620599
0.6656,0.7777768531,-3.398116977,3.554603009,1.767541307,2.93926343,5.294304786,0.1247452008,0.1276414089
0.672,0.7783476495,-3.398181045,3.553943567,1.767324924,2.939106788,5.294372049,0.1247312597,0.1276179437
0.6784,0.7803080556,-3.399216666,3.553473368,1.767290022,2.939153591,5.294401067,0.1247354978,0.1276332204
0.6848,0.7801445458,-3.39937249,3.554057857,1.76750861,2.939321881,5.294339279,0.1247510561,0.1276604639
0.6912,0.7781739285,-3.398381866,3.554628084,1.767579917,2.939311564,5.294297465,0.124749599,0.1276507732
0.6976,0.7778759137,-3.397997429,3.554203192,1.767392654,2.939142789,5.294348865,0.1247344727,0.1276221135
0.704,0.7797851712,-3.398901466,3.553508495,1.767262284,2.939112906,5.294403203,0.1247317587,0.1276243939
0.7104,0.7805191674,-3.399494786,3.553801427,1.767437582,2.939277188,5.294363434,0.1247469881,0.1276546301
0.7168,0.778759912,-3.398715355,3.554542442,1.767590368,2.939341867,5.294300649,0.1247525073,0.1276580499
