"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.7779438908,-3.39824681,3.554627112,1.767564002,2.939288973,5.294309748,0.1247475576,0.1276462659
0.0064,0.7780828227,-3.398082093,3.554071871,1.767357363,2.939122068,5.294370558,0.1247326662,0.1276195429
0.0128,0.7800689173,-3.399077435,3.553473076,1.767272009,2.939130686,5.29441333,0.1247334217,0.1276285202
0.0192,0.7803613009,-3.399461723,3.55392431,1.767474681,2.939301391,5.294361163,0.1247492462,0.1276580471
0.0256,0.778447505,-3.398553346,3.554596241,1.767589064,2.939329208,5.294307487,0.124751304,0.1276547913
0.032,0.7777279957,-3.397968715,3.554321397,1.767429525,2.939167018,5.294346854,0.1247366575,0.1276255904
0.0384,0.7794636246,-3.398735762,3.553567925,1.767262012,2.939100321,5.294409882,0.1247306635,0.1276211281
0.0448,0.7806006405,-3.399507083,3.553686186,1.76739982,2.939249648,5.294384515,0.1247444762,0.12765046
0.0512,0.7790874186,-3.398897094,3.554459545,1.767584315,2.939348052,5.294315739,0.1247532076,0.1276604552
0.0576,0.7776497132,-3.398007809,3.554515461,1.767499539,2.939222629,5.294325855,0.1247415833,0.1276343605
0.064,0.7787926649,-3.398395713,3.553762336,1.767287782,2.939094615,5.294396401,0.1247301846,0.1276176459
0.0704,0.7805367859,-3.399394479,3.553522016,1.767329302,2.939191993,5.294402935,0.1247391071,0.1276406086
0.0768,0.779738956,-3.399210693,3.554241237,1.767549687,2.939341632,5.294332961,0.1247528087,0.1276620877
0.0832,0.7778608512,-3.398190016,3.55461868,1.767554734,2.939277871,5.294311664,0.1247465443,0.1276441402
0.0896,0.7781936121,-3.398126499,3.554013603,1.767342498,2.939114508,5.294375724,0.1247319915,0.1276187082
0.096,0.7801811025,-3.39914629,3.553468278,1.767279064,2.939140253,5.294412609,0.1247343044,0.1276305573
0.1024,0.7802711565,-3.399430687,3.553982273,1.767490289,2.939310977,5.294355783,0.1247501159,0.1276592563
0.1088,0.7783198825,-3.398479769,3.554612719,1.767585993,2.939321889,5.294307067,0.1247506073,0.1276530925
0.1152,0.7777843892,-3.39798099,3.554269187,1.767413171,2.939155743,5.294352049,0.1247356588,0.1276239572
0.1216,0.7796085962,-3.398814103,3.55353706,1.767261055,2.939105079,5.294411578,0.1247310891,0.127622474
0.128,0.7805726879,-3.399510848,3.553734368,1.76741668,2.939262066,5.29437959,0.124745628,0.1276524075
0.1344,0.7789396796,-3.398820912,3.554498138,1.767588046,2.939345986,5.294313044,0.1247529741,0.1276595145
0.1408,0.7776417815,-3.397985915,3.55447922,1.767484886,2.939209902,5.294330062,0.1247404533,0.1276322614
0.1472,0.778940241,-3.398467425,3.553712518,1.767279205,2.939093618,5.294400146,0.1247300879,0.1276180345
0.1536,0.780577659,-3.399432524,3.553549935,1.767343743,2.939204708,5.294399489,0.1247402927,0.1276428924
0.16,0.7796000813,-3.399146993,3.554294953,1.767559815,2.939345269,5.294328506,0.1247531031,0.1276621093
0.1664,0.7777901818,-3.398138653,3.554604839,1.767544263,2.939266204,5.294314061,0.1247454889,0.1276419737
0.1728,0.778314023,-3.398177111,3.553955555,1.767328464,2.939108019,5.29438074,0.1247314097,0.1276180858
0.1792,0.7802822883,-3.399210858,3.553469582,1.767287725,2.939150655,5.29441135,0.1247352642,0.1276326908
0.1856,0.7801695446,-3.399392611,3.55404078,1.767505187,2.939319649,5.294350452,0.1247508948,0.1276602639
0.192,0.7782002777,-3.398408711,3.554623777,1.767581449,2.939313571,5.294307178,0.1247498263,0.127651267
0.1984,0.777854313,-3.398000824,3.554214709,1.767396869,2.939145114,5.29435733,0.1247347176,0.1276224772
0.2048,0.779748915,-3.398891758,3.553511572,1.76726194,2.939111024,5.294412753,0.1247316261,0.1276240031
0.2112,0.7805299424,-3.399506551,3.55378574,1.767433533,2.939274057,5.294374469,0.1247467373,0.1276542186
0.2176,0.7787937298,-3.398743988,3.55453226,1.76759022,2.939342674,5.294310825,0.124752629,0.1276583802
0.224,0.7776483208,-3.397971516,3.554438666,1.767469568,2.939197285,5.294334568,0.1247393322,0.1276302299
0.2304,0.7790901048,-3.398541968,3.553666036,1.76727216,2.939093921,5.29440349,0.1247301062,0.127618646
0.2368,0.7806033619,-3.399463381,3.553583018,1.767359006,2.939217592,5.294395637,0.1247414926,0.1276451416
0.2432,0.7794564908,-3.399079338,3.554346042,1.767568567,2.939347657,5.294324377,0.1247532794,0.1276619061
0.2496,0.7777328344,-3.398093068,3.554585653,1.767532699,2.939254086,5.294316916,0.124744399,0.1276397865
0.256,0.7784427308,-3.398233493,3.553898235,1.767315362,2.939102665,5.294385556,0.1247309249,0.1276176791
0.2624,0.7803717134,-3.399270606,3.553477077,1.767297967,2.939161781,5.294409565,0.1247362948,0.1276349028
0.2688,0.780057385,-3.399347942,3.554099236,1.767519219,2.939327317,5.294345225,0.1247515764,0.1276610609
0.2752,0.7780897534,-3.398340958,3.554629256,1.76757549,2.939304341,5.294307816,0.1247489662,0.1276493314
0.2816,0.7779368508,-3.398028035,3.554158447,1.767380766,2.939135243,5.294362642,0.1247338426,0.1276211651
0.288,0.7798828578,-3.398967896,3.553491766,1.767264614,2.939118104,5.294413392,0.1247322713,0.1276257008
0.2944,0.7804726398,-3.399494445,3.553839677,1.767450245,2.939285501,5.294369206,0.1247477904,0.1276558776
0.3008,0.7786513874,-3.398667131,3.554561611,1.767590886,2.939338149,5.294309105,0.1247521756,0.1276570671
0.3072,0.7776693704,-3.397964635,3.5543943,1.767453786,2.939184895,5.294339331,0.1247382362,0.1276282904
0.3136,0.7792404159,-3.398618615,3.553623443,1.767266791,2.939095523,5.294406399,0.1247302409,0.1276194785
0.32,0.7806138099,-3.399486711,3.553621018,1.767374994,2.939230507,5.294391422,0.1247426964,0.1276473343
0.3264,0.7793098891,-3.399008337,3.554394109,1.767575958,2.939348777,5.294320614,0.1247533374,0.127661485
0.3328,0.7776890143,-3.398053839,3.554561244,1.767520118,2.939241643,5.294320199,0.1247432818,0.1276375985
0.3392,0.7785785292,-3.398295037,3.553842359,1.767303398,2.93909851,5.294390122,0.1247305476,0.1276174986
0.3456,0.7804479965,-3.399324826,3.553490616,1.76730957,2.939173515,5.294407273,0.1247373845,0.1276371656
0.352,0.7799358091,-3.39929715,3.554157037,1.767532247,2.939333903,5.294340158,0.124752154,0.1276616396
0.3584,0.7779896198,-3.398277151,3.554629182,1.767568126,2.939294283,5.294308975,0.1247480398,0.1276473049
0.3648,0.7780313339,-3.39806237,3.554100949,1.767365024,2.939126228,5.294367936,0.1247330411,0.127620034
0.3712,0.7800090948,-3.399041625,3.553477811,1.767269096,2.939126243,5.294413487,0.1247330151,0.1276275491
0.3776,0.7804017687,-3.399474527,3.553895737,1.767466673,2.939296285,5.294363854,0.1247487792,0.1276573687
0.384,0.7785140094,-3.398590942,3.554585973,1.767590041,2.939332466,5.294307897,0.1247516205,0.1276555882
0.3904,0.7777048259,-3.397965491,3.554346489,1.767437688,2.939172863,5.294344304,0.1247371721,0.1276264617
0.3968,0.7793898208,-3.398696539,3.553585245,1.767263165,2.939098406,5.294408844,0.1247304943,0.1276205253
0.4032,0.7806088291,-3.399502286,3.553663464,1.767391474,2.939243318,5.294386888,0.1247438894,0.1276494459
0.4096,0.7791616544,-3.398934701,3.554438714,1.767581897,2.939348615,5.294317255,0.1247532785,0.1276608492
0.416,0.7776591769,-3.398021427,3.554531879,1.767506609,2.939228994,5.294323879,0.1247421513,0.1276354292
0.4224,0.7787202273,-3.398361096,3.553788451,1.767292655,2.939095596,5.294394391,0.1247302782,0.1276175425
0.4288,0.7805107416,-3.399372852,3.553510113,1.767322406,2.93918574,5.294404496,0.1247385229,0.1276394545
0.4352,0.779806315,-3.399240776,3.554213584,1.767544164,2.93933935,5.294335298,0.1247526197,0.1276619947
0.4416,0.7779007611,-3.398217809,3.554623598,1.767559519,2.939283501,5.294310643,0.124747055,0.1276452098
0.448,0.7781370132,-3.398103518,3.554042768,1.76734984,2.939118159,5.294373158,0.1247323204,0.1276190979
0.4544,0.7801262562,-3.399112327,3.553469923,1.767275346,2.939135355,5.294413038,0.1247338525,0.1276295293
0.4608,0.7803177688,-3.399447129,3.553953198,1.7674826,2.939306296,5.294358469,0.12474969,0.1276586753
0.4672,0.7783828358,-3.398516237,3.554605141,1.767587717,2.939325676,5.294307212,0.1247509689,0.1276539593
0.4736,0.7777544108,-3.39797392,3.554295617,1.767421369,2.939161308,5.294349437,0.1247361491,0.1276247581
0.48,0.7795366418,-3.398774995,3.553551822,1.767261309,2.939102549,5.294410794,0.1247308624,0.1276217735
0.4864,0.7805885429,-3.399509977,3.553709848,1.767408216,2.9392559,5.294382081,0.1247450579,0.1276514513
0.4928,0.7790133609,-3.398859142,3.55447938,1.767586348,2.939347178,5.294314332,0.1247531024,0.1276600072
0.4992,0.7776439524,-3.397995984,3.554497908,1.767492287,2.939216259,5.29432792,0.1247410211,0.1276333019
0.5056,0.7788662138,-3.398431147,3.553737106,1.767283326,2.939093952,5.294398321,0.1247301223,0.127617816
0.512,0.7805589757,-3.399414426,3.553535274,1.767336386,2.939198325,5.294401264,0.124739696,0.1276417497
0.5184,0.7796701667,-3.399179384,3.554268373,1.767554923,2.939343603,5.294330697,0.1247529727,0.127662129
0.5248,0.777823911,-3.398163608,3.554612449,1.767549656,2.939272103,5.294312802,0.1247460187,0.1276430616
0.5312,0.7782528026,-3.39815109,3.553984521,1.767335389,2.939111125,5.294378255,0.1247316906,0.127618369
0.5376,0.7802331166,-3.399179126,3.553468157,1.767283224,2.939145354,5.294412047,0.1247347742,0.1276316168
0.544,0.780221714,-3.399412509,3.55401152,1.767497839,2.939315436,5.294353107,0.124750516,0.127659784
0.5504,0.7782589169,-3.398443847,3.554618916,1.767583899,2.939317847,5.294307058,0.1247502294,0.1276521947
0.5568,0.7778177195,-3.397989959,3.554242229,1.767405008,2.93915034,5.294354681,0.1247351793,0.1276231993
0.5632,0.7796794202,-3.398853097,3.553523636,1.76726125,2.939107908,5.294412232,0.1247313455,0.1276232126
0.5696,0.7805531456,-3.399509689,3.553759705,1.767425119,2.93926812,5.294377052,0.1247461912,0.127653335
0.576,0.7788662702,-3.398782557,3.554515749,1.767589311,2.939344486,5.294311872,0.1247528122,0.1276589687
0.5824,0.7776432167,-3.397977789,3.55445943,1.767477273,2.939203571,5.294332282,0.1247398933,0.1276312335
0.5888,0.7790151111,-3.398504374,3.553688819,1.767275489,2.939093606,5.29440187,0.1247300802,0.1276183151
0.5952,0.7805923597,-3.399448895,3.553565801,1.767351259,2.939211139,5.29439761,0.12474089,0.1276440188
0.6016,0.77952882,-3.399113645,3.554320853,1.767564375,2.939346617,5.2943264,0.1247532089,0.1276620385
0.608,0.7777597745,-3.398115064,3.554595903,1.767538632,2.939260195,5.294315431,0.1247449442,0.1276408825
0.6144,0.778377412,-3.39820463,3.553926785,1.767321813,2.939105197,5.294383176,0.1247311575,0.1276178541
0.6208,0.7803285299,-3.399241379,3.553472568,1.767292647,2.939156133,5.294410522,0.1247357723,0.1276337916
0.6272,0.7801146635,-3.399371094,3.554070066,1.76751232,2.939323616,5.294347821,0.124751247,0.1276606872
0.6336,0.7781438846,-3.398374372,3.554627233,1.76757862,2.939309063,5.294307433,0.12474941,0.1276503118
0.64,0.7778939623,-3.398013507,3.554186781,1.767388773,2.939140078,5.294359985,0.1247342695,0.1276218009
0.6464,0.7798166749,-3.398930075,3.553500936,1.76726303,2.939114428,5.294413141,0.1247319364,0.1276248286
0.6528,0.7805030878,-3.399501427,3.553812421,1.767441925,2.939279851,5.294371854,0.124747273,0.1276550713
0.6592,0.7787221355,-3.398705478,3.554547552,1.76759076,2.939340563,5.2943099,0.1247524127,0.1276577455
0.6656,0.7776569846,-3.39796714,3.554416914,1.767461725,2.939191053,5.294336922,0.1247387825,0.127629246
0.672,0.7791651746,-3.398580046,3.553644191,1.76726926,2.93909456,5.294405001,0.1247301563,0.1276190375
0.6784,0.7806105743,-3.399475986,3.553601468,1.767366971,2.939224056,5.294393572,0.1247420946,0.1276462456
0.6848,0.7793835402,-3.399044189,3.554370531,1.767572448,2.939348374,5.294322449,0.1247533272,0.1276617249
0.6912,0.777709226,-3.398072606,3.554574096,1.767526504,2.939247899,5.294318504,0.1247438405,0.1276386909
0.6976,0.7785098298,-3.398263659,3.553870083,1.767309216,2.939100435,5.294387874,0.1247307246,0.1276175571
0.704,0.7804115379,-3.399298432,3.553483106,1.767303596,2.939167575,5.294408482,0.1247368334,0.1276360323
0.7104,0.7799976939,-3.399323296,3.554128259,1.767525866,2.939330752,5.294342667,0.1247518765,0.1276613755
0.7168,0.7780384655,-3.398308476,3.554629924,1.767571969,2.939299407,5.294308332,0.1247485144,0.1276483281
0.7232,0.7779826752,-3.398044298,3.554129822,1.767372845,2.939130623,5.294365294,0.1247334293,0.1276205783
0.7296,0.7799470128,-3.399005126,3.553484035,1.767266656,2.939122048,5.294413508,0.1247326309,0.1276266048
0.736,0.7804389857,-3.399485364,3.553867515,1.767458527,2.93929098,5.294366539,0.1247482955,0.1276566488
0.7424,0.7785819786,-3.398628891,3.554574472,1.767590665,2.939335452,5.294308435,0.1247519087,0.1276563477
0.7488,0.7776854421,-3.39796408,3.554370809,1.76744578,2.939178826,5.294341796,0.1247377022,0.1276273604
0.7552,0.7793152046,-3.398657454,3.553603754,1.767264732,2.939096803,5.294407681,0.1247303519,0.1276199776
0.7616,0.7806133309,-3.399495467,3.553641731,1.767383181,2.939236937,5.294389191,0.1247432944,0.1276483988
0.768,0.7792359076,-3.398971789,3.554416884,1.767579111,2.939348854,5.294318883,0.1247533255,0.127661195
0.7744,0.7776723103,-3.398036767,3.554547149,1.767513456,2.939235338,5.29432199,0.1247427141,0.1276365094
0.7808,0.7786487892,-3.398327531,3.553815101,1.767297853,2.939096896,5.294392297,0.1247303992,0.1276174882
0.7872,0.7804811685,-3.399349573,3.55349967,1.767315855,2.939179572,5.294405944,0.1247379502,0.127638313
0.7936,0.7798720534,-3.399269614,3.554185499,1.767538369,2.939336775,5.294337697,0.1247523982,0.1276618439
0.8,0.777943875,-3.3982468,3.554627112,1.767564002,2.939288973,5.294309748,0.1247475576,0.1276462659
0.8064,0.778082823,-3.398082095,3.554071871,1.767357363,2.939122068,5.294370558,0.1247326662,0.1276195428
0.8128,0.7800689128,-3.399077426,3.553473076,1.767272009,2.939130686,5.29441333,0.1247334217,0.1276285202
0.8192,0.7803613022,-3.399461718,3.55392431,1.767474681,2.939301391,5.294361163,0.1247492462,0.1276580471
0.8256,0.778447505,-3.398553346,3.554596241,1.767589064,2.939329208,5.294307487,0.1247513041,0.1276547913
0.832,0.7777280019,-3.397968707,3.554321397,1.767429525,2.939167018,5.294346854,0.1247366575,0.1276255904
0.8384,0.7794636362,-3.398735756,3.553567925,1.767262012,2.939100321,5.294409882,0.1247306635,0.127621128
0.8448,0.7806006227,-3.399507092,3.553686186,1.76739982,2.939249648,5.294384515,0.1247444762,0.12765046
0.8512,0.7790874186,-3.398897094,3.554459545,1.767584315,2.939348052,5.294315739,0.1247532076,0.1276604552
0.8576,0.7776497145,-3.398007826,3.554515461,1.767499539,2.939222629,5.294325855,0.1247415833,0.1276343605
0.864,0.7787926461,-3.398395723,3.553762336,1.767287782,2.939094615,5.294396401,0.1247301846,0.1276176459
0.8704,0.780536785,-3.399394474,3.553522016,1.767329302,2.939191993,5.294402935,0.1247391071,0.1276406086
0.8768,0.7797389763,-3.399210676,3.554241237,1.767549687,2.939341632,5.294332961,0.1247528087,0.1276620877
0.8832,0.7778608332,-3.398190017,3.55461868,1.767554734,2.939277871,5.294311664,0.1247465443,0.1276441402
0.8896,0.7781936305,-3.39812651,3.554013603,1.767342498,2.939114508,5.294375724,0.1247319915,0.1276187082
0.896,0.7801810985,-3.399146281,3.553468278,1.767279064,2.939140253,5.294412609,0.1247343044,0.1276305573
0.9024,0.7802711498,-3.39943068,3.553982273,1.767490289,2.939310977,5.294355783,0.1247501159,0.1276592563
0.9088,0.7783198825,-3.398479769,3.554612719,1.767585993,2.939321889,5.294307067,0.1247506073,0.1276530925
0.9152,0.7777843959,-3.397980983,3.554269187,1.767413171,2.939155743,5.294352049,0.1247356589,0.1276239572
0.9216,0.7796086022,-3.398814111,3.55353706,1.767261055,2.939105079,5.294411578,0.1247310891,0.127622474
0.928,0.7805726879,-3.399510848,3.553734368,1.76741668,2.939262066,5.29437959,0.124745628,0.1276524074
0.9344,0.7789396943,-3.398820898,3.554498138,1.767588046,2.939345986,5.294313044,0.1247529741,0.1276595145
0.9408,0.7776417767,-3.397985924,3.55447922,1.767484886,2.939209902,5.294330062,0.1247404533,0.1276322614
0.9472,0.7789402563,-3.398467438,3.553712518,1.767279205,2.939093618,5.294400146,0.124730088,0.1276180345
0.9536,0.7805776404,-3.399432516,3.553549935,1.767343743,2.939204708,5.294399489,0.1247402927,0.1276428924
0.96,0.7796000957,-3.399147003,3.554294953,1.767559815,2.939345269,5.294328506,0.1247531031,0.1276621093
0.9664,0.7777901761,-3.398138641,3.554604839,1.767544263,2.939266204,5.294314061,0.124745489,0.1276419736
