"Time","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1"
0.0,0.9309834314,3.675037841,0.8875450973,1.779898363,2.997197727,1.173201962,0.1254927658,0.03862082488
0.0064,0.9390408578,3.677808614,0.8850898159,1.781841872,2.997581426,1.173057657,0.1257036554,0.03865551775
0.0128,0.9357968343,3.680101853,0.888505286,1.782896188,2.998022762,1.172703346,0.1256777615,0.03868497132
0.0192,0.9266542303,3.677876059,0.8919283005,1.781151066,2.997738314,1.172763458,0.1254569656,0.03865680765
0.0256,0.9281400766,3.675000031,0.8890712217,1.779708067,2.997230126,1.173137141,0.1254348955,0.03861994066
0.032,0.9373760183,3.676703024,0.8852219154,1.781156005,2.997405325,1.173154339,0.1256510318,0.03864191619
0.0384,0.938137848,3.679797587,0.8869992497,1.782863622,2.99794503,1.172792435,0.1257193492,0.03868060218
0.0448,0.9290001912,3.678993233,0.8914438254,1.781895745,2.997901943,1.172685143,0.1255233809,0.03867142501
0.0512,0.9261585297,3.675490919,0.8905003741,1.779847641,2.997340461,1.173031359,0.1254040772,0.0386258785
0.0576,0.9347590329,3.675743675,0.8859784253,1.780494451,2.99726993,1.1732086,0.125581439,0.03862997521
0.064,0.9393563504,3.679066738,0.885808403,1.782536513,2.997802057,1.172909781,0.1257314116,0.03867115482
0.0704,0.9320542215,3.679785256,0.8903361669,1.782506994,2.998005798,1.172658899,0.125597853,0.03868149982
0.0768,0.9254839055,3.67642639,0.8915333822,1.780303541,2.997507453,1.172905821,0.1254075769,0.03863783757
0.0832,0.9316736995,3.675116584,0.8872234915,1.779980976,2.997201941,1.173209368,0.1255080827,0.0386218951
0.0896,0.9392468162,3.678053939,0.8851503152,1.781985116,2.997622732,1.173032194,0.1257119962,0.03865854061
0.096,0.9351635507,3.680101881,0.8888537663,1.782859933,2.998029179,1.172689378,0.1256651445,0.03868509692
0.1024,0.926285872,3.677606919,0.8919373063,1.780984018,2.997697093,1.17278651,0.1254448242,0.03865327151
0.1088,0.9287170486,3.674962231,0.8887295814,1.779722863,2.997215752,1.173155676,0.1254458031,0.0386195539
0.1152,0.9378421459,3.676943107,0.8851358311,1.781310726,2.997442063,1.173135957,0.1256645963,0.03864487488
0.1216,0.9377027708,3.67990608,0.887316185,1.782898,2.99796876,1.172769445,0.1257124836,0.03868207152
0.128,0.9283961828,3.678765653,0.891611688,1.781736279,2.99786971,1.172698448,0.125507377,0.03866846541
0.1344,0.9264980546,3.675338481,0.8902070172,1.779787582,2.997310059,1.173057431,0.1254081034,0.03862398254
0.1408,0.9354004189,3.675934225,0.8857617138,1.780632914,2.997294971,1.17320092,0.1255977372,0.03863236933
0.1472,0.9391968367,3.679259382,0.8860330719,1.782631649,2.997838127,1.172882412,0.1257314686,0.03867359975
0.1536,0.9313471409,3.679646809,0.8906251374,1.78239008,2.997989205,1.1726598,0.1255814081,0.0386797815
0.16,0.925507037,3.676188765,0.8913516531,1.780178429,2.997467042,1.172934122,0.1254037306,0.03863476497
0.1664,0.9323702184,3.675219,0.8869150268,1.780076358,2.997210258,1.173214041,0.1255239518,0.03862325229
0.1728,0.9393879411,3.678294362,0.8852430564,1.782122223,2.997663972,1.173005797,0.1257189353,0.03866151147
0.1792,0.9345015342,3.680076232,0.8891995794,1.782807835,2.998031387,1.172677897,0.1256515246,0.03868489076
0.1856,0.9259833605,3.677336666,0.8919096019,1.780820558,2.997655014,1.172811134,0.1254339546,0.03864972246
0.192,0.9293308652,3.674951107,0.888386519,1.779753831,2.997205418,1.173171973,0.1254579434,0.03861950699
0.1984,0.938256311,3.677188237,0.8850818292,1.781465282,2.997480485,1.173115631,0.1256771839,0.03864788979
0.2048,0.9372152167,3.679992032,0.8876460113,1.782917144,2.997988974,1.172748101,0.1257041968,0.03868327033
0.2112,0.9278343538,3.678524025,0.8917462694,1.781571813,2.997834807,1.172714236,0.1254919455,0.0386653095
0.2176,0.9268992259,3.675209943,0.8898970399,1.779743951,2.99728281,1.173082241,0.1254138061,0.03862240736
0.224,0.9360122562,3.676139423,0.885571431,1.780777405,2.997323136,1.173190643,0.1256136843,0.03863493263
0.2304,0.9389720565,3.679436134,0.8862825516,1.782714656,2.997872015,1.172855563,0.1257299475,0.03867586541
0.2368,0.9306501409,3.679485609,0.8908920823,1.782261219,2.997968725,1.172663553,0.1255647617,0.03867774974
0.2432,0.9256039979,3.675966184,0.8911404545,1.780066008,2.997428191,1.172962439,0.125401626,0.03863190475
0.2496,0.9330661368,3.675343807,0.8866225511,1.780183403,2.997222581,1.173215943,0.1255402068,0.03862487735
