"Time","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1"
0.0,0.9264620774,3.677741834,0.8919374008,1.781067193,2.997717836,1.172774774,0.1254507449,0.03865504351
0.0064,0.928423527,3.6749778,0.8889007882,1.779713403,2.997222441,1.173146677,0.125440187,0.03861970429
0.0128,0.9376153347,3.676822295,0.885174899,1.7812333,2.997423462,1.173145403,0.125657929,0.03864338591
0.0192,0.9379271321,3.679854573,0.8871559348,1.782882694,2.997957317,1.17278075,0.1257160982,0.03868136974
0.0256,0.9286933058,3.678881343,0.8915318191,1.781816765,2.997886184,1.172691474,0.1255153176,0.03866997175
0.032,0.9263203526,3.67541179,0.8903559726,1.779815594,2.997324883,1.173044538,0.1254058774,0.03862489121
0.0384,0.9350830226,3.675836986,0.8858669023,1.780562864,2.997282043,1.17320509,0.1255896219,0.03863115018
0.0448,0.9392848627,3.679164931,0.885917503,1.78258555,2.997820344,1.172896047,0.1257316373,0.03867239848
0.0512,0.9316999113,3.67971897,0.8904831993,1.782450089,2.997997996,1.172658994,0.1255896663,0.0386806815
0.0576,0.925486185,3.676305865,0.891446339,1.780239472,2.997487079,1.17291995,0.125405438,0.03863627677
0.064,0.932021629,3.675164921,0.8870674165,1.780027119,2.997205592,1.17321205,0.1255159588,0.03862253924
0.0704,0.9393255693,3.678174904,0.8851927269,1.78205451,2.997643383,1.173019097,0.1257156454,0.03866003431
0.0768,0.9348357496,3.680092279,0.8890272306,1.782835848,2.998030815,1.172683316,0.1256584521,0.0386850353
0.0832,0.9261261773,3.677471743,0.8919280233,1.780901709,2.997676131,1.172798644,0.1254392228,0.03865149562
0.0896,0.9290197099,3.674953339,0.8885579946,1.779736353,2.997210074,1.173164113,0.1254517273,0.03861948785
0.096,0.9380559786,3.677065171,0.8851047472,1.781388119,2.997461088,1.173126025,0.1256710197,0.03864637623
0.1024,0.9374653136,3.679951936,0.8874797046,1.782909513,2.997979319,1.172758554,0.1257085138,0.03868270637
0.1088,0.9281095758,3.678646442,0.8916832479,1.781654553,2.997852572,1.172706039,0.1254995785,0.03866691043
0.1152,0.9266912013,3.67527114,0.8900538954,1.779763704,2.997296022,1.173070012,0.1254107493,0.03862315418
0.1216,0.9357103644,3.676035124,0.8856631791,1.780704484,2.997308678,1.1731961,0.125605764,0.03863363261
0.128,0.9390925078,3.679349859,0.8861548389,1.782674717,2.997855367,1.172868904,0.1257309046,0.03867475641
0.1344,0.9309969378,3.679568975,0.8907615693,1.782327061,2.997979438,1.172661323,0.1255731002,0.03867880357
0.1408,0.9255463652,3.676075443,0.8912495927,1.780120542,2.997447397,1.172948295,0.1254024586,0.03863330623
0.1472,0.9327187304,3.675278695,0.8867665821,1.780128483,2.997215927,1.17321534,0.1255320419,0.03862403165
0.1536,0.9394337079,3.678412065,0.8853013023,1.782188077,2.997684442,1.172992327,0.1257218598,0.03866296967
0.16,0.9341617312,3.680053716,0.8893703325,1.78277597,2.998030902,1.172673128,0.125644377,0.03868466031
0.1664,0.9258578883,3.677202075,0.8918820942,1.780740804,2.997633791,1.172823958,0.1254290363,0.03864795781
0.1728,0.9296495841,3.674955472,0.8882155845,1.779775261,2.997201794,1.173179232,0.1254644333,0.03861960893
0.1792,0.9384426931,3.677312002,0.8850669998,1.781542067,2.997500211,1.173104801,0.1256830747,0.03864941153
0.1856,0.9369530983,3.680026227,0.8878147456,1.782920868,2.997997689,1.172738117,0.1256995423,0.03868376321
0.192,0.9275712182,3.678398753,0.8918005964,1.781488274,2.997816468,1.172723011,0.1254844973,0.03866366877
0.1984,0.9271215106,3.675155026,0.8897368375,1.779728375,2.997270452,1.173094095,0.1254172649,0.03862174473
0.2048,0.9363052538,3.676246889,0.8854867665,1.780851482,2.997338304,1.173184562,0.1256214784,0.03863626977
0.2112,0.9388357166,3.679518017,0.8864158641,1.782751322,2.997888038,1.172842416,0.1257285983,0.03867692343
0.2176,0.9303077505,3.679396903,0.8910163368,1.782192726,2.997957086,1.172666493,0.1255564162,0.03867662097
0.224,0.9256797732,3.675861306,0.8910245917,1.780014916,2.997409477,1.172976508,0.1254012344,0.03863056395
0.2304,0.9334117329,3.675414136,0.8864831329,1.780240971,2.997230203,1.173215854,0.1255484271,0.03862578287
0.2368,0.9394751403,3.678641119,0.8854409491,1.782313693,2.997724835,1.172965007,0.1257265846,0.03866581737
0.2432,0.9334688094,3.679989451,0.8897052578,1.78270077,2.99802674,1.172665607,0.1256294905,0.03868394568
0.2496,0.9256601252,3.676935936,0.8918002209,1.780586322,2.997591269,1.172850445,0.1254203023,0.03864447404
0.256,0.9303064447,3.674983855,0.8878768573,1.779829495,2.997197671,1.173191887,0.1254781633,0.03862005884
0.2624,0.9387719701,3.67756057,0.8850619762,1.781693744,2.997540452,1.173081938,0.1256939858,0.03865246731
0.2688,0.9363952244,3.680076449,0.8881577558,1.782916492,2.998012223,1.172719651,0.1256892616,0.0386845223
0.2752,0.9270842706,3.678141004,0.8918825704,1.781319799,2.997778247,1.172742217,0.1254702398,0.03866028785
0.2816,0.9276062731,3.675064422,0.8894081331,1.77970984,2.997248417,1.173116545,0.1254253457,0.03862067102
0.288,0.9368621459,3.67647023,0.885339229,1.781002452,2.997370627,1.173170594,0.1256366149,0.03863903937
0.2944,0.9385166015,3.679667762,0.8866981859,1.782814542,2.997918029,1.172816841,0.125724736,0.03867887907
0.3008,0.9296397507,3.679204354,0.8912446158,1.782048458,2.997931168,1.172674457,0.1255397853,0.03867415285
0.3072,0.9258846655,3.675665776,0.8907739079,1.779923664,2.99737371,1.173004293,0.1254017772,0.03862807983
0.3136,0.9340940243,3.675569693,0.8862196036,1.780363386,2.997248266,1.173213598,0.1255649479,0.03862777161
0.32,0.9394493182,3.678860018,0.8856104582,1.78243018,2.997764168,1.172937403,0.1257297781,0.03866855396
0.3264,0.9327638776,3.679899762,0.8900284087,1.782610868,2.998018348,1.172660844,0.1256139329,0.03868289016
0.3328,0.9255350578,3.676676394,0.8916835132,1.780440002,2.997549008,1.172877829,0.1254131219,0.03864108638
0.3392,0.930983449,3.675037841,0.8875451073,1.779898363,2.997197727,1.173201962,0.1254927658,0.03862082487
0.3456,0.9390408593,3.677808614,0.885089811,1.781841872,2.997581426,1.173057657,0.1257036554,0.03865551777
0.352,0.9357968201,3.680101853,0.888505276,1.782896188,2.998022762,1.172703346,0.1256777615,0.03868497129
0.3584,0.9266541953,3.677876059,0.8919283019,1.781151066,2.997738314,1.172763458,0.1254569657,0.03865680766
0.3648,0.9281400916,3.675000031,0.8890712352,1.779708067,2.997230126,1.173137141,0.1254348955,0.03861994067
0.3712,0.9373760032,3.676703024,0.8852219067,1.781156005,2.997405325,1.173154339,0.1256510318,0.03864191616
0.3776,0.938137848,3.679797587,0.8869992497,1.782863622,2.99794503,1.172792435,0.1257193492,0.0386806022
0.384,0.9290002097,3.678993233,0.8914438174,1.781895745,2.997901943,1.172685143,0.1255233809,0.03867142501
0.3904,0.9261585355,3.675490919,0.8905003824,1.779847641,2.997340461,1.173031359,0.1254040772,0.03862587848
0.3968,0.9347590314,3.675743675,0.8859784205,1.780494451,2.99726993,1.1732086,0.125581439,0.03862997524
0.4032,0.9393563504,3.679066738,0.885808403,1.782536513,2.997802057,1.172909781,0.1257314115,0.0386711548
0.4096,0.9320542215,3.679785256,0.8903361669,1.782506994,2.998005798,1.172658899,0.1255978531,0.03868149982
0.416,0.9254838932,3.67642639,0.8915333981,1.780303541,2.997507453,1.172905821,0.1254075768,0.03863783758
0.4224,0.9316736995,3.675116584,0.8872234915,1.779980976,2.997201941,1.173209368,0.1255080827,0.03862189508
0.4288,0.9392468017,3.678053939,0.8851503012,1.781985116,2.997622732,1.173032194,0.1257119962,0.03865854063
0.4352,0.9351635406,3.680101881,0.8888537659,1.782859933,2.998029179,1.172689378,0.1256651445,0.03868509692
0.4416,0.9262858716,3.677606919,0.8919373038,1.780984018,2.997697093,1.17278651,0.1254448242,0.03865327149
0.448,0.9287170337,3.674962231,0.8887295638,1.779722863,2.997215752,1.173155676,0.1254458031,0.03861955393
0.4544,0.9378421513,3.676943107,0.8851358395,1.781310726,2.997442063,1.173135957,0.1256645963,0.03864487486
0.4608,0.9377027915,3.67990608,0.8873161952,1.782898,2.99796876,1.172769445,0.1257124837,0.03868207151
0.4672,0.9283961828,3.678765653,0.8916116893,1.781736279,2.99786971,1.172698448,0.125507377,0.03866846543
0.4736,0.9264980609,3.675338481,0.8902070251,1.779787582,2.997310059,1.173057431,0.1254081034,0.03862398252
0.48,0.9354004172,3.675934225,0.8857617091,1.780632914,2.997294971,1.17320092,0.1255977372,0.03863236934
0.4864,0.9391968545,3.679259382,0.8860330815,1.782631649,2.997838127,1.172882412,0.1257314686,0.03867359976
0.4928,0.9313471395,3.679646809,0.8906251422,1.78239008,2.997989205,1.1726598,0.1255814081,0.03867978148
0.4992,0.9255070485,3.676188765,0.8913516366,1.780178429,2.997467042,1.172934122,0.1254037307,0.03863476499
0.5056,0.9323702342,3.675219,0.8869150122,1.780076358,2.997210258,1.173214041,0.1255239518,0.03862325228
0.512,0.9393879411,3.678294362,0.8852430564,1.782122223,2.997663972,1.173005797,0.1257189354,0.03866151145
0.5184,0.9345015291,3.680076232,0.8891995708,1.782807835,2.998031387,1.172677897,0.1256515246,0.03868489078
0.5248,0.9259833605,3.677336666,0.8919096019,1.780820558,2.997655014,1.172811134,0.1254339546,0.03864972244
0.5312,0.9293308997,3.674951107,0.8883865251,1.779753831,2.997205418,1.173171973,0.1254579434,0.03861950698
0.5376,0.938256281,3.677188237,0.8850818322,1.781465282,2.997480485,1.173115631,0.1256771839,0.03864788981
0.544,0.9372152287,3.679992032,0.8876459916,1.782917144,2.997988974,1.172748101,0.1257041968,0.03868327031
0.5504,0.9278343365,3.678524025,0.8917462591,1.781571813,2.997834807,1.172714236,0.1254919456,0.03866530951
0.5568,0.9268992176,3.675209943,0.889897037,1.779743951,2.99728281,1.173082241,0.125413806,0.03862240736
0.5632,0.9360122462,3.676139423,0.8855714297,1.780777405,2.997323136,1.173190643,0.1256136843,0.03863493261
0.5696,0.9389720565,3.679436134,0.8862825516,1.782714656,2.997872015,1.172855563,0.1257299475,0.03867586544
