"Time","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1"
0.0,0.9263719345,3.677674432,0.8919385077,1.781025516,2.997707494,1.172780592,0.1254477458,0.03865415849
0.0064,0.9285690641,3.67496918,0.8888152237,1.779717628,2.99721897,1.173151246,0.1254429554,0.03861961859
0.0128,0.9377303415,3.676882527,0.8851543685,1.781272005,2.997432707,1.173140743,0.125661292,0.03864412877
0.0192,0.9378166604,3.679881025,0.887235637,1.782890816,2.997963148,1.172775047,0.1257143359,0.03868172864
0.0256,0.9285434771,3.678823963,0.891572766,1.781776687,2.997878033,1.172694883,0.125511331,0.03866922496
0.032,0.926407228,3.6753744,0.8902820413,1.779801074,2.997317375,1.173051022,0.1254069375,0.03862442685
0.0384,0.9352426178,3.675885137,0.8858134904,1.780597682,2.997288408,1.173203087,0.1255936895,0.03863175385
0.0448,0.9392429078,3.679212642,0.8859745079,1.782608965,2.997829301,1.172889216,0.1257316025,0.03867300442
0.0512,0.9315232529,3.679683606,0.8905548617,1.782420474,2.997993723,1.172659309,0.1255855449,0.03868024135
0.0576,0.9254943138,3.676246862,0.8913999452,1.780208569,2.997477014,1.172927034,0.1254045302,0.03863551459
0.064,0.9321958931,3.675191244,0.8869907409,1.780051373,2.997207799,1.173213132,0.1255199417,0.0386228871
0.0704,0.9393588213,3.678234831,0.885216892,1.782088589,2.99765369,1.17301247,0.1257173356,0.03866077477
0.0768,0.9346693598,3.680085052,0.8891135717,1.782822349,2.998031233,1.172680526,0.1256550168,0.03868497381
0.0832,0.9260526194,3.677404169,0.8919199593,1.780860975,2.99766559,1.172804845,0.125436546,0.03865060833
0.0896,0.9291743162,3.6749514,0.8884722327,1.779744589,2.997207618,1.173168117,0.1254548001,0.03861948714
0.096,0.9381578522,3.677126601,0.8850922657,1.781426735,2.997470742,1.173120885,0.1256741352,0.03864713162
0.1024,0.9373417897,3.679972718,0.8875625235,1.782913807,2.997984261,1.172753271,0.1257063981,0.03868299731
0.1088,0.9279704969,3.678585608,0.8917158319,1.781613301,2.997843763,1.172710065,0.1254957403,0.0386661149
0.1152,0.9267933871,3.675239767,0.8899759209,1.779753302,2.997289311,1.173076172,0.1254122267,0.03862277027
0.1216,0.9358623621,3.676086859,0.8856164504,1.780740792,2.997315817,1.173193451,0.1256097388,0.03863427743
0.128,0.9390342993,3.679393529,0.8862179739,1.782695089,2.997863767,1.172862212,0.1257304754,0.03867531676
0.1344,0.930823025,3.679527958,0.8908275786,1.782294506,2.997974199,1.172662349,0.125568933,0.03867828635
