"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.8511942376,-3.44659066,3.710553325,1.793725391,2.938909038,5.302268626,0.04101987859,0.06186952265
0.0064,0.8535968813,-3.447313529,3.710453148,1.793863661,2.938916982,5.302310213,0.04101797721,0.06187220412
0.0128,0.8541229509,-3.447401706,3.711172624,1.79437795,2.939081219,5.302260105,0.04102325247,0.06188423918
0.0192,0.8518502383,-3.446698115,3.711408488,1.794339598,2.939108327,5.302208076,0.04102608647,0.06188386135
0.0256,0.850814075,-3.446454499,3.710768623,1.793835586,2.938952372,5.302245744,0.04102167358,0.0618721936
0.032,0.8528360997,-3.44709708,3.710363574,1.793739381,2.938887862,5.302306763,0.04101766674,0.06186946744
0.0384,0.8543584638,-3.447494105,3.710934058,1.794243254,2.939031387,5.30228261,0.04102129969,0.06188098517
0.0448,0.8526390647,-3.446930809,3.711449712,1.794432038,2.939126346,5.302216154,0.04102606115,0.06188587663
0.0512,0.8507789115,-3.446418339,3.711008878,1.793990368,2.939005913,5.302225538,0.0410235049,0.06187584267
0.0576,0.852021272,-3.446853506,3.710386146,1.793684746,2.93888248,5.302293646,0.04101823028,0.0618683799
0.064,0.8542230434,-3.447476801,3.710688022,1.794071336,2.938975915,5.302300312,0.04101947037,0.06187694919
0.0704,0.8534157223,-3.447170175,3.711383173,1.794454286,2.939120042,5.302232858,0.0410252034,0.06188622329
0.0768,0.8510909887,-3.446488731,3.711228236,1.794159501,2.939059041,5.302211946,0.04102503543,0.06187976549
0.0832,0.8513199359,-3.446632163,3.710513378,1.793709551,2.93890174,5.30227362,0.04101951942,0.06186912282
0.0896,0.8537418716,-3.447353211,3.710487076,1.793898389,2.938926176,5.302309542,0.04101816494,0.06187298688
0.096,0.8540243973,-3.447367848,3.711219401,1.794399885,2.939090461,5.302254911,0.041023661,0.06188478433
0.1024,0.851689203,-3.446652009,3.711385429,1.794311258,2.939101309,5.302207642,0.04102597889,0.0618832253
0.1088,0.8508701686,-3.446476762,3.710717033,1.793806234,2.938941508,5.302250753,0.04102125962,0.06187149221
0.1152,0.8530158923,-3.447149234,3.710374034,1.793761619,2.938892414,5.302308428,0.04101765848,0.06186994705
0.1216,0.8543374503,-3.44748275,3.710989526,1.794277567,2.939043339,5.302277869,0.04102173863,0.06188180363
0.128,0.8524591932,-3.446876775,3.711449867,1.794417084,2.939124384,5.30221353,0.04102614061,0.06188556259
0.1344,0.8507557022,-3.446417126,3.710955695,1.7939536,2.938993667,5.30222958,0.04102311212,0.0618749817
0.1408,0.8521982239,-3.446907435,3.710371426,1.793690053,2.938881497,5.302297281,0.04101803422,0.06186846311
0.1472,0.8542851734,-3.447490374,3.710740533,1.794111031,2.938988148,5.302297004,0.04101984467,0.06187787159
0.1536,0.8532523875,-3.447118902,3.711407091,1.794455967,2.939123568,5.302228545,0.04102546072,0.06188630194
0.16,0.850993819,-3.446464275,3.711183565,1.794122335,2.939047826,5.302214233,0.04102473704,0.06187890856
0.1664,0.8514581418,-3.446677075,3.710477201,1.793697281,2.938895469,5.302278472,0.04101918296,0.06186880475
0.1728,0.8538745283,-3.447388877,3.710525338,1.79393494,2.938936168,5.302308352,0.04101839342,0.06187381525
0.1792,0.8539108723,-3.447329821,3.711262926,1.794418398,2.939098822,5.302249764,0.04102404939,0.06188525205
0.1856,0.8515367092,-3.446609021,3.711357695,1.794280563,2.939093331,5.302207719,0.04102583192,0.0618825319
0.192,0.8509431828,-3.446503833,3.710667131,1.793779437,2.938931266,5.302255847,0.04102085113,0.06187084813
0.1984,0.8531910344,-3.447199558,3.710390007,1.793787229,2.938898116,5.302309588,0.041017695,0.06187050589
0.2048,0.8542981736,-3.447465912,3.711044084,1.794309615,2.939054884,5.302272936,0.04102217814,0.06188257359
0.2112,0.85228049,-3.446823583,3.71144464,1.794398777,2.939121223,5.302211364,0.04102617736,0.06188516832
0.2176,0.8507503212,-3.446421227,3.710901943,1.793917888,2.938981518,5.302233914,0.04102270889,0.06187414347
0.224,0.8523790871,-3.446961877,3.710362194,1.793699413,2.938881761,5.302300532,0.04101787749,0.0618686388
0.2304,0.8543293175,-3.447498402,3.710794792,1.794150194,2.939000541,5.302293305,0.04102024069,0.06187878751
0.2368,0.853082365,-3.447066029,3.71142601,1.794453858,2.939125894,5.302224544,0.04102568173,0.06188629149
0.2432,0.8509119491,-3.446444746,3.711136114,1.794084596,2.939036178,5.302216962,0.04102441234,0.06187803592
0.2496,0.851607754,-3.446724758,3.710445321,1.793688828,2.938890294,5.302283134,0.04101887253,0.06186857136
0.256,0.8539936021,-3.447420057,3.710567669,1.793972913,2.938946861,5.302306655,0.04101865923,0.0618746814
0.2624,0.8537836722,-3.447288007,3.711302717,1.794433322,2.939106217,5.302244716,0.04102441401,0.06188563666
0.2688,0.8513942989,-3.446569662,3.711325489,1.794247883,2.939084466,5.302208306,0.0410256473,0.06188178965
0.2752,0.8510321935,-3.446535394,3.710619523,1.793755505,2.938921747,5.302260976,0.04102045151,0.06187026554
0.2816,0.853359795,-3.447247361,3.710411378,1.7938158,2.938904908,5.302310231,0.0410177748,0.0618711361
0.288,0.854240967,-3.447443862,3.711097185,1.794339118,2.939065908,5.302267863,0.0410226145,0.06188328832
0.2944,0.8521047272,-3.446771945,3.711433971,1.794377278,2.9391169,5.302209676,0.04102617231,0.06188469804
0.3008,0.8507625786,-3.446430615,3.710848197,1.79388363,2.938969591,5.302238499,0.04102229694,0.06187333391
0.3072,0.8525619254,-3.447016437,3.710358496,1.79371255,2.938883275,5.302303365,0.04101776138,0.06186890371
0.3136,0.8543550034,-3.447500861,3.710850231,1.794188417,2.939012966,5.302289254,0.04102065516,0.06187968684
0.32,0.8529072252,-3.447012268,3.711439436,1.794447869,2.939126995,5.302220894,0.04102586398,0.06188619052
0.3264,0.8508460693,-3.446430286,3.711086508,1.794046739,2.939024209,5.302220108,0.04102406399,0.06187715673
0.3328,0.8517671369,-3.446774865,3.710417981,1.793684232,2.938886271,5.302287556,0.04101859114,0.06186842704
0.3392,0.8540975374,-3.447446572,3.71061357,1.794011879,2.938958145,5.302304465,0.04101895984,0.06187557564
0.3456,0.8536444239,-3.447243011,3.711338254,1.794444577,2.939112579,5.302239817,0.04102475312,0.06188593801
0.352,0.8512632484,-3.44653409,3.711289318,1.794213522,2.939074807,5.302209396,0.04102542707,0.06188100516
0.3584,0.8511366391,-3.446571207,3.710574629,1.793734626,2.938913049,5.30226609,0.04102006533,0.06186975218
0.3648,0.853520293,-3.447292283,3.710437996,1.793847078,2.93891272,5.302310351,0.04101789863,0.06187183317
0.3712,0.854166439,-3.447416969,3.711148074,1.794365791,2.939076294,5.302262702,0.04102304375,0.06188393975
0.3776,0.8519335941,-3.446722089,3.711418267,1.794352832,2.939111454,5.302208483,0.04102612543,0.06188415638
0.384,0.8507926055,-3.446445265,3.710794986,1.793851084,2.938958004,5.302243287,0.04102188225,0.06187256291
0.3904,0.8527450193,-3.447070469,3.710360448,1.793729474,2.938886029,5.302305748,0.04101768706,0.06186925749
0.3968,0.8543620009,-3.447497784,3.710906031,1.794225418,2.939025299,5.302284893,0.04102108256,0.06188056089
0.4032,0.852728906,-3.446957926,3.711447659,1.794438219,2.939126867,5.302217632,0.0410260055,0.06188600241
0.4096,0.8507970336,-3.446420979,3.711035144,1.794009053,2.939012038,5.302223638,0.04102369577,0.06187627926
0.416,0.8519348031,-3.446826951,3.71039543,1.79368353,2.938883438,5.302291697,0.04101834144,0.06186837204
0.4224,0.8541854464,-3.447468045,3.710662515,1.794051514,2.938969898,5.302301808,0.04101929322,0.06187648935
0.4288,0.8534943149,-3.447195059,3.711369421,1.794451985,2.939117842,5.302235117,0.0410250618,0.06188615039
0.4352,0.8511450508,-3.446502681,3.711249488,1.794177804,2.939064451,5.302210977,0.04102517378,0.06188018618
0.4416,0.851255345,-3.44661101,3.710532854,1.793716963,2.938905266,5.302271136,0.04101969673,0.06186931258
0.448,0.8536708605,-3.447333864,3.710469521,1.793880774,2.938921474,5.302309943,0.04101806638,0.06187258915
0.4544,0.8540756098,-3.447385315,3.711196397,1.794389343,2.939085941,5.302257507,0.04102345917,0.0618845215
0.4608,0.8517687399,-3.446674649,3.711397641,1.794325737,2.939104945,5.302207794,0.04102603803,0.06188355087
0.4672,0.8508400279,-3.446465071,3.710742583,1.793820565,2.938946869,5.302248236,0.04102146615,0.06187183616
0.4736,0.852926357,-3.447123362,3.710368044,1.793750078,2.93888999,5.302307658,0.04101765679,0.06186969668
0.48,0.8543502759,-3.447489147,3.710961846,1.794260694,2.939037409,5.302280266,0.04102151846,0.06188140028
0.4864,0.8525491649,-3.446903626,3.711450559,1.794425029,2.939125515,5.302214787,0.04102610583,0.06188573034
0.4928,0.8507651713,-3.446417088,3.710982338,1.793971871,2.938999787,5.302227518,0.04102331015,0.06187541047
0.4992,0.8521091571,-3.446880342,3.710378113,1.793686943,2.938881833,5.30229551,0.04101812729,0.06186840998
0.5056,0.8542563512,-3.447484277,3.710714021,1.794091219,2.938982001,5.30229871,0.04101965476,0.0618774106
0.512,0.8533349641,-3.447144704,3.711395881,1.794455615,2.939121956,5.302230664,0.04102533677,0.06188627394
0.5184,0.8510405359,-3.446475954,3.711206226,1.794140973,2.939053493,5.302213034,0.04102489011,0.06187933917
0.5248,0.8513875832,-3.446654189,3.710494818,1.793702982,2.938898471,5.302276066,0.04101934831,0.06186895351
0.5312,0.8538098864,-3.447371582,3.710505699,1.793916476,2.93893108,5.302309011,0.04101827467,0.06187339612
0.5376,0.8539694269,-3.447349263,3.71124169,1.794409586,2.939094755,5.30225233,0.04102385744,0.0618850281
0.544,0.8516117752,-3.446630158,3.711372047,1.79429616,2.939097438,5.302207615,0.04102590976,0.06188288474
0.5504,0.8509045631,-3.446489728,3.71069184,1.793792531,2.938936302,5.302253294,0.04102105437,0.06187116288
0.5568,0.8531041026,-3.447174666,3.710381305,1.793774053,2.938895123,5.302309072,0.04101767089,0.06187021704
0.5632,0.8543201507,-3.447474925,3.71101706,1.794293882,2.939049171,5.302275423,0.04102195855,0.06188219542
0.5696,0.8523695265,-3.446850101,3.711447824,1.794408329,2.939122949,5.30221239,0.04102616389,0.06188537497
0.576,0.8507507446,-3.446418504,3.710928897,1.793935607,2.938987573,5.302231712,0.04102291226,0.06187455962
0.5824,0.8522882478,-3.446934643,3.71036611,1.793694223,2.938881474,5.302298957,0.04101795099,0.06186853895
0.5888,0.854309547,-3.447495023,3.710767561,1.794130669,2.938994331,5.302295202,0.04102004025,0.06187833097
0.5952,0.8531680289,-3.447092704,3.711417119,1.794455363,2.939124886,5.302226502,0.04102557624,0.06188630745
0.6016,0.8509509427,-3.446453874,3.711160146,1.794103506,2.939042047,5.302215545,0.04102457782,0.06187847339
0.608,0.8515315893,-3.446700529,3.710460745,1.793692595,2.93889274,5.30228083,0.04101902429,0.06186867717
0.6144,0.8539359435,-3.44740501,3.710546094,1.793953772,2.938941436,5.302307566,0.04101852177,0.06187424476
0.6208,0.8538489102,-3.447309392,3.711283247,1.794426336,2.939102642,5.302247226,0.04102423475,0.06188545507
0.6272,0.8514641062,-3.446588869,3.711342086,1.794264471,2.939089005,5.302207948,0.04102574378,0.06188216662
0.6336,0.8509857113,-3.446519049,3.710643064,1.793767139,2.93892641,5.302258411,0.04102064989,0.06187054883
0.64,0.8532763748,-3.447223766,3.710400078,1.793801127,2.938901379,5.302309975,0.04101772955,0.06187081243
0.6464,0.8542717062,-3.44745556,3.711070797,1.794324706,2.939060471,5.302270413,0.04102239697,0.0618829379
0.6528,0.8521921955,-3.446797567,3.711439953,1.794388389,2.939119201,5.302210461,0.04102618041,0.06188494211
0.6592,0.8507541941,-3.446425218,3.710875102,1.793900568,2.93897552,5.302236177,0.04102250374,0.06187373436
0.6656,0.8524704169,-3.446989239,3.710359637,1.793705453,2.938882364,5.302302003,0.04101781413,0.06186875987
0.672,0.8543444529,-3.447500336,3.710822363,1.794169464,2.939006756,5.302291322,0.04102044603,0.06187923974
0.6784,0.8529953103,-3.447039261,3.71143335,1.794451315,2.9391266,5.302222671,0.04102577762,0.06188625175
0.6848,0.8508769974,-3.446436823,3.711111586,1.794065682,2.939030225,5.302218486,0.04102424041,0.06187759666
0.6912,0.8516862386,-3.446749598,3.710430989,1.793685998,2.938888136,5.302285377,0.04101872741,0.06186848771
0.6976,0.8540474644,-3.447433942,3.710590146,1.793992312,2.938952439,5.30230562,0.0410188049,0.06187512527
0.704,0.8537155032,-3.447265904,3.711320989,1.794439422,2.939109529,5.302242246,0.04102458709,0.06188579846
0.7104,0.8513272485,-3.446551353,3.711307956,1.794230899,2.939079732,5.302208788,0.04102554178,0.06188140231
0.7168,0.8510825817,-3.446552858,3.710596663,1.793744601,2.938917289,5.302263539,0.04102025691,0.0618699997
0.7232,0.853441183,-3.447270247,3.710424022,1.793831124,2.938908689,5.302310357,0.04101783147,0.06187147669
0.7296,0.8542057508,-3.447431056,3.711122876,1.794352816,2.93907119,5.302265289,0.0410228303,0.06188362188
0.736,0.8520184886,-3.446746687,3.711426842,1.794365427,2.939114312,5.302209018,0.04102615416,0.06188443601
0.7424,0.8507753256,-3.446437359,3.710821425,1.793867078,2.938963749,5.302240869,0.04102208965,0.06187294316
0.7488,0.8526536412,-3.447043565,3.71035878,1.793720592,2.9388845,5.302304615,0.0410177193,0.06186907047
0.7552,0.8543607905,-3.447500038,3.710878067,1.794207121,2.939019149,5.302287111,0.04102086722,0.0618801278
0.7616,0.8528182822,-3.446985068,3.711444296,1.794443535,2.939127087,5.302219211,0.04102593934,0.06188610749
0.768,0.850819505,-3.44642499,3.711060978,1.794027844,2.93901814,5.302221828,0.04102388231,0.06187671756
