"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.8507557066,-3.446417117,3.710955695,1.793953601,2.938993665,5.302229581,0.04102311215,0.06187498171
0.0064,0.852198243,-3.446907423,3.710371428,1.793690053,2.938881495,5.302297281,0.04101803423,0.06186846311
0.0128,0.8542851922,-3.447490382,3.710740533,1.794111031,2.938988147,5.302297005,0.04101984467,0.0618778716
0.0192,0.8532523875,-3.447118902,3.711407091,1.794455967,2.939123569,5.302228545,0.04102546071,0.06188630193
0.0256,0.8509938386,-3.44646427,3.711183565,1.794122335,2.939047827,5.302214232,0.04102473704,0.06187890856
0.032,0.8514581071,-3.446677075,3.710477201,1.793697281,2.938895471,5.302278472,0.04101918296,0.06186880474
0.0384,0.853874548,-3.44738888,3.710525338,1.79393494,2.93893617,5.302308352,0.04101839342,0.06187381525
0.0448,0.8539108807,-3.447329829,3.711262926,1.794418396,2.939098821,5.302249765,0.04102404942,0.06188525199
0.0512,0.8515367077,-3.446609039,3.711357696,1.794280564,2.939093328,5.30220772,0.04102583194,0.06188253191
0.0576,0.8509431679,-3.446503846,3.710667132,1.793779437,2.938931264,5.302255847,0.04102085115,0.06187084814
0.064,0.8531910393,-3.447199549,3.710390007,1.793787229,2.938898115,5.302309588,0.04101769499,0.06187050589
0.0704,0.8542981736,-3.447465912,3.711044083,1.794309615,2.939054885,5.302272936,0.04102217814,0.06188257359
0.0768,0.8522804932,-3.446823603,3.71144464,1.794398777,2.939121224,5.302211364,0.04102617735,0.06188516832
0.0832,0.8507503159,-3.446421235,3.710901943,1.793917888,2.93898152,5.302233913,0.04102270889,0.06187414346
0.0896,0.8523790821,-3.446961897,3.710362194,1.793699413,2.938881763,5.302300532,0.04101787749,0.06186863879
0.096,0.8543293204,-3.447498428,3.710794793,1.794150194,2.939000541,5.302293306,0.04102024071,0.06187878751
0.1024,0.8530823655,-3.447066011,3.711426011,1.794453858,2.939125891,5.302224544,0.04102568176,0.06188629148
0.1088,0.8509119622,-3.446444734,3.711136115,1.794084596,2.939036176,5.302216962,0.04102441236,0.06187803593
0.1152,0.8516077543,-3.446724757,3.71044532,1.793688828,2.938890294,5.302283134,0.04101887252,0.06186857136
0.1216,0.8539935825,-3.447420052,3.710567669,1.793972913,2.938946862,5.302306654,0.04101865923,0.06187468139
0.128,0.8537836723,-3.447288007,3.711302717,1.794433322,2.939106218,5.302244716,0.04102441401,0.06188563667
0.1344,0.8513942989,-3.446569662,3.711325489,1.794247883,2.939084468,5.302208305,0.0410256473,0.06188178965
0.1408,0.851032194,-3.446535397,3.710619524,1.793755502,2.938921748,5.302260976,0.04102045163,0.06187026542
0.1472,0.8533598107,-3.447247371,3.710411378,1.7938158,2.938904907,5.302310232,0.04101777482,0.06187113612
0.1536,0.8542409469,-3.447443867,3.711097186,1.794339118,2.939065905,5.302267863,0.04102261452,0.06188328831
0.16,0.8521047271,-3.446771942,3.711433971,1.794377278,2.939116898,5.302209677,0.04102617232,0.06188469805
0.1664,0.850762573,-3.446430624,3.710848197,1.79388363,2.938969591,5.302238498,0.04102229693,0.0618733339
0.1728,0.8525619435,-3.447016438,3.710358496,1.79371255,2.938883277,5.302303364,0.04101776138,0.0618689037
0.1792,0.8543550031,-3.447500839,3.710850231,1.794188417,2.939012968,5.302289254,0.04102065515,0.06187968684
0.1856,0.8529072252,-3.447012268,3.711439436,1.794447869,2.939126997,5.302220893,0.04102586398,0.06188619051
0.192,0.8508460637,-3.446430278,3.711086509,1.794046738,2.93902421,5.302220108,0.04102406399,0.06187715671
0.1984,0.8517671521,-3.446774879,3.710417981,1.79368423,2.938886268,5.302287558,0.04101859118,0.06186842702
0.2048,0.8540975166,-3.44744656,3.710613571,1.794011879,2.938958142,5.302304466,0.04101895985,0.06187557564
0.2112,0.8536444243,-3.447243011,3.711338254,1.794444577,2.939112578,5.302239818,0.04102475313,0.06188593802
0.2176,0.8512632485,-3.44653409,3.711289318,1.794213522,2.939074808,5.302209396,0.04102542706,0.06188100516
0.224,0.8511366235,-3.446571219,3.710574629,1.793734626,2.93891305,5.302266089,0.04102006533,0.06186975218
0.2304,0.8535203177,-3.447292293,3.710437996,1.793847078,2.938912721,5.30231035,0.04101789862,0.06187183317
0.2368,0.854166439,-3.447416969,3.711148074,1.794365791,2.939076296,5.302262701,0.04102304374,0.06188393975
0.2432,0.8519335946,-3.446722092,3.711418267,1.794352831,2.939111455,5.302208483,0.04102612545,0.06188415638
