"Time","Subsystem #1|CTLs|Vars|P_EQ_POI1","Subsystem #1|CTLs|Vars|Q_EQ_POI1","Subsystem #1|Loads|LI1|P_EQ_ZIP","Subsystem #1|Loads|LI1|Q_EQ_ZIP","Subsystem #1|Machines|DG|P_EQ_DG","Subsystem #1|Machines|DG|Q_EQ_DG","Subsystem #1|Machines|M1|P_EQ_IM","Subsystem #1|Machines|M1|Q_EQ_IM"
0.0,0.8524592119,-3.446876775,3.711449863,1.794417099,2.939124381,5.302213531,0.04102614043,0.06188556281
0.0064,0.850755674,-3.446417112,3.710955699,1.793953592,2.938993667,5.302229579,0.04102311229,0.06187498161
0.0128,0.8521982242,-3.446907429,3.710371421,1.793690066,2.938881496,5.302297282,0.04101803403,0.06186846327
0.0192,0.8542851622,-3.447490371,3.710740539,1.794111024,2.938988147,5.302297004,0.04101984482,0.06187787156
0.0256,0.8532523747,-3.447118922,3.711407098,1.794455957,2.939123571,5.302228544,0.04102546092,0.06188630183
0.032,0.8509938537,-3.446464274,3.711183575,1.794122314,2.939047826,5.302214233,0.04102473732,0.06187890835
0.0384,0.8514581411,-3.446677078,3.710477206,1.793697265,2.93889547,5.302278472,0.04101918316,0.06186880454
0.0448,0.8538745848,-3.447388883,3.710525333,1.793934946,2.938936169,5.302308353,0.04101839326,0.06187381531
0.0512,0.8539108853,-3.447329818,3.711262921,1.794418406,2.939098819,5.302249766,0.04102404928,0.06188525209
0.0576,0.8515367175,-3.446609033,3.711357686,1.794280582,2.939093331,5.302207718,0.04102583163,0.0618825321
0.064,0.8509432144,-3.446503845,3.710667125,1.793779448,2.938931264,5.302255848,0.04102085093,0.06187084823
0.0704,0.8531910353,-3.447199542,3.710389997,1.79378725,2.938898115,5.302309588,0.04101769471,0.0618705061
0.0768,0.8542981633,-3.447465918,3.711044089,1.794309611,2.939054888,5.302272935,0.04102217825,0.06188257358
0.0832,0.8522804902,-3.446823594,3.711444652,1.794398759,2.939121223,5.302211365,0.04102617777,0.06188516809
0.0896,0.8507502829,-3.446421236,3.710901948,1.793917876,2.93898152,5.302233913,0.04102270913,0.06187414331
0.096,0.8523790875,-3.446961903,3.710362204,1.793699393,2.938881761,5.302300533,0.04101787778,0.06186863858
0.1024,0.8543292907,-3.447498412,3.7107948,1.794150185,2.939000539,5.302293306,0.04102024094,0.06187878742
0.1088,0.8530823619,-3.44706602,3.711426014,1.794453843,2.939125894,5.302224543,0.04102568193,0.06188629127
0.1152,0.8509119775,-3.446444737,3.711136109,1.794084604,2.939036176,5.302216963,0.04102441221,0.06187803598
0.1216,0.851607756,-3.446724739,3.710445309,1.793688845,2.938890294,5.302283133,0.0410188721,0.06186857159
0.128,0.853993615,-3.447420059,3.710567664,1.793972924,2.938946864,5.302306654,0.04101865899,0.06187468151
0.1344,0.8537836846,-3.447287993,3.711302711,1.794433337,2.939106217,5.302244717,0.0410244138,0.06188563686
0.1408,0.851394274,-3.446569653,3.711325493,1.794247874,2.939084468,5.302208305,0.04102564747,0.06188178954
0.1472,0.8510321918,-3.44653539,3.710619519,1.793755517,2.938921746,5.302260977,0.04102045143,0.06187026564
0.1536,0.8533597812,-3.447247375,3.710411383,1.793815792,2.938904906,5.302310232,0.04101777496,0.06187113607
0.16,0.8542409542,-3.447443869,3.711097191,1.794339108,2.939065908,5.302267862,0.04102261471,0.06188328819
0.1664,0.8521047508,-3.446771924,3.711433981,1.794377257,2.939116897,5.302209677,0.04102617259,0.06188469784
0.1728,0.8507625552,-3.446430605,3.710848201,1.793883619,2.938969592,5.302238497,0.0410222971,0.06187333377
0.1792,0.8525619406,-3.447016446,3.710358492,1.793712558,2.938883278,5.302303364,0.04101776125,0.06186890375
0.1856,0.8543550168,-3.447500855,3.71085022,1.794188436,2.939012966,5.302289254,0.04102065478,0.06187968706
0.192,0.852907236,-3.447012274,3.711439426,1.794447888,2.939126997,5.302220893,0.0410258637,0.0618861907
0.1984,0.8508460812,-3.446430284,3.711086502,1.794046749,2.939024207,5.302220109,0.04102406378,0.06187715684
0.2048,0.8517671118,-3.446774873,3.710417971,1.793684252,2.938886269,5.302287557,0.04101859087,0.06186842725
0.2112,0.8540975215,-3.447446583,3.710613564,1.794011894,2.938958145,5.302304465,0.04101895963,0.06187557584
0.2176,0.8536444048,-3.447242997,3.711338265,1.79444456,2.939112577,5.302239818,0.04102475353,0.0618859378
0.224,0.8512632354,-3.446534092,3.711289324,1.794213512,2.93907481,5.302209395,0.04102542729,0.06188100504
0.2304,0.8511366672,-3.446571219,3.710574639,1.793734607,2.938913051,5.30226609,0.04102006562,0.06186975196
0.2368,0.8535202873,-3.447292295,3.710438002,1.793847067,2.93891272,5.30231035,0.04101789884,0.06187183306
0.2432,0.8541664691,-3.447416984,3.711148062,1.794365806,2.939076296,5.302262702,0.04102304339,0.06188393992
0.2496,0.8519336219,-3.446722094,3.711418262,1.794352839,2.939111452,5.302208484,0.04102612531,0.06188415646
0.256,0.850792595,-3.446445257,3.710794974,1.793851101,2.938958003,5.302243287,0.04102188185,0.06187256314
0.2624,0.8527450628,-3.447070479,3.710360443,1.793729484,2.938886028,5.302305748,0.04101768684,0.06186925759
0.2688,0.8543619848,-3.447497763,3.710906026,1.794225432,2.939025297,5.302284893,0.04102108236,0.06188056109
0.2752,0.8527288614,-3.446957939,3.711447664,1.794438212,2.93912687,5.30221763,0.04102600562,0.06188600234
0.2816,0.850797036,-3.446420982,3.711035156,1.794009037,2.939012039,5.302223639,0.04102369614,0.06187627907
0.288,0.8519348108,-3.446826965,3.710395435,1.793683521,2.938883439,5.302291696,0.04101834157,0.06186837198
0.2944,0.8541854299,-3.447468058,3.710662526,1.794051495,2.938969899,5.302301808,0.04101929362,0.0618764891
0.3008,0.8534943229,-3.447195057,3.711369416,1.794451992,2.939117839,5.302235118,0.04102506164,0.06188615049
0.3072,0.8511450675,-3.44650268,3.711249492,1.79417779,2.93906445,5.302210976,0.04102517398,0.06188018599
0.3136,0.8512553738,-3.446611024,3.71053285,1.793716971,2.938905264,5.302271137,0.04101969661,0.06186931261
0.32,0.8536708551,-3.447333848,3.710469509,1.793880791,2.938921473,5.302309943,0.04101806599,0.06187258937
0.3264,0.8540755792,-3.447385322,3.711196388,1.794389364,2.939085945,5.302257505,0.04102345886,0.06188452174
0.3328,0.8517687415,-3.446674664,3.711397636,1.794325752,2.939104945,5.302207795,0.04102603783,0.06188355107
0.3392,0.8508400387,-3.446465074,3.710742588,1.793820557,2.93894687,5.302248235,0.04102146633,0.06187183607
0.3456,0.8529263454,-3.447123376,3.710368038,1.793750092,2.93888999,5.302307658,0.0410176566,0.06186969686
0.352,0.8543502751,-3.44748914,3.710961858,1.794260675,2.939037406,5.302280267,0.04102151889,0.06188140004
0.3584,0.8525491187,-3.446903632,3.711450565,1.794425019,2.939125515,5.302214787,0.04102610604,0.06188573024
0.3648,0.8507651592,-3.446417086,3.710982349,1.793971851,2.938999785,5.30222752,0.04102331045,0.06187541027
0.3712,0.8521091398,-3.446880329,3.710378118,1.793686928,2.938881833,5.302295509,0.04101812747,0.06186840979
0.3776,0.8542563597,-3.447484282,3.710714015,1.794091226,2.938982004,5.302298709,0.04101965456,0.06187741067
0.384,0.8533349907,-3.447144693,3.711395877,1.794455624,2.939121956,5.302230665,0.04102533662,0.06188627403
0.3904,0.8510405606,-3.446475963,3.711206214,1.794140989,2.939053495,5.302213033,0.04102488972,0.06187933936
0.3968,0.8513875944,-3.446654191,3.710494811,1.793702992,2.93889847,5.302276067,0.0410193481,0.06186895361
0.4032,0.853809862,-3.447371565,3.710505689,1.793916497,2.938931077,5.302309012,0.04101827439,0.06187339634
0.4096,0.8539694361,-3.447349264,3.711241695,1.794409579,2.939094755,5.30225233,0.04102385758,0.06188502805
0.416,0.8516117406,-3.446630149,3.711372059,1.794296144,2.939097435,5.302207616,0.04102591014,0.06188288455
0.4224,0.850904494,-3.446489722,3.710691845,1.793792523,2.938936303,5.302253293,0.04102105448,0.06187116286
0.4288,0.8531041171,-3.447174687,3.710381314,1.793774033,2.938895126,5.302309071,0.04101767116,0.0618702168
0.4352,0.8543201593,-3.447474923,3.711017055,1.79429389,2.939049171,5.302275423,0.04102195838,0.06188219553
0.4416,0.852369545,-3.4468501,3.711447829,1.794408315,2.939122951,5.302212389,0.0410261641,0.06188537476
0.448,0.850750779,-3.446418509,3.710928892,1.793935612,2.938987572,5.302231713,0.04102291215,0.06187455963
0.4544,0.8522882856,-3.446934638,3.710366097,1.793694241,2.938881472,5.302298957,0.04101795057,0.06186853919
0.4608,0.8543095605,-3.447495051,3.710767554,1.794130681,2.938994331,5.302295202,0.04102003999,0.06187833112
0.4672,0.8531680351,-3.447092694,3.711417115,1.794455379,2.939124883,5.302226503,0.04102557603,0.06188630767
0.4736,0.8509509268,-3.446453868,3.71116015,1.794103498,2.939042049,5.302215544,0.04102457798,0.06187847328
0.48,0.8515315893,-3.446700547,3.71046074,1.793692611,2.938892742,5.302280829,0.04101902408,0.06186867737
0.4864,0.8539359458,-3.447405021,3.710546099,1.793953764,2.938941436,5.302307565,0.04101852191,0.06187424471
0.4928,0.8538488908,-3.447309413,3.711283253,1.794426326,2.939102644,5.302247226,0.04102423498,0.06188545496
0.4992,0.8514641306,-3.446588881,3.711342096,1.794264449,2.939089002,5.302207949,0.04102574408,0.0618821664
0.5056,0.8509857285,-3.446519044,3.710643069,1.793767124,2.938926409,5.302258411,0.04102065009,0.06187054866
0.512,0.8532763637,-3.44722378,3.710400072,1.793801135,2.938901379,5.302309975,0.04101772933,0.06187081255
0.5184,0.8542717013,-3.447455562,3.711070791,1.794324718,2.939060469,5.302270413,0.04102239673,0.06188293806
0.5248,0.852192152,-3.446797574,3.711439943,1.794388408,2.939119205,5.302210459,0.04102618011,0.06188494229
0.5312,0.850754201,-3.446425206,3.710875097,1.79390058,2.938975521,5.302236177,0.04102250352,0.06187373447
0.5376,0.8524703912,-3.446989243,3.710359627,1.793705474,2.938882364,5.302302002,0.04101781384,0.06186876007
0.544,0.8543444434,-3.447500345,3.710822358,1.794169477,2.939006757,5.302291322,0.04102044585,0.06187923988
0.5504,0.8529953017,-3.447039268,3.71143336,1.794451297,2.939126598,5.302222672,0.04102577804,0.06188625153
0.5568,0.8508769848,-3.446436826,3.711111592,1.794065671,2.939030225,5.302218485,0.04102424064,0.06187759653
0.5632,0.8516862463,-3.446749603,3.710430999,1.79368598,2.938888135,5.302285378,0.0410187277,0.0618684875
0.5696,0.8540474522,-3.44743394,3.710590153,1.793992304,2.938952437,5.30230562,0.04101880511,0.0618751252
0.576,0.8537155002,-3.4472659,3.711320993,1.79443941,2.939109532,5.302242245,0.04102458716,0.06188579834
