"Time","Subsystem #1|CTLs|Vars|BUS101_FRE","Subsystem #1|CTLs|Vars|V101RMS"
0.0,1.000000239,1.006733629
0.0064,1.000000239,1.007355067
0.0128,0.9999998093,1.007556407
0.0192,0.9999998093,1.006930181
0.0256,0.9999999516,1.006631125
0.032,0.9999999516,1.00715561
0.0384,0.9999999516,1.0075954
0.0448,1.000000239,1.007160736
0.0512,1.000000239,1.006619695
0.0576,0.9999998093,1.006947393
0.064,0.9999998093,1.007535509
0.0704,0.9999998093,1.007378612
0.0768,0.9999999516,1.006707833
0.0832,0.9999999516,1.00676661
0.0896,0.9999999516,1.007394575
0.096,1.000000239,1.007533994
0.1024,1.000000239,1.006882731
0.1088,0.9999998093,1.006646676
0.1152,0.9999998093,1.007201974
0.1216,0.9999998093,1.007595585
0.128,0.9999999516,1.007108654
0.1344,0.9999999516,1.006613633
0.1408,1.000000239,1.00699255
0.1472,1.000000239,1.007556682
0.1536,1.000000239,1.007334048
0.16,0.9999998093,1.006679927
0.1664,0.9999998093,1.006802623
0.1728,0.9999998093,1.007431513
0.1792,0.9999999516,1.007506847
0.1856,0.9999999516,1.006837869
0.192,1.000000239,1.006666571
0.1984,1.000000239,1.007247502
0.2048,1.000000239,1.007590723
0.2112,0.9999998093,1.007056548
0.2176,0.9999998093,1.006612555
0.224,0.9999999516,1.007038677
0.2304,0.9999999516,1.007573545
0.2368,0.9999999516,1.00728682
0.2432,1.000000239,1.006656642
0.2496,1.000000239,1.006841321
0.256,1.000000239,1.007465519
0.2624,0.9999998093,1.007475209
0.2688,0.9999998093,1.006796082
0.2752,0.9999999516,1.006690564
0.2816,0.9999999516,1.007291796
0.288,0.9999999516,1.007580781
0.2944,1.000000239,1.007005032
0.3008,1.000000239,1.006616397
0.3072,0.9999998093,1.007085374
0.3136,0.9999998093,1.007585863
0.32,0.9999998093,1.007237471
0.3264,0.9999999516,1.00663816
0.3328,0.9999999516,1.006882339
0.3392,0.9999999516,1.007496253
0.3456,1.000000239,1.007439383
0.352,1.000000239,1.006757811
0.3584,0.9999998093,1.00671838
0.3648,0.9999998093,1.007334463
0.3712,0.9999998093,1.00756578
0.3776,0.9999999516,1.006954711
0.384,0.9999999516,1.006625046
0.3904,1.000000239,1.00713224
0.3968,1.000000239,1.007593441
0.4032,1.000000239,1.007186577
0.4096,0.9999998093,1.006624604
0.416,0.9999998093,1.006925302
0.4224,0.9999998093,1.007523387
0.4288,0.9999999516,1.007399737
0.4352,0.9999999516,1.006723445
0.4416,1.000000239,1.006749719
0.448,1.000000239,1.007375119
0.4544,1.000000239,1.007545805
0.4608,0.9999998093,1.006906166
0.4672,0.9999998093,1.006638344
0.4736,0.9999999516,1.007178872
0.48,0.9999999516,1.007596119
0.4864,0.9999999516,1.007134737
0.4928,1.000000239,1.006616038
0.4992,1.000000239,1.006969825
0.5056,1.000000239,1.007546618
0.512,0.9999998093,1.007356695
0.5184,0.9999998093,1.006693316
0.5248,0.9999999516,1.006784259
0.5312,0.9999999516,1.007413388
0.5376,0.9999999516,1.007520998
0.544,1.000000239,1.006859945
0.5504,1.000000239,1.006656096
0.5568,0.9999998093,1.007224867
0.5632,0.9999998093,1.007593788
0.5696,0.9999998093,1.007082564
0.576,0.9999999516,1.006612473
0.5824,0.9999999516,1.007015517
0.5888,0.9999999516,1.007565668
0.5952,1.000000239,1.007310734
0.6016,1.000000239,1.006667694
0.608,0.9999998093,1.006821659
0.6144,0.9999998093,1.007448904
0.6208,0.9999998093,1.007491572
0.6272,0.9999999516,1.006816562
0.6336,0.9999999516,1.006678072
0.64,1.000000239,1.007269827
0.6464,1.000000239,1.007586387
0.6528,1.000000239,1.007030678
0.6592,0.9999998093,1.006613868
0.6656,0.9999998093,1.007061979
0.672,0.9999998093,1.007580285
0.6784,0.9999999516,1.007262375
0.6848,0.9999999516,1.006646791
0.6912,1.000000239,1.006861563
0.6976,1.000000239,1.007481316
0.704,1.000000239,1.007457797
0.7104,0.9999998093,1.006776481
0.7168,0.9999998093,1.006704012
0.7232,0.9999998093,1.007313357
0.7296,0.9999999516,1.007573909
0.736,0.9999999516,1.006979686
0.7424,1.000000239,1.00662013
0.7488,1.000000239,1.007108811
0.7552,1.000000239,1.007590255
0.7616,0.9999998093,1.00721218
0.768,0.9999998093,1.00663076
0.7744,0.9999999516,1.0069036
