"Time","Subsystem #1|CTLs|Vars|BUS101_FRE","Subsystem #1|CTLs|Vars|V101RMS"
0.0,0.9999999009,1.00228451
0.0064,0.9999999009,1.002155466
0.0128,0.9999998194,1.002186052
0.0192,0.9999998194,1.002325396
0.0256,0.9999998194,1.002321925
0.032,1.000000241,1.002186901
0.0384,1.000000241,1.002154295
0.0448,1.000000241,1.002287824
0.0512,0.9999999012,1.002344793
0.0576,0.9999999012,1.002229528
0.064,0.9999998202,1.002141794
0.0704,0.9999998202,1.002241162
0.0768,0.9999998202,1.0023485
0.0832,1.000000241,1.00227496
0.0896,1.000000241,1.002150766
0.096,0.9999999011,1.002195217
0.1024,0.9999999011,1.002331757
0.1088,0.9999999011,1.002314703
0.1152,0.9999998202,1.002178726
0.1216,0.9999998202,1.002159919
0.128,0.9999998202,1.002297313
0.1344,1.000000241,1.002341309
0.1408,1.000000241,1.002219544
0.1472,0.9999999014,1.002142766
0.1536,0.9999999014,1.002251875
0.16,0.9999999014,1.002349521
0.1664,0.9999998204,1.002265105
0.1728,0.9999998204,1.002147045
0.1792,1.000000241,1.00220489
0.1856,1.000000241,1.002337205
0.192,1.000000241,1.002306828
0.1984,0.9999999018,1.002171189
0.2048,0.9999999018,1.002166459
0.2112,0.9999999018,1.002306271
0.2176,0.9999998209,1.002336912
0.224,0.9999998209,1.002209805
0.2304,1.000000241,1.002144857
0.2368,1.000000241,1.002262527
0.2432,1.000000241,1.002349499
0.2496,0.9999999019,1.00225506
0.256,0.9999999019,1.002144309
0.2624,0.999999821,1.002214985
0.2688,0.999999821,1.002341751
0.2752,0.999999821,1.002298355
0.2816,1.000000242,1.002164392
0.288,1.000000242,1.002173848
0.2944,1.000000242,1.002314578
0.3008,0.999999902,1.002331609
0.3072,0.999999902,1.002200403
0.3136,0.9999998211,1.002147962
0.32,0.9999998211,1.002272984
0.3264,0.9999998211,1.00234846
0.3328,1.000000242,1.002244932
0.3392,1.000000242,1.0021426
0.3456,0.9999999024,1.002225412
0.352,0.9999999024,1.002345303
0.3584,0.9999999024,1.002289391
0.3648,0.9999998212,1.002158378
0.3712,0.9999998212,1.002181991
0.3776,0.9999998212,1.002322154
0.384,1.000000242,1.002325506
0.3904,1.000000242,1.002191425
0.3968,0.9999999035,1.002152093
0.4032,0.9999999035,1.00228314
0.4096,0.9999999035,1.002346431
0.416,0.9999998215,1.002234791
0.4224,0.9999998215,1.002141954
0.4288,1.000000242,1.002236039
0.4352,1.000000242,1.002347831
0.4416,1.000000242,1.002280022
0.448,0.9999999035,1.002153233
0.4544,0.9999999035,1.002190809
0.4608,0.9999999035,1.002328921
0.4672,0.9999998218,1.002318638
0.4736,0.9999998218,1.002182964
0.48,1.000000242,1.00215723
0.4864,1.000000242,1.002292874
0.4928,1.000000242,1.002343388
0.4992,0.9999999037,1.00222474
0.5056,0.9999999037,1.002142388
0.512,0.9999998221,1.002246757
0.5184,0.9999998221,1.00234936
0.5248,0.9999998221,1.002270308
0.5312,1.000000242,1.002149022
0.5376,1.000000242,1.002200215
0.544,1.000000242,1.002334837
0.5504,0.999999904,1.002311087
0.5568,0.999999904,1.002175096
0.5632,0.9999998221,1.0021633
0.5696,0.9999998221,1.002302109
0.576,0.9999998221,1.002339459
0.5824,1.000000243,1.002214863
0.5888,1.000000243,1.002143914
0.5952,1.000000243,1.002257448
0.6016,0.9999999043,1.002349879
0.608,0.9999999043,1.002260333
0.6144,0.9999998224,1.002145788
0.6208,0.9999998224,1.002210111
0.6272,0.9999998224,1.002339817
0.6336,1.000000244,1.002302886
0.64,1.000000244,1.002167928
0.6464,0.9999999037,1.002170274
0.6528,0.9999999037,1.002310733
0.6592,0.9999999037,1.002334595
0.6656,0.9999998228,1.002205281
0.672,0.9999998228,1.002146478
0.6784,0.9999998228,1.002267997
0.6848,1.000000244,1.002349326
0.6912,1.000000244,1.002250222
0.6976,0.9999999041,1.002143542
0.704,0.9999999041,1.002220388
0.7104,0.9999999041,1.00234385
0.7168,0.9999998228,1.002294161
0.7232,0.9999998228,1.002161495
0.7296,1.000000244,1.002178034
0.736,1.000000244,1.00231866
0.7424,1.000000244,1.002328873
0.7488,0.9999999046,1.002196079
0.7552,0.9999999046,1.002150104
0.7616,0.9999999046,1.002278313
0.768,0.999999823,1.002347787
0.7744,0.999999823,1.002240068
0.7808,1.000000244,1.002142353
0.7872,1.000000244,1.002230916
0.7936,1.000000244,1.002346921
0.8,0.9999999044,1.002284959
0.8064,0.9999999044,1.002155895
0.8128,0.9999998231,1.002186531
0.8192,0.9999998231,1.002325854
0.8256,0.9999998231,1.002322364
0.832,1.000000245,1.00218733
0.8384,1.000000245,1.002154758
0.8448,1.000000245,1.002288258
0.8512,0.9999999045,1.002345248
0.8576,0.9999999045,1.002229954
0.864,0.9999998236,1.002142264
0.8704,0.9999998236,1.002241594
0.8768,0.9999998236,1.002348921
0.8832,1.000000245,1.002275408
0.8896,1.000000245,1.002151213
0.896,0.9999999042,1.002195669
0.9024,0.9999999042,1.002332185
0.9088,0.9999999042,1.002315145
0.9152,0.9999998237,1.002179146
0.9216,0.9999998237,1.002160368
0.928,0.9999998237,1.00229775
0.9344,1.000000245,1.002341745
0.9408,1.000000245,1.002219978
0.9472,0.9999999051,1.002143213
0.9536,0.9999999051,1.002252306
0.96,0.9999999051,1.002349942
0.9664,0.9999998241,1.002265545
0.9728,0.9999998241,1.002147459
0.9792,1.000000245,1.002205308
0.9856,1.000000245,1.002337654
0.992,1.000000245,1.002307268
0.9984,0.902544785,1.540897757E-6
1.0048,0.902544785,1.191588553E-6
1.0112,0.902544785,1.237818195E-6
1.0176,0.9303239182,1.262472735E-6
1.024,0.9303239182,1.177287064E-6
1.0304,0.9303239182,1.195826904E-6
1.0368,1.002416723,1.195485462E-6
1.0432,1.002416723,1.217346162E-6
1.0496,1.015991031,1.232287351E-6
1.056,1.015991031,1.20856327E-6
1.0624,1.015991031,1.236426318E-6
1.0688,1.001393109,1.223799086E-6
1.0752,1.001393109,1.222126556E-6
1.0816,1.000963931,1.033356275
1.088,3.076585752,0.9862255374
1.0944,3.076585752,0.9976541334
1.1008,1.9740198,1.014408837
1.1072,1.9740198,0.9914965656
1.1136,0.9970316496,0.9891168482
1.12,0.9970316496,0.987076689
1.1264,0.9970316496,0.9711607237
1.1328,0.9955956817,0.9801880887
1.1392,0.9955956817,0.9860681253
1.1456,0.9990565225,0.9915013081
1.152,0.9990565225,1.006388784
1.1584,0.9990565225,1.008163913
1.1648,1.002021635,1.013203914
1.1712,1.002021635,1.013005497
1.1776,1.002021635,1.011468064
1.184,1.001741026,1.0117642
1.1904,1.001741026,1.009057596
1.1968,1.000409291,1.007351387
1.2032,1.000409291,1.004236699
1.2096,1.000409291,0.9993282338
1.216,0.9991040007,0.9963423205
1.2224,0.9991040007,0.9944824054
1.2288,0.9989660428,0.9947428617
1.2352,0.9989660428,0.997180216
1.2416,0.9989660428,0.9996120637
1.248,1.000071106,1.002464844
1.2544,1.000071106,1.004680383
1.2608,1.000071106,1.005814692
1.2672,1.000405116,1.006237552
1.2736,1.000405116,1.005772041
1.28,0.9999732318,1.005168676
1.2864,0.9999732318,1.004316785
1.2928,0.9999732318,1.002878224
1.2992,0.9997414382,1.001149132
1.3056,0.9997414382,0.9994398303
1.312,0.9997929827,0.9983037143
1.3184,0.9997929827,0.9978556216
1.3248,0.9997929827,0.9978639456
1.3312,1.000126481,0.9983704142
1.3376,1.000126481,0.999296237
1.344,1.000126481,1.000342073
1.3504,1.000314478,1.001095876
1.3568,1.000314478,1.001391458
1.3632,1.000009412,1.001467761
1.3696,1.000009412,1.001476614
1.376,1.000009412,1.00124119
1.3824,0.9996675574,1.000657529
1.3888,0.9996675574,0.9999247552
1.3952,0.9996675574,0.9993646595
1.4016,0.9997007637,0.9989931663
1.408,0.9997007637,0.9986445454
1.4144,1.000021491,0.9984157749
1.4208,1.000021491,0.9985477041
1.4272,1.000021491,0.999022502
1.4336,1.000303946,0.9994829996
1.44,1.000303946,0.9997597422
1.4464,1.000249378,1.000016748
1.4528,1.000249378,1.000374698
1.4592,1.000249378,1.0006065
1.4656,0.9999289302,1.000539038
1.472,0.9999289302,1.00035591
1.4784,0.9999289302,1.000316905
1.4848,0.9997085198,1.000335654
1.4912,0.9997085198,1.000202523
1.4976,0.9997922906,1.000034188
1.504,0.9997922906,1.00011173
1.5104,0.9997922906,1.000422792
1.5168,1.000058322,1.000675139
1.5232,1.000058322,1.00082543
1.5296,1.000230192,1.001088109
1.536,1.000230192,1.001509992
1.5424,1.000230192,1.001809082
1.5488,1.000152502,1.001873897
1.5552,1.000152502,1.001921988
1.5616,1.000152502,1.002120471
1.568,0.9999377505,1.002275629
1.5744,0.9999377505,1.002229355
1.5808,0.9998135392,1.002165
1.5872,0.9998135392,1.002312079
1.5936,0.9998135392,1.002551294
1.6,0.9998796543,1.002653686
1.6064,0.9998796543,1.002709072
1.6128,1.00004218,1.002945999
1.6192,1.00004218,1.00330605
1.6256,1.00004218,1.003510666
1.632,1.000133472,1.003558274
1.6384,1.000133472,1.00368326
1.6448,1.000133472,1.003934857
1.6512,1.000080953,1.004060883
1.6576,1.000080953,1.003993516
1.664,0.9999619836,1.003961894
1.6704,0.9999619836,1.004113376
1.6768,0.9999619836,1.004247456
1.6832,0.9998995075,1.004211194
1.6896,0.9998995075,1.004175769
1.696,0.99993833,1.004341223
1.7024,0.99993833,1.004572136
1.7088,0.99993833,1.004633662
1.7152,1.000022902,1.004606159
1.7216,1.000022902,1.004715647
1.728,1.000022902,1.004928549
1.7344,1.000067439,1.004984013
1.7408,1.000067439,1.004873991
1.7472,1.000040035,1.004834315
1.7536,1.000040035,1.004951174
1.76,1.000040035,1.00499455
1.7664,0.9999824986,1.004858948
1.7728,0.9999824986,1.004742068
1.7792,0.9999538043,1.004818272
1.7856,0.9999538043,1.004926186
1.792,0.9999538043,1.004863748
1.7984,0.9999722465,1.004742635
1.8048,0.9999722465,1.004781412
1.8112,0.9999722465,1.004923744
1.8176,1.000010964,1.004916491
1.824,1.000010964,1.004765897
1.8304,1.00003142,1.004699814
1.8368,1.00003142,1.004787136
1.8432,1.00003142,1.004795024
1.8496,1.000019725,1.004622131
1.856,1.000019725,1.004461186
1.8624,0.9999950364,1.004482935
1.8688,0.9999950364,1.004532224
1.8752,0.9999950364,1.004411495
