"Time","Subsystem #1|CTLs|Vars|BUS101_FRE","Subsystem #1|CTLs|Vars|V101RMS"
0.0,0.9999998875,1.002546885
0.0064,0.9999998346,1.002447613
0.0128,0.9999998346,1.002340634
0.0192,1.00000025,1.002417597
0.0256,1.00000025,1.0025414
0.032,1.00000025,1.002491639
0.0384,0.9999998888,1.002358682
0.0448,0.9999998888,1.002375197
0.0512,0.9999998888,1.002516132
0.0576,0.9999998345,1.002526431
0.064,0.9999998345,1.002393388
0.0704,1.00000025,1.002347243
0.0768,1.00000025,1.002475708
0.0832,1.00000025,1.002545396
0.0896,0.9999998893,1.0024375
0.096,0.9999998893,1.002339506
0.1024,0.9999998349,1.002428209
0.1088,0.9999998349,1.002544507
0.1152,0.9999998349,1.002482486
0.1216,1.000000251,1.002353144
0.128,1.000000251,1.002383747
0.1344,1.000000251,1.002523386
0.1408,0.9999998889,1.002520022
0.1472,0.9999998889,1.002384669
0.1536,0.999999835,1.00235194
0.16,0.999999835,1.002485741
0.1664,0.999999835,1.002542916
0.1728,1.000000251,1.002427406
0.1792,1.000000251,1.002339453
0.1856,0.9999998888,1.002438977
0.192,0.9999998888,1.002546622
0.1984,0.9999998888,1.002472971
0.2048,0.9999998354,1.002348465
0.2112,0.9999998354,1.002392958
0.2176,0.9999998354,1.002529828
0.224,1.00000025,1.002512793
0.2304,1.00000025,1.002376532
0.2368,0.99999989,1.002357604
0.2432,0.99999989,1.002495321
0.2496,0.99999989,1.002539464
0.256,0.9999998351,1.002417465
0.2624,0.9999998351,1.002340485
0.2688,1.000000252,1.002449779
0.2752,1.000000252,1.002547688
0.2816,1.000000252,1.002463136
0.288,0.9999998891,1.002344783
0.2944,0.9999998891,1.002402685
0.3008,0.9999998891,1.002535372
0.3072,0.999999836,1.00250496
0.3136,0.999999836,1.002369018
0.32,1.000000252,1.002364195
0.3264,1.000000252,1.002504337
0.3328,1.000000252,1.002535122
0.3392,0.9999998894,1.002407742
0.3456,0.9999998894,1.00234256
0.352,0.9999998894,1.002460491
0.3584,0.9999998359,1.002547717
0.3648,0.9999998359,1.002453125
0.3712,1.000000252,1.002342076
0.3776,1.000000252,1.002412857
0.384,1.000000252,1.002539928
0.3904,0.9999998895,1.002496527
0.3968,0.9999998895,1.002362223
0.4032,0.999999836,1.002371646
0.4096,0.999999836,1.002512684
0.416,0.999999836,1.002529839
0.4224,1.000000252,1.002398354
0.4288,1.000000252,1.002345725
0.4352,1.000000252,1.002470999
0.4416,0.99999989,1.002546745
0.448,0.99999989,1.002442992
0.4544,0.9999998361,1.002340391
0.4608,0.9999998361,1.002423321
0.4672,0.9999998361,1.002543545
0.4736,1.000000251,1.002487552
0.48,1.000000251,1.002356242
0.4864,0.9999998912,1.002379843
0.4928,0.9999998912,1.002520331
0.4992,0.9999998912,1.002523762
0.5056,0.9999998362,1.002389403
0.512,0.9999998362,1.002349925
0.5184,0.9999998362,1.002481224
0.5248,1.000000252,1.002544727
0.5312,1.000000252,1.002432856
0.5376,0.9999998906,1.002339785
0.544,0.9999998906,1.002434032
0.5504,0.9999998906,1.002546121
0.5568,0.9999998363,1.002478206
0.5632,0.9999998363,1.002351135
0.5696,1.000000252,1.002388717
0.576,1.000000252,1.002527148
0.5824,1.000000252,1.002516912
0.5888,0.999999891,1.002380951
0.5952,0.999999891,1.002355099
0.6016,0.999999891,1.002491006
0.608,0.9999998366,1.002541739
0.6144,0.9999998366,1.00242283
0.6208,1.000000252,1.002340272
0.6272,1.000000252,1.002444794
0.6336,1.000000252,1.002547706
0.64,0.9999998913,1.002468508
0.6464,0.9999998913,1.002346946
0.6528,0.9999998369,1.002398171
0.6592,0.9999998369,1.002533123
0.6656,0.9999998369,1.002509394
0.672,1.000000252,1.002373096
0.6784,1.000000252,1.002361203
0.6848,1.000000252,1.002500307
0.6912,0.9999998917,1.00253782
0.6976,0.9999998917,1.002412988
0.704,0.9999998369,1.002341789
0.7104,0.9999998369,1.002455561
0.7168,0.9999998369,1.002548218
0.7232,1.000000253,1.002458571
0.7296,1.000000253,1.002343702
0.736,0.9999998906,1.002408135
0.7424,0.9999998906,1.002538165
0.7488,0.9999998906,1.002501211
0.7552,0.9999998371,1.002365925
0.7616,0.9999998371,1.002368214
0.768,0.9999998371,1.002508994
0.7744,1.000000253,1.002532984
0.7808,1.000000253,1.002403396
0.7872,0.9999998908,1.002344407
0.7936,0.9999998908,1.002466172
0.8,0.9999998908,1.002547739
0.8064,0.9999998371,1.002448476
0.8128,0.9999998371,1.002341493
0.8192,1.000000253,1.002418448
0.8256,1.000000253,1.002542238
0.832,1.000000253,1.002492494
0.8384,0.999999891,1.002359511
0.8448,0.999999891,1.002376041
0.8512,0.999999891,1.002516974
0.8576,0.9999998367,1.002527292
0.864,0.9999998367,1.002394202
0.8704,1.000000254,1.002348071
0.8768,1.000000254,1.00247654
0.8832,1.000000254,1.002546226
0.8896,0.9999998912,1.002438307
0.896,0.9999998912,1.002340333
0.9024,0.9999998374,1.002429036
0.9088,0.9999998374,1.002545343
0.9152,0.9999998374,1.002483318
0.9216,1.000000254,1.00235395
0.928,1.000000254,1.002384566
0.9344,1.000000254,1.002524229
0.9408,0.9999998908,1.002520794
0.9472,0.9999998908,1.002385473
0.9536,0.9999998378,1.00235275
0.96,0.9999998378,1.002486548
0.9664,0.9999998378,1.002543714
0.9728,1.000000254,1.002428197
0.9792,1.000000254,1.002340266
0.9856,0.999999891,1.002439796
0.992,0.999999891,1.002547383
0.9984,0.999999891,1.541098296E-6
1.0048,0.999999891,1.204691715E-6
1.0112,0.8307199005,1.131582666E-6
1.0176,0.8307199005,1.269564501E-6
1.024,1.005996521,1.161830058E-6
1.0304,1.005996521,1.23025323E-6
1.0368,1.005996521,1.194318089E-6
1.0432,1.004889173,1.185266869E-6
1.0496,1.004889173,1.21066983E-6
1.056,1.00388846,1.180663855E-6
1.0624,1.00388846,1.195018833E-6
1.0688,1.00388846,1.194868529E-6
1.0752,1.005239218,1.177884154E-6
1.0816,1.005239218,0.7670184506
1.088,1.233419891,0.973460946
1.0944,1.233419891,0.9929338519
1.1008,1.233419891,0.9979757986
1.1072,0.9999150976,0.991308086
1.1136,0.9999150976,0.9799773532
1.12,0.9951997112,0.9848396826
1.1264,0.9951997112,0.9698360849
1.1328,0.9951997112,0.9696044284
1.1392,0.9962235751,0.9837190423
1.1456,0.9962235751,0.9857964844
1.152,0.9962235751,1.002564958
1.1584,1.00084722,1.00873893
1.1648,1.00084722,1.012116092
1.1712,1.002620734,1.015399051
1.1776,1.002620734,1.012511673
1.184,1.002620734,1.01338154
1.1904,1.000937661,1.011940122
1.1968,1.000937661,1.010045043
1.2032,0.9996339064,1.008240489
1.2096,0.9996339064,1.003356184
1.216,0.9996339064,0.9994557498
1.2224,0.9987948764,0.9974950945
1.2288,0.9987948764,0.9968455287
1.2352,0.9987948764,0.9990307746
1.2416,0.9995467078,1.001699884
1.248,0.9995467078,1.004462528
1.2544,1.000761796,1.007088778
1.2608,1.000761796,1.008285654
1.2672,1.000761796,1.008736204
