"Time","Subsystem #1|CTLs|Vars|BUS101_FRE","Subsystem #1|CTLs|Vars|V101RMS"
0.0,0.9999998603,1.002227901
0.0064,1.000000276,1.002334976
0.0128,1.000000276,1.002432397
0.0192,1.000000276,1.002349665
0.0256,0.999999917,1.00223201
0.032,0.999999917,1.002288
0.0384,0.999999917,1.002419313
0.0448,0.9999998601,1.002390277
0.0512,0.9999998601,1.002255774
0.0576,1.000000276,1.002249682
0.064,1.000000276,1.002387839
0.0704,1.000000276,1.002419239
0.0768,0.9999999162,1.002293701
0.0832,0.9999999162,1.002228137
0.0896,0.9999999162,1.002343844
0.096,0.999999859,1.002430794
0.1024,0.999999859,1.002338065
0.1088,1.000000276,1.002227542
0.1152,1.000000276,1.002296282
0.1216,1.000000276,1.002422218
0.128,0.9999999161,1.002380292
0.1344,0.9999999161,1.002247299
0.1408,0.9999998596,1.002255263
0.1472,0.9999998596,1.002394461
0.1536,0.9999998596,1.002412436
0.16,1.000000275,1.002282716
0.1664,1.000000275,1.002229509
0.1728,1.000000275,1.002352575
0.1792,0.9999999151,1.002428256
0.1856,0.9999999151,1.002326407
0.192,0.9999998584,1.002224154
0.1984,0.9999998584,1.002304971
0.2048,0.9999998584,1.002424204
0.2112,1.000000276,1.002369871
0.2176,1.000000276,1.002239683
0.224,0.9999999141,1.002261676
0.2304,0.9999999141,1.002400456
0.2368,0.9999999141,1.002404884
0.2432,0.9999998582,1.002272224
0.2496,0.9999998582,1.002231954
0.256,0.9999998582,1.002361112
0.2624,1.000000274,1.002424762
0.2688,1.000000274,1.002314809
0.2752,0.9999999148,1.002221862
0.2816,0.9999999148,1.002313948
0.288,0.9999999148,1.002425294
0.2944,0.9999998582,1.002359078
0.3008,0.9999998582,1.002232982
0.3072,1.000000275,1.002268852
0.3136,1.000000275,1.00240572
0.32,1.000000275,1.002396643
0.3264,0.9999999133,1.002262279
0.3328,0.9999999133,1.002235452
0.3392,0.9999999133,1.002369292
0.3456,0.9999998577,1.002420384
0.352,0.9999998577,1.002303353
0.3584,1.000000274,1.002220732
0.3648,1.000000274,1.002323075
0.3712,1.000000274,1.002425416
0.3776,0.9999999132,1.002348006
0.384,0.9999999132,1.00222728
0.3904,0.9999998571,1.002276666
0.3968,0.9999998571,1.002410195
0.4032,0.9999998571,1.002387783
0.4096,1.000000272,1.002252983
0.416,1.000000272,1.00223995
0.4224,1.000000272,1.002377046
0.4288,0.9999999142,1.002415102
0.4352,0.9999999142,1.002292156
0.4416,0.9999998568,1.002220704
0.448,0.9999998568,1.002332262
0.4544,0.9999998568,1.002424592
0.4608,1.000000273,1.002336777
0.4672,1.000000273,1.002222556
0.4736,0.9999999128,1.002285017
0.48,0.9999999128,1.002413826
0.4864,0.9999999128,1.002378322
0.4928,0.9999998561,1.002244425
0.4992,0.9999998561,1.002245391
0.5056,0.9999998561,1.002384262
0.512,1.000000274,1.002409002
0.5184,1.000000274,1.002281261
0.5248,0.999999912,1.002221803
0.5312,0.999999912,1.002341363
0.5376,0.999999912,1.002422795
0.544,0.999999856,1.002325406
0.5504,0.999999856,1.00221891
0.5568,1.000000273,1.002293824
0.5632,1.000000273,1.002416562
0.5696,1.000000273,1.002368396
0.576,0.9999999118,1.00223667
0.5824,0.9999999118,1.002251682
0.5888,0.9999999118,1.002390883
0.5952,0.9999998562,1.00240211
0.6016,0.9999998562,1.00227079
0.608,1.000000272,1.002223994
0.6144,1.000000272,1.002350309
0.6208,1.000000272,1.002420056
0.6272,0.9999999117,1.002314073
0.6336,0.9999999117,1.002216347
0.64,0.9999998555,1.002302943
0.6464,0.9999998555,1.002418398
0.6528,0.9999998555,1.002358049
0.6592,1.000000272,1.0022298
0.6656,1.000000272,1.002258759
0.672,1.000000272,1.002396788
0.6784,0.9999999114,1.00239447
0.6848,0.9999999114,1.00226083
0.6912,0.9999998551,1.002227236
0.6976,0.9999998551,1.002358941
0.704,0.9999998551,1.002416403
0.7104,1.000000271,1.002302781
0.7168,1.000000271,1.002214908
0.7232,0.999999911,1.002312282
0.7296,0.999999911,1.002419271
0.736,0.999999911,1.002347378
0.7424,0.9999998545,1.002223829
0.7488,0.9999998545,1.002266534
0.7552,0.9999998545,1.00240192
0.7616,1.000000271,1.002386162
0.768,1.000000271,1.002251449
0.7744,0.9999999108,1.002231514
0.7808,0.9999999108,1.002367189
0.7872,0.9999999108,1.002411821
0.7936,0.9999998548,1.002291699
0.8,0.9999998548,1.002214578
0.8064,1.00000027,1.002321704
0.8128,1.00000027,1.002419174
0.8192,1.00000027,1.002336458
0.8256,0.9999999111,1.002218866
0.832,0.9999999111,1.002274892
0.8384,0.9999999111,1.002406239
0.8448,0.9999998543,1.002377258
0.8512,0.9999998543,1.002242774
0.8576,1.00000027,1.002236724
0.864,1.00000027,1.002374924
0.8704,1.00000027,1.002406362
0.8768,0.9999999103,1.002280884
0.8832,0.9999999103,1.002215357
0.8896,0.9999999103,1.002331102
0.896,0.999999854,1.002418109
0.9024,0.999999854,1.002325399
0.9088,1.00000027,1.002214923
0.9152,1.00000027,1.002283714
0.9216,1.00000027,1.002409681
0.928,0.9999999097,1.002367801
0.9344,0.9999999097,1.00223485
0.9408,0.9999998535,1.002242856
0.9472,0.9999998535,1.002382081
0.9536,0.9999998535,1.002400123
0.96,1.000000269,1.002270418
0.9664,1.000000269,1.002217247
0.9728,1.000000269,1.002340375
0.9792,0.9999999105,1.002416062
0.9856,0.9999999105,1.002314277
0.992,0.9999998537,1.002212036
0.9984,0.9999998537,1.54034027E-6
1.0048,0.9999998537,1.197917389E-6
1.0112,0.8525738932,1.225575864E-6
1.0176,0.8525738932,1.220869235E-6
1.024,0.8525738932,1.165877336E-6
1.0304,1.000011493,1.233808333E-6
1.0368,1.000011493,1.190548512E-6
1.0432,0.9980758152,1.189471052E-6
1.0496,0.9980758152,1.221852564E-6
1.056,0.9980758152,1.185667963E-6
1.0624,0.9992374746,1.2049363E-6
1.0688,0.9992374746,1.205596694E-6
1.0752,0.9992374746,1.183206483E-6
1.0816,1.000984523,1.441665586
1.088,1.000984523,0.9666594849
1.0944,1.218164848,0.9888267199
1.1008,1.218164848,1.013602935
1.1072,0.9999302355,0.9872924398
1.1136,0.9999302355,0.9860994982
1.12,0.9999302355,0.9846822673
1.1264,0.9957653508,0.9691088939
1.1328,0.9957653508,0.978848511
1.1392,0.9957653508,0.9853223616
1.1456,0.9976839104,0.9906674224
1.152,0.9976839104,1.005833111
1.1584,1.001247037,1.007916335
1.1648,1.001247037,1.012954878
1.1712,1.001247037,1.012365366
1.1776,1.001627289,1.010677689
1.184,1.001627289,1.011710795
1.1904,1.000371179,1.00965033
1.1968,1.000371179,1.00809562
1.2032,1.000371179,1.005062807
1.2096,0.9993719891,1.000551558
1.216,0.9993719891,0.9981457252
1.2224,0.9993719891,0.99653001
1.2288,0.9989952329,0.9965823167
1.2352,0.9989952329,0.9989466556
1.2416,1.000060903,1.001589899
1.248,1.000060903,1.004542581
1.2544,1.000060903,1.006427869
1.2608,1.000709864,1.007085148
1.2672,1.000709864,1.007347817
1.2736,1.000154368,1.006994754
1.28,1.000154368,1.006340026
1.2864,1.000154368,1.005172968
1.2928,0.9996418974,1.003538917
1.2992,0.9996418974,1.00195821
1.3056,0.9996418974,1.000462419
1.312,0.9996373958,0.9992346965
1.3184,0.9996373958,0.9985411246
1.3248,1.000053154,0.9985111202
1.3312,1.000053154,0.9991801373
1.3376,1.000053154,1.000059641
1.344,1.000468385,1.00071625
1.3504,1.000468385,1.001110936
1.3568,1.000289218,1.001335098
1.3632,1.000289218,1.001409719
1.3696,1.000289218,1.001127234
1.376,0.9997783324,1.000483291
1.3824,0.9997783324,0.9997569744
1.3888,0.9997783324,0.9991396248
1.3952,0.9995787986,0.9985377154
1.4016,0.9995787986,0.9978659815
1.408,0.9998273865,0.9973329265
1.4144,0.9998273865,0.9972406331
1.4208,0.9998273865,0.997506395
1.4272,1.000229308,0.9977814305
1.4336,1.000229308,0.9979749183
1.44,1.000365658,0.9982614723
1.4464,1.000365658,0.9986806051
1.4528,1.000365658,0.9989204129
1.4592,1.000108126,0.9988456847
1.4656,1.000108126,0.99869668
1.472,1.000108126,0.9987072118
1.4784,0.9997725839,0.9987063568
1.4848,0.9997725839,0.998497456
1.4912,0.9997036458,0.9982651217
1.4976,0.9997036458,0.9983187869
1.504,0.9997036458,0.9985822544
1.5104,0.9999222391,0.9987671333
1.5168,0.9999222391,0.9989086017
1.5232,1.00017651,0.9992545146
1.5296,1.00017651,0.9997756984
1.536,1.00017651,1.000137936
1.5424,1.000215895,1.000285312
1.5488,1.000215895,1.00047275
1.5552,1.000215895,1.000797465
1.5616,1.000035952,1.000997762
1.568,1.000035952,1.000981082
1.5744,0.9998460464,1.000994815
1.5808,0.9998460464,1.001221421
1.5872,0.9998460464,1.001455316
1.5936,0.9998260266,1.001536486
1.6,0.9998260266,1.001649285
1.6064,0.9999625485,1.001995502
1.6128,0.9999625485,1.00240322
1.6192,0.9999625485,1.002632878
1.6256,1.000098765,1.002789596
1.632,1.000098765,1.003093683
1.6384,1.000098765,1.003450706
1.6448,1.000108467,1.003603904
1.6512,1.000108467,1.003614371
1.6576,1.000008902,1.003737026
1.664,1.000008902,1.003978639
1.6704,1.000008902,1.004085581
1.6768,0.9999143879,1.004051343
1.6832,0.9999143879,1.004124154
1.6896,0.9999143879,1.004386324
1.696,0.9999112414,1.004589299
1.7024,0.9999112414,1.00462943
1.7088,0.9999833398,1.004709168
1.7152,0.9999833398,1.004972413
1.7216,0.9999833398,1.005212405
1.728,1.000048561,1.005244162
1.7344,1.000048561,1.005219014
1.7408,1.000050684,1.005346806
1.7472,1.000050684,1.00551725
1.7536,1.000050684,1.00549774
1.76,1.000003819,1.005368618
1.7664,1.000003819,1.005374833
1.7728,1.000003819,1.005516488
1.7792,0.9999619334,1.005539627
1.7856,0.9999619334,1.005417356
1.792,0.9999626415,1.00537665
1.7984,0.9999626415,1.005517427
1.8048,0.9999626415,1.005612036
1.8112,0.9999958468,1.005520268
1.8176,0.9999958468,1.005412934
1.824,1.000023998,1.005473316
1.8304,1.000023998,1.005566047
1.8368,1.000023998,1.005472471
1.8432,1.000024921,1.005279124
1.8496,1.000024921,1.005216233
1.856,1.000024921,1.005276695
1.8624,1.000006094,1.005216305
1.8688,1.000006094,1.005007351
1.8752,0.9999891387,1.004868221
1.8816,0.9999891387,1.004909435
1.888,0.9999891387,1.004924349
1.8944,0.999989183,1.004765814
1.9008,0.999989183,1.004586611
1.9072,1.000001924,1.004578586
1.9136,1.000001924,1.004635476
1.92,1.000001924,1.004530432
1.9264,1.00001225,1.004316556
1.9328,1.00001225,1.004218885
1.9392,1.00001225,1.00426329
1.9456,1.000012773,1.004211666
1.952,1.000012773,1.003999932
1.9584,1.000006361,1.003830204
1.9648,1.000006361,1.003843891
1.9712,1.000006361,1.003861218
