0 [1.00e+00, 1.00e+00]
200 [1.00e+00, 9.86e-01]
400 [1.01e+00, 9.90e-01]
600 [1.01e+00, 9.95e-01]
800 [1.02e+00, 1.00e+00]
1000 [1.02e+00, 1.01e+00]
1200 [1.03e+00, 1.01e+00]
1400 [1.04e+00, 1.02e+00]
1600 [1.05e+00, 1.03e+00]
1800 [1.06e+00, 1.04e+00]
2000 [1.07e+00, 1.04e+00]
2200 [1.08e+00, 1.05e+00]
2400 [1.09e+00, 1.06e+00]
2600 [1.10e+00, 1.07e+00]
2800 [1.11e+00, 1.08e+00]
3000 [1.13e+00, 1.09e+00]
3200 [1.14e+00, 1.10e+00]
3400 [1.15e+00, 1.11e+00]
3600 [1.16e+00, 1.12e+00]
3800 [1.17e+00, 1.13e+00]
4000 [1.19e+00, 1.14e+00]
4200 [1.20e+00, 1.15e+00]
4400 [1.21e+00, 1.16e+00]
4600 [1.22e+00, 1.16e+00]
4800 [1.23e+00, 1.17e+00]
5000 [1.24e+00, 1.18e+00]
5200 [1.25e+00, 1.19e+00]
5400 [1.26e+00, 1.20e+00]
5600 [1.27e+00, 1.20e+00]
5800 [1.28e+00, 1.21e+00]
6000 [1.29e+00, 1.22e+00]
6200 [1.29e+00, 1.22e+00]
6400 [1.30e+00, 1.23e+00]
6600 [1.31e+00, 1.23e+00]
6800 [1.32e+00, 1.24e+00]
7000 [1.32e+00, 1.24e+00]
7200 [1.33e+00, 1.24e+00]
7400 [1.33e+00, 1.25e+00]
7600 [1.33e+00, 1.25e+00]
7800 [1.34e+00, 1.25e+00]
8000 [1.34e+00, 1.25e+00]
8200 [1.34e+00, 1.26e+00]
8400 [1.34e+00, 1.26e+00]
8600 [1.35e+00, 1.26e+00]
8800 [1.35e+00, 1.27e+00]
9000 [1.36e+00, 1.27e+00]
9200 [1.36e+00, 1.28e+00]
9400 [1.36e+00, 1.28e+00]
9600 [1.37e+00, 1.28e+00]
9800 [1.37e+00, 1.29e+00]
10000 [1.38e+00, 1.29e+00]
10200 [1.38e+00, 1.30e+00]
10400 [1.38e+00, 1.30e+00]
10600 [1.38e+00, 1.31e+00]
10800 [1.39e+00, 1.31e+00]
11000 [1.39e+00, 1.31e+00]
11200 [1.39e+00, 1.32e+00]
11400 [1.40e+00, 1.32e+00]
11600 [1.40e+00, 1.32e+00]
11800 [1.40e+00, 1.32e+00]
12000 [1.40e+00, 1.33e+00]
12200 [1.40e+00, 1.33e+00]
12400 [1.41e+00, 1.33e+00]
12600 [1.41e+00, 1.33e+00]
12800 [1.41e+00, 1.34e+00]
13000 [1.41e+00, 1.34e+00]
13200 [1.41e+00, 1.34e+00]
13400 [1.42e+00, 1.34e+00]
