"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|udA8"
0.0,-1.657840289E-4,-1.014533868E-4
5.0E-5,-1.712091248E-4,-1.015932266E-4
1.0E-4,-1.764654895E-4,-1.017289816E-4
1.5E-4,-1.815479054E-4,-1.018605172E-4
2.0E-4,-1.864513929E-4,-1.019877044E-4
2.5E-4,-1.911711181E-4,-1.021104178E-4
3.0E-4,-1.957023899E-4,-1.022285355E-4
3.5E-4,-2.000407703E-4,-1.023419418E-4
4.0E-4,-2.041819801E-4,-1.024505248E-4
4.5E-4,-2.081218965E-4,-1.025541765E-4
5.0E-4,-2.118566623E-4,-1.026527954E-4
5.5E-4,-2.153825913E-4,-1.027462841E-4
6.0E-4,-2.186961652E-4,-1.028345495E-4
6.5E-4,-2.217941421E-4,-1.02917505E-4
7.0E-4,-2.246734617E-4,-1.029950689E-4
7.5E-4,-2.273312413E-4,-1.030671634E-4
8.0E-4,-2.297648836E-4,-1.031337182E-4
8.5E-4,-2.319719815E-4,-1.031946673E-4
9.0E-4,-2.339503131E-4,-1.032499496E-4
9.5E-4,-2.356979497E-4,-1.032995112E-4
0.001,-2.372131588E-4,-1.033433028E-4
0.00105,-2.384943994E-4,-1.033812801E-4
0.0011,-2.395404287E-4,-1.034134063E-4
0.00115,-2.403502047E-4,-1.034396493E-4
0.0012,-2.40922881E-4,-1.034599822E-4
0.00125,-2.412579125E-4,-1.034743852E-4
0.0013,-2.413549579E-4,-1.03482844E-4
0.00135,-2.412138785E-4,-1.034853491E-4
0.0014,-2.408348384E-4,-1.034818987E-4
0.00145,-2.402181945E-4,-1.034724958E-4
0.0015,-2.393644914E-4,-1.03457148E-4
0.00155,-2.382745817E-4,-1.034358708E-4
0.0016,-2.369495393E-4,-1.03408685E-4
0.00165,-2.353906205E-4,-1.033756163E-4
0.0017,-2.335993835E-4,-1.033366977E-4
0.00175,-2.315775871E-4,-1.032919675E-4
0.0018,-2.29327179E-4,-1.032414686E-4
0.00185,-2.26850399E-4,-1.031852514E-4
0.0019,-2.241496799E-4,-1.031233709E-4
0.00195,-2.212276384E-4,-1.030558871E-4
0.002,-2.180871777E-4,-1.02982867E-4
0.00205,-2.147313866E-4,-1.029043824E-4
0.0021,-2.111635294E-4,-1.028205097E-4
0.00215,-2.07387148E-4,-1.02731332E-4
0.0022,-2.034059601E-4,-1.026369372E-4
0.00225,-1.99223849E-4,-1.025374173E-4
0.0023,-1.948449646E-4,-1.024328711E-4
0.00235,-1.90273621E-4,-1.023234015E-4
0.0024,-1.855142861E-4,-1.022091155E-4
0.00245,-1.805716816E-4,-1.020901264E-4
0.0025,-1.754506803E-4,-1.019665517E-4
0.00255,-1.701562947E-4,-1.018385121E-4
0.0026,-1.64693777E-4,-1.017061348E-4
0.00265,-1.590685158E-4,-1.015695503E-4
0.0027,-1.532860237E-4,-1.014288924E-4
0.00275,-1.473520374E-4,-1.012843007E-4
0.0028,-1.412724133E-4,-1.011359179E-4
0.00285,-1.350531152E-4,-1.009838895E-4
0.0029,-1.287003135E-4,-1.008283664E-4
0.00295,-1.222202808E-4,-1.006695021E-4
0.003,-1.156193789E-4,-1.005074525E-4
0.00305,-1.089041575E-4,-1.003423786E-4
0.0031,-1.020812494E-4,-1.001744432E-4
0.00315,-9.515735767E-5,-1.000038114E-4
0.0032,-8.813935325E-5,-9.983065245E-5
0.00325,-8.103417056E-5,-9.965513755E-5
0.0033,-7.384879362E-5,-9.947743916E-5
0.00335,-6.659035395E-5,-9.929773365E-5
