,Time,I,O,err
0,0.0,-0.0001843512576,-0.0001026668385,-2.3676350085783532e-08
1,5e-05,-0.0001890786027,-0.00010278969,-2.3676350085783532e-08
2,0.0001,-0.0001936195471,-0.0001029079973,-2.3898549954964876e-08
3,0.00015,-0.0001979696432,-0.0001030216446,-2.4071599931223264e-08
4,0.0002,-0.0002021246001,-0.0001031305197,-2.4825050044720992e-08
5,0.00025,-0.0002060802813,-0.0001032345143,-2.5665649996346046e-08
6,0.0003,-0.0002098328142,-0.0001033335265,-2.5782099969708094e-08
7,0.00035,-0.0002133784948,-0.0001034274587,-2.6022400101497617e-08
8,0.0004,-0.0002167137853,-0.0001035162171,-2.681764998675555e-08
9,0.00045,-0.0002198354225,-0.0001035997149,-2.7061249909974758e-08
10,0.0005,-0.0002227403227,-0.0001036778696,-2.693635010615064e-08
11,0.00055,-0.0002254255776,-0.0001037506031,-2.796379997959536e-08
12,0.0006,-0.0002278885634,-0.0001038178441,-2.8781699961495308e-08
13,0.00065,-0.0002301268436,-0.0001038795263,-2.8021800125080376e-08
14,0.0007,-0.0002321381658,-0.0001039355877,-2.8332899982977736e-08
15,0.00075,-0.0002339205686,-0.0001039859735,-2.9184299970923776e-08
16,0.0008,-0.0002354722854,-0.0001040306338,-2.8767699967839622e-08
17,0.00085,-0.0002367917391,-0.0001040695235,-2.886954994052275e-08
18,0.0009,-0.0002378776494,-0.0001041026046,-2.9774700091209604e-08
19,0.00095,-0.0002387289349,-0.0001041298443,-2.9217450008001133e-08
20,0.001,-0.0002393447084,-0.0001041512146,-2.9179199988855174e-08
21,0.00105,-0.0002397243822,-0.0001041666948,-2.994109998816349e-08
22,0.0011,-0.0002398675714,-0.0001041762694,-3.018570003064094e-08
23,0.00115,-0.0002397740918,-0.0001041799279,-2.9370900026047097e-08
24,0.0012,-0.0002394440607,-0.0001041776674,-2.8755349946470556e-08
25,0.00125,-0.0002388777867,-0.0001041694896,-2.98433500020524e-08
26,0.0013,-0.0002380757645,-0.0001041554009,-3.01072499517426e-08
27,0.00135,-0.0002370387956,-0.0001041354156,-2.8872800053321e-08
28,0.0014,-0.0002357679024,-0.0001041095534,-2.895119998185154e-08
29,0.00145,-0.0002342642876,-0.0001040778384,-2.9318799973964207e-08
30,0.0015,-0.0002325294551,-0.0001040403025,-2.8902550026584962e-08
31,0.00155,-0.0002305651083,-0.0001039969825,-2.832915001280828e-08
32,0.0016,-0.0002283731382,-0.00010394792,-2.7319099959446577e-08
33,0.00165,-0.0002259557273,-0.0001038931639,-2.7813649936155038e-08
34,0.0017,-0.00022331525,-0.0001038327678,-2.7650000086407167e-08
35,0.00175,-0.0002204542634,-0.0001037667903,-2.7406700036378476e-08
36,0.0018,-0.0002173756111,-0.0001036952968,-2.7155549921567546e-08
37,0.00185,-0.0002140823208,-0.0001036183578,-2.6160399994477543e-08
38,0.0019,-0.0002105775951,-0.0001035360479,-2.6122549996602032e-08
39,0.00195,-0.0002068649141,-0.0001034484489,-2.5857049936297075e-08
40,0.002,-0.0002029479327,-0.000103355647,-2.5166350051206848e-08
41,0.00205,-0.0001988304709,-0.0001032577327,-2.381045010419955e-08
42,0.0021,-0.000194516615,-0.0001031548032,-2.4432500010575925e-08
43,0.00215,-0.0001900106154,-0.0001030469597,-2.4332700015051306e-08
