"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|udA8"
0.0,2.935773284E-9,0.0
5.0E-5,2.93540335E-9,0.0
1.0E-4,2.935033127E-9,0.0
1.5E-4,2.934662614E-9,0.0
2.0E-4,2.934291812E-9,0.0
2.5E-4,2.93392072E-9,0.0
3.0E-4,2.933549338E-9,0.0
3.5E-4,2.933177667E-9,0.0
4.0E-4,2.932805706E-9,0.0
4.5E-4,2.932433456E-9,0.0
5.0E-4,2.932060917E-9,0.0
5.5E-4,2.931688088E-9,0.0
6.0E-4,2.93131497E-9,0.0
6.5E-4,2.930941563E-9,0.0
7.0E-4,2.930567866E-9,0.0
7.5E-4,2.930193881E-9,0.0
8.0E-4,2.929819606E-9,0.0
8.5E-4,2.929445042E-9,0.0
9.0E-4,2.929070189E-9,0.0
9.5E-4,2.928695047E-9,0.0
0.001,2.928319616E-9,0.0
0.00105,2.927943896E-9,0.0
0.0011,2.927567888E-9,0.0
0.00115,2.92719159E-9,0.0
0.0012,2.926815004E-9,0.0
0.00125,2.926438128E-9,0.0
0.0013,2.926060964E-9,0.0
0.00135,2.925683511E-9,0.0
0.0014,2.92530577E-9,0.0
0.00145,2.92492774E-9,0.0
0.0015,2.924549421E-9,0.0
0.00155,2.924170813E-9,0.0
0.0016,2.923791917E-9,0.0
0.00165,2.923412732E-9,0.0
0.0017,2.923033259E-9,0.0
0.00175,2.922653497E-9,0.0
0.0018,2.922273446E-9,0.0
0.00185,2.921893107E-9,0.0
0.0019,2.92151248E-9,0.0
0.00195,2.921131564E-9,0.0
0.002,2.92075036E-9,0.0
0.00205,2.920368867E-9,0.0
0.0021,2.919987086E-9,0.0
0.00215,2.919605016E-9,0.0
0.0022,2.919222659E-9,0.0
0.00225,2.918840013E-9,0.0
0.0023,2.918457079E-9,0.0
0.00235,2.918073857E-9,0.0
0.0024,2.917690346E-9,0.0
0.00245,2.917306548E-9,0.0
0.0025,2.916922462E-9,0.0
0.00255,2.916538088E-9,0.0
0.0026,2.916153425E-9,0.0
0.00265,2.915768475E-9,0.0
0.0027,2.915383238E-9,0.0
0.00275,2.914997712E-9,0.0
0.0028,2.914611899E-9,0.0
0.00285,2.914225798E-9,0.0
0.0029,2.913839409E-9,0.0
0.00295,2.913452733E-9,0.0
0.003,2.91306577E-9,0.0
0.00305,2.912678519E-9,0.0
0.0031,2.91229098E-9,0.0
0.00315,2.911903154E-9,0.0
0.0032,2.911515041E-9,0.0
0.00325,2.911126641E-9,0.0
0.0033,2.910737953E-9,0.0
0.00335,2.910348978E-9,0.0
0.0034,2.909959716E-9,0.0
0.00345,2.909570167E-9,0.0
0.0035,2.909180331E-9,0.0
0.00355,2.908790207E-9,0.0
0.0036,2.908399797E-9,0.0
0.00365,2.9080091E-9,0.0
0.0037,2.907618115E-9,0.0
0.00375,2.907226844E-9,0.0
0.0038,2.906835286E-9,0.0
0.00385,2.906443442E-9,0.0
0.0039,2.90605131E-9,0.0
0.00395,2.905658892E-9,0.0
0.004,2.905266186E-9,0.0
0.00405,2.904873195E-9,0.0
0.0041,2.904479916E-9,0.0
0.00415,2.904086351E-9,0.0
0.0042,2.903692499E-9,0.0
0.00425,2.90329836E-9,0.0
0.0043,2.902903935E-9,0.0
0.00435,2.902509223E-9,0.0
0.0044,2.902114225E-9,0.0
0.00445,2.90171894E-9,0.0
0.0045,2.901323368E-9,0.0
0.00455,2.90092751E-9,0.0
0.0046,2.900531366E-9,0.0
0.00465,2.900134936E-9,0.0
0.0047,2.899738219E-9,0.0
0.00475,2.899341215E-9,0.0
0.0048,2.898943926E-9,0.0
0.00485,2.89854635E-9,0.0
0.0049,2.898148488E-9,0.0
0.00495,2.89775034E-9,0.0
0.005,2.897351906E-9,0.0
0.00505,2.896953186E-9,0.0
0.0051,2.89655418E-9,0.0
0.00515,2.896154888E-9,0.0
0.0052,2.895755311E-9,0.0
0.00525,2.895355447E-9,0.0
0.0053,2.894955298E-9,0.0
0.00535,2.894554862E-9,0.0
0.0054,2.894154141E-9,0.0
0.00545,2.893753135E-9,0.0
0.0055,2.893351843E-9,0.0
0.00555,2.892950265E-9,0.0
0.0056,2.892548402E-9,0.0
0.00565,2.892146254E-9,0.0
0.0057,2.89174382E-9,0.0
0.00575,2.891341101E-9,0.0
0.0058,2.890938096E-9,0.0
0.00585,2.890534806E-9,0.0
0.0059,2.890131231E-9,0.0
0.00595,2.889727371E-9,0.0
0.006,2.889323226E-9,0.0
0.00605,2.888918796E-9,0.0
0.0061,2.88851408E-9,0.0
0.00615,2.88810908E-9,0.0
0.0062,2.887703794E-9,0.0
0.00625,2.887298224E-9,0.0
0.0063,2.886892369E-9,0.0
0.00635,2.886486229E-9,0.0
0.0064,2.886079804E-9,0.0
0.00645,2.885673094E-9,0.0
0.0065,2.885266099E-9,0.0
0.00655,2.88485882E-9,0.0
0.0066,2.884451256E-9,0.0
0.00665,2.884043407E-9,0.0
0.0067,2.883635273E-9,0.0
0.00675,2.883226855E-9,0.0
0.0068,2.882818152E-9,0.0
0.00685,2.882409165E-9,0.0
0.0069,2.881999893E-9,0.0
0.00695,2.881590337E-9,0.0
0.007,2.881180496E-9,0.0
0.00705,2.88077037E-9,0.0
0.0071,2.88035996E-9,0.0
0.00715,2.879949266E-9,0.0
0.0072,2.879538288E-9,0.0
0.00725,2.879127025E-9,0.0
0.0073,2.878715478E-9,0.0
0.00735,2.878303647E-9,0.0
0.0074,2.877891532E-9,0.0
0.00745,2.877479132E-9,0.0
0.0075,2.877066448E-9,0.0
0.00755,2.876653481E-9,0.0
0.0076,2.876240229E-9,0.0
0.00765,2.875826694E-9,0.0
0.0077,2.875412875E-9,0.0
0.00775,2.874998772E-9,0.0
0.0078,2.874584385E-9,0.0
0.00785,2.874169714E-9,0.0
0.0079,2.87375476E-9,0.0
0.00795,2.873339522E-9,0.0
0.008,2.872924001E-9,0.0
0.00805,2.872508196E-9,0.0
0.0081,2.872092107E-9,0.0
0.00815,2.871675736E-9,0.0
0.0082,2.87125908E-9,0.0
0.00825,2.870842142E-9,0.0
0.0083,2.87042492E-9,0.0
0.00835,2.870007415E-9,0.0
0.0084,2.869589626E-9,0.0
0.00845,2.869171555E-9,0.0
0.0085,2.868753201E-9,0.0
0.00855,2.868334563E-9,0.0
0.0086,2.867915642E-9,0.0
0.00865,2.867496439E-9,0.0
0.0087,2.867076952E-9,0.0
0.00875,2.866657182E-9,0.0
0.0088,2.86623713E-9,0.0
0.00885,2.865816795E-9,0.0
0.0089,2.865396176E-9,0.0
0.00895,2.864975275E-9,0.0
0.009,2.864554092E-9,0.0
0.00905,2.864132625E-9,0.0
0.0091,2.863710876E-9,0.0
0.00915,2.863288844E-9,0.0
0.0092,2.862866529E-9,0.0
0.00925,2.862443932E-9,0.0
0.0093,2.862021052E-9,0.0
0.00935,2.86159789E-9,0.0
0.0094,2.861174445E-9,0.0
0.00945,2.860750718E-9,0.0
0.0095,2.860326708E-9,0.0
0.00955,2.859902417E-9,0.0
0.0096,2.859477842E-9,0.0
0.00965,2.859052986E-9,0.0
0.0097,2.858627847E-9,0.0
0.00975,2.858202426E-9,0.0
0.0098,2.857776723E-9,0.0
0.00985,2.857350738E-9,0.0
0.0099,2.856924471E-9,0.0
0.00995,2.856497921E-9,0.0
0.01,2.85607109E-9,0.0
0.01005,2.855643977E-9,0.0
0.0101,2.855216582E-9,0.0
0.01015,2.859961499E-9,0.0
0.0102,0.06639950916,0.0
0.01025,0.200108641,0.0
0.0103,0.3356166045,0.0
0.01035,0.406499318,0.0
0.0104,0.4116900541,0.0
0.01045,0.4161364053,0.0
0.0105,0.4207384214,0.0
0.01055,0.4255709327,0.0
0.0106,0.4302939837,0.0
0.01065,0.4347565126,0.0
0.0107,0.439016786,0.0
0.01075,0.4431009609,0.0
0.0108,0.4470272693,0.0
0.01085,0.4508133317,0.0
0.0109,0.4544736384,0.0
0.01095,0.4580178668,0.0
0.011,0.4614530248,0.0
0.01105,0.4647841561,0.0
0.0111,0.4680154328,0.0
0.01115,0.4711501906,0.0
0.0112,0.4741915109,0.0
0.01125,0.4771420482,0.0
0.0113,0.4800044176,0.0
0.01135,0.4827809719,0.0
0.0114,0.4854740935,0.0
0.01145,0.4880859744,0.0
0.0115,0.490618853,0.0
0.01155,0.4930748137,0.0
0.0116,0.4954559852,0.0
0.01165,0.497764363,0.0
0.0117,0.5000019803,0.0
0.01175,0.5021707522,0.0
0.0118,0.5042726223,0.0
0.01185,0.506309428,0.0
0.0119,0.5082830271,0.0
0.01195,0.5101951813,0.0
0.012,0.5120476651,0.0
0.01205,0.5138421655,0.0
0.0121,0.5155803761,0.0
0.01215,0.5172639108,0.0
0.0122,0.5188943848,0.0
0.01225,0.52047334,0.0
0.0123,0.5220023156,0.0
0.01235,0.5234827835,0.0
0.0124,0.5249162089,0.0
0.01245,0.5263039957,0.0
0.0125,0.5276475378,0.0
0.01255,0.5289481727,0.0
0.0126,0.5302072254,0.0
0.01265,0.5314259692,0.0
