"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M|TESTSPDOUT","Subsystem #1|Machines|M|TESTTELECT"
0.0,0.0,1.000333097,6.944288511E-7
5.0E-5,0.0,1.000333096,6.838529946E-7
1.0E-4,0.0,1.000333096,6.730710646E-7
1.5E-4,0.0,1.000333095,6.620941123E-7
2.0E-4,0.0,1.000333094,6.509357937E-7
2.5E-4,0.0,1.000333093,6.39607334E-7
3.0E-4,0.0,1.000333092,6.281226134E-7
3.5E-4,0.0,1.000333091,6.164929548E-7
4.0E-4,0.0,1.000333091,6.047323858E-7
4.5E-4,0.0,1.00033309,5.928522555E-7
5.0E-4,0.0,1.000333089,5.808666659E-7
5.5E-4,0.0,1.000333088,5.687869253E-7
6.0E-4,0.0,1.000333087,5.566271434E-7
6.5E-4,0.0,1.000333086,5.443985257E-7
7.0E-4,0.0,1.000333086,5.32115128E-7
7.5E-4,0.0,1.000333085,5.197879976E-7
8.0E-4,0.0,1.000333084,5.074310804E-7
8.5E-4,0.0,1.000333083,4.95055216E-7
9.0E-4,0.0,1.000333082,4.826741908E-7
9.5E-4,0.0,1.000333081,4.70298593E-7
0.001,0.0,1.00033308,4.579420057E-7
0.00105,0.0,1.00033308,4.45614728E-7
0.0011,0.0,1.000333079,4.333301015E-7
0.00115,0.0,1.000333078,4.210981042E-7
0.0012,0.0,1.000333077,4.089318031E-7
0.00125,0.0,1.000333076,3.968408281E-7
0.0013,0.0,1.000333075,3.848379439E-7
0.00135,0.0,1.000333075,3.729324098E-7
0.0014,0.0,1.000333074,3.611366643E-7
0.00145,0.0,1.000333073,3.494595779E-7
0.0015,0.0,1.000333072,3.379132425E-7
0.00155,0.0,1.000333071,3.265061255E-7
0.0016,0.0,1.00033307,3.152499553E-7
0.00165,0.0,1.00033307,3.041527838E-7
0.0017,0.0,1.000333069,2.932259618E-7
0.00175,0.0,1.000333068,2.824771158E-7
0.0018,0.0,1.000333067,2.719172065E-7
0.00185,0.0,1.000333066,2.615534274E-7
0.0019,0.0,1.000333065,2.513963376E-7
0.00195,0.0,1.000333065,2.414526911E-7
0.002,0.0,1.000333064,2.317326353E-7
0.00205,0.0,1.000333063,2.222424785E-7
0.0021,0.0,1.000333062,2.129919472E-7
0.00215,0.0,1.000333061,2.03986898E-7
0.0022,0.0,1.00033306,1.952366272E-7
0.00225,0.0,1.00033306,1.867465345E-7
0.0023,0.0,1.000333059,1.785254761E-7
0.00235,0.0,1.000333058,1.705783891E-7
0.0024,0.0,1.000333057,1.629136801E-7
0.00245,0.0,1.000333056,1.555358176E-7
0.0025,0.0,1.000333055,1.484527481E-7
0.00255,0.0,1.000333055,1.416684649E-7
0.0026,0.0,1.000333054,1.351904441E-7
0.00265,0.0,1.000333053,1.290221965E-7
0.0027,0.0,1.000333052,1.231707167E-7
0.00275,0.0,1.000333051,1.176390252E-7
0.0028,0.0,1.00033305,1.124336234E-7
0.00285,0.0,1.000333049,1.075570339E-7
0.0029,0.0,1.000333049,1.030152522E-7
0.00295,0.0,1.000333048,9.881029464E-8
0.003,0.0,1.000333047,9.494763888E-8
0.00305,0.0,1.000333046,9.142878558E-8
0.0031,0.0,1.000333045,8.825868215E-8
0.00315,0.0,1.000333044,8.543830497E-8
0.0032,0.0,1.000333044,8.297205825E-8
0.00325,0.0,1.000333043,8.086038518E-8
0.0033,0.0,1.000333042,7.910713448E-8
0.00335,0.0,1.000333041,7.771220735E-8
0.0034,0.0,1.00033304,7.667888486E-8
0.00345,0.0,1.000333039,7.600651788E-8
0.0035,0.0,1.000333039,7.569780811E-8
0.00355,0.0,1.000333038,7.575154839E-8
0.0036,0.0,1.000333037,7.616985019E-8
0.00365,0.0,1.000333036,7.695094118E-8
0.0037,0.0,1.000333035,7.80963324E-8
0.00375,0.0,1.000333034,7.960368032E-8
0.0038,0.0,1.000333034,8.147388671E-8
0.00385,0.0,1.000333033,8.370403157E-8
0.0039,0.0,1.000333032,8.629439951E-8
0.00395,0.0,1.000333031,8.924149055E-8
0.004,0.0,1.00033303,9.254496565E-8
0.00405,0.0,1.000333029,9.620074226E-8
0.0041,0.0,1.000333029,1.00207853E-7
0.00415,0.0,1.000333028,1.045616318E-7
0.0042,0.0,1.000333027,1.092604798E-7
0.00425,0.0,1.000333026,1.142991481E-7
0.0043,0.0,1.000333025,1.19675405E-7
0.00435,0.0,1.000333024,1.253834215E-7
0.0044,0.0,1.000333024,1.314203331E-7
0.00445,0.0,1.000333023,1.377797355E-7
0.0045,0.0,1.000333022,1.44458134E-7
0.00455,0.0,1.000333021,1.514485551E-7
0.0046,0.0,1.00033302,1.587468787E-7
0.00465,0.0,1.000333019,1.663455705E-7
0.0047,0.0,1.000333019,1.742398916E-7
0.00475,0.0,1.000333018,1.824217576E-7
0.0048,0.0,1.000333017,1.908858198E-7
0.00485,0.0,1.000333016,1.996234564E-7
0.0049,0.0,1.000333015,2.086287202E-7
0.00495,0.0,1.000333014,2.17892467E-7
0.005,0.0,1.000333014,2.274081644E-7
0.00505,0.0,1.000333013,2.371661633E-7
0.0051,0.0,1.000333012,2.471593622E-7
0.00515,0.0,1.000333011,2.573776263E-7
0.0052,0.0,1.00033301,2.678133034E-7
0.00525,0.0,1.000333009,2.78455795E-7
0.0053,0.0,1.000333009,2.892969188E-7
0.00535,0.0,1.000333008,3.003256371E-7
0.0054,0.0,1.000333007,3.115332603E-7
0.00545,0.0,1.000333006,3.229083384E-7
0.0055,0.0,1.000333005,3.344417002E-7
0.00555,0.0,1.000333004,3.461215121E-7
0.0056,0.0,1.000333004,3.579381497E-7
0.00565,0.0,1.000333003,3.698794271E-7
0.0057,0.0,1.000333002,3.819352971E-7
0.00575,0.0,1.000333001,3.940932558E-7
0.0058,0.0,1.000333,4.063428661E-7
0.00585,0.0,1.000332999,4.186713422E-7
0.0059,0.0,1.000332999,4.310678929E-7
0.00595,0.0,1.000332998,4.435194891E-7
0.006,0.0,1.000332997,4.560150235E-7
0.00605,0.0,1.000332996,4.685412653E-7
0.0061,0.0,1.000332995,4.810868315E-7
0.00615,0.0,1.000332994,4.936383328E-7
0.0062,0.0,1.000332993,5.06184154E-7
0.00625,0.0,1.000332993,5.187107936E-7
0.0063,0.0,1.000332992,5.312064491E-7
0.00635,0.0,1.000332991,5.436575556E-7
0.0064,0.0,1.00033299,5.560521717E-7
0.00645,0.0,1.000332989,5.683767195E-7
0.0065,0.0,1.000332988,5.806191691E-7
0.00655,0.0,1.000332988,5.927659829E-7
0.0066,0.0,1.000332987,6.048050956E-7
0.00665,0.0,1.000332986,6.167230652E-7
0.0067,0.0,1.000332985,6.285078458E-7
0.00675,0.0,1.000332984,6.401461488E-7
0.0068,0.0,1.000332983,6.516260052E-7
0.00685,0.0,1.000332983,6.629343392E-7
0.0069,0.0,1.000332982,6.74059318E-7
0.00695,0.0,1.000332981,6.849881404E-7
0.007,0.0,1.00033298,6.957091707E-7
0.00705,0.0,1.000332979,7.062099455E-7
0.0071,0.0,1.000332978,7.164790893E-7
0.00715,0.0,1.000332977,7.265045407E-7
0.0072,0.0,1.000332977,7.362752485E-7
0.00725,0.0,1.000332976,7.457796192E-7
0.0073,0.0,1.000332975,7.55006991E-7
0.00735,0.0,1.000332974,7.639463046E-7
0.0074,0.0,1.000332973,7.725873532E-7
0.00745,0.0,1.000332972,7.809196782E-7
0.0075,0.0,1.000332972,7.889335937E-7
0.00755,0.0,1.000332971,7.966193083E-7
0.0076,0.0,1.00033297,8.039677221E-7
0.00765,0.0,1.000332969,8.109697761E-7
0.0077,0.0,1.000332968,8.176170209E-7
0.00775,0.0,1.000332967,8.239011938E-7
0.0078,0.0,1.000332966,8.29814558E-7
0.00785,0.0,1.000332966,8.353497091E-7
0.0079,0.0,1.000332965,8.404996825E-7
0.00795,0.0,1.000332964,8.452579902E-7
0.008,0.0,1.000332963,8.496184967E-7
0.00805,0.0,1.000332962,8.535756852E-7
0.0081,0.0,1.000332961,8.57124301E-7
0.00815,0.0,1.000332961,8.602598481E-7
0.0082,0.0,1.00033296,8.629780001E-7
0.00825,0.0,1.000332959,8.652753255E-7
0.0083,0.0,1.000332958,8.67148467E-7
0.00835,0.0,1.000332957,8.685950954E-7
0.0084,0.0,1.000332956,8.696128562E-7
0.00845,0.0,1.000332955,8.702005522E-7
0.0085,0.0,1.000332955,8.703568584E-7
0.00855,0.0,1.000332954,8.700817313E-7
0.0086,0.0,1.000332953,8.693748925E-7
0.00865,0.0,1.000332952,8.682374649E-7
0.0087,0.0,1.000332951,8.666702256E-7
0.00875,0.0,1.00033295,8.646754669E-7
0.0088,0.0,1.00033295,8.6225502E-7
0.00885,0.0,1.000332949,8.594123398E-7
0.0089,0.0,1.000332948,8.561503003E-7
0.00895,0.0,1.000332947,8.52473502E-7
0.009,0.0,1.000332946,8.483858402E-7
0.00905,0.0,1.000332945,8.438930334E-7
0.0091,0.0,1.000332944,8.389999669E-7
0.00915,0.0,1.000332944,8.337134397E-7
0.0092,0.0,1.000332943,8.280392855E-7
0.00925,0.0,1.000332942,8.219853364E-7
0.0093,0.0,1.000332941,8.155583244E-7
0.00935,0.0,1.00033294,8.087670581E-7
0.0094,0.0,1.000332939,8.016191082E-7
0.00945,0.0,1.000332939,7.941241953E-7
0.0095,0.0,1.000332938,7.862906622E-7
0.00955,0.0,1.000332937,7.781290693E-7
