"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M|TESTSPDOUT","Subsystem #1|Machines|M|TESTTELECT"
0.0,0.0,1.00479507,1.862346843E-6
5.0E-5,0.0,1.004795058,1.868845446E-6
1.0E-4,0.0,1.004795046,1.873913401E-6
1.5E-4,0.0,1.004795034,1.87753225E-6
2.0E-4,0.0,1.004795022,1.879685059E-6
2.5E-4,0.0,1.00479501,1.880356495E-6
3.0E-4,0.0,1.004794998,1.879532901E-6
3.5E-4,0.0,1.004794986,1.877202368E-6
4.0E-4,0.0,1.004794974,1.87335481E-6
4.5E-4,0.0,1.004794962,1.86798203E-6
5.0E-4,0.0,1.00479495,1.861077797E-6
5.5E-4,0.0,1.004794938,1.8526379E-6
6.0E-4,0.0,1.004794926,1.842660224E-6
6.5E-4,0.0,1.004794914,1.831144799E-6
7.0E-4,0.0,1.004794902,1.818093861E-6
7.5E-4,0.0,1.00479489,1.803511904E-6
8.0E-4,0.0,1.004794878,1.787405726E-6
8.5E-4,0.0,1.004794866,1.769784469E-6
9.0E-4,0.0,1.004794854,1.750659659E-6
9.5E-4,0.0,1.004794842,1.730045234E-6
0.001,0.0,1.00479483,1.707957569E-6
0.00105,0.0,1.004794818,1.684415494E-6
0.0011,0.0,1.004794806,1.659440303E-6
0.00115,0.0,1.004794794,1.633055759E-6
0.0012,0.0,1.004794781,1.60528809E-6
0.00125,0.0,1.004794769,1.576165976E-6
0.0013,0.0,1.004794757,1.545720524E-6
0.00135,0.0,1.004794745,1.51398525E-6
0.0014,0.0,1.004794733,1.480996031E-6
0.00145,0.0,1.004794721,1.446791067E-6
0.0015,0.0,1.004794709,1.411410821E-6
0.00155,0.0,1.004794697,1.374897964E-6
0.0016,0.0,1.004794685,1.337297296E-6
0.00165,0.0,1.004794673,1.298655674E-6
0.0017,0.0,1.004794661,1.259021919E-6
0.00175,0.0,1.004794649,1.218446727E-6
0.0018,0.0,1.004794637,1.176982558E-6
0.00185,0.0,1.004794625,1.134683539E-6
0.0019,0.0,1.004794613,1.091605336E-6
0.00195,0.0,1.004794601,1.047805038E-6
0.002,0.0,1.004794589,1.003341028E-6
0.00205,0.0,1.004794577,9.582728486E-7
0.0021,0.0,1.004794565,9.126610653E-7
0.00215,0.0,1.004794553,8.665671265E-7
0.0022,0.0,1.004794541,8.20053215E-7
0.00225,0.0,1.004794529,7.731821058E-7
0.0023,0.0,1.004794517,7.260170124E-7
0.00235,0.0,1.004794505,6.786214419E-7
0.0024,0.0,1.004794493,6.310590397E-7
0.00245,0.0,1.004794481,5.833934453E-7
0.0025,0.0,1.004794469,5.356881382E-7
0.00255,0.0,1.004794457,4.880062973E-7
0.0026,0.0,1.004794445,4.40410651E-7
0.00265,0.0,1.004794433,3.929633424E-7
0.0027,0.0,1.004794421,3.457257871E-7
0.00275,0.0,1.004794409,2.98758547E-7
0.0028,0.0,1.004794397,2.521211968E-7
0.00285,0.0,1.004794385,2.058722095E-7
0.0029,0.0,1.004794373,1.600688346E-7
0.00295,0.0,1.004794361,1.147669965E-7
0.003,0.0,1.004794349,7.002118532E-8
0.00305,0.0,1.004794337,2.588437012E-8
0.0031,0.0,1.004794325,-1.759209534E-8
0.00315,0.0,1.004794314,-6.03585444E-8
0.0032,0.0,1.004794302,-1.023670763E-7
0.00325,0.0,1.00479429,-1.435716116E-7
0.0033,0.0,1.004794278,-1.839279559E-7
0.00335,0.0,1.004794266,-2.233938384E-7
0.0034,0.0,1.004794254,-2.619289601E-7
0.00345,0.0,1.004794242,-2.994950169E-7
0.0035,0.0,1.00479423,-3.360557319E-7
0.00355,0.0,1.004794218,-3.715768638E-7
0.0036,0.0,1.004794206,-4.060262247E-7
0.00365,0.0,1.004794194,-4.393736738E-7
0.0037,0.0,1.004794182,-4.715911224E-7
0.00375,0.0,1.00479417,-5.026525144E-7
0.0038,0.0,1.004794158,-5.325338192E-7
0.00385,0.0,1.004794146,-5.612130008E-7
0.0039,0.0,1.004794134,-5.886700003E-7
0.00395,0.0,1.004794122,-6.148866949E-7
0.004,0.0,1.00479411,-6.398468708E-7
0.00405,0.0,1.004794098,-6.635361752E-7
0.0041,0.0,1.004794086,-6.859420812E-7
0.00415,0.0,1.004794074,-7.070538327E-7
0.0042,0.0,1.004794062,-7.268624046E-7
0.00425,0.0,1.00479405,-7.453604419E-7
0.0043,0.0,1.004794038,-7.625422161E-7
0.00435,0.0,1.004794026,-7.784035611E-7
0.0044,0.0,1.004794014,-7.929418263E-7
0.00445,0.0,1.004794002,-8.061558109E-7
0.0045,0.0,1.00479399,-8.180457158E-7
0.00455,0.0,1.004793978,-8.286130769E-7
0.0046,0.0,1.004793966,-8.378607171E-7
0.00465,0.0,1.004793954,-8.457926798E-7
0.0047,0.0,1.004793942,-8.524141822E-7
0.00475,0.0,1.00479393,-8.577315498E-7
0.0048,0.0,1.004793918,-8.617521717E-7
0.00485,0.0,1.004793906,-8.644844378E-7
0.0049,0.0,1.004793894,-8.659376958E-7
0.00495,0.0,1.004793882,-8.661221916E-7
0.005,0.0,1.00479387,-8.650490303E-7
0.00505,0.0,1.004793858,-8.627301185E-7
0.0051,0.0,1.004793846,-8.591781298E-7
0.00515,0.0,1.004793835,-8.54406451E-7
0.0052,0.0,1.004793823,-8.484291508E-7
0.00525,0.0,1.004793811,-8.412609305E-7
0.0053,0.0,1.004793799,-8.329170964E-7
0.00535,0.0,1.004793787,-8.234135148E-7
0.0054,0.0,1.004793775,-8.127665886E-7
0.00545,0.0,1.004793763,-8.009932163E-7
0.0055,0.0,1.004793751,-7.881107724E-7
0.00555,0.0,1.004793739,-7.741370711E-7
0.0056,0.0,1.004793727,-7.590903502E-7
0.00565,0.0,1.004793715,-7.429892385E-7
0.0057,0.0,1.004793703,-7.258527445E-7
0.00575,0.0,1.004793691,-7.077002268E-7
0.0058,0.0,1.004793679,-6.885513861E-7
0.00585,0.0,1.004793667,-6.684262401E-7
0.0059,0.0,1.004793655,-6.473451184E-7
0.00595,0.0,1.004793643,-6.253286402E-7
0.006,0.0,1.004793631,-6.023977131E-7
0.00605,0.0,1.004793619,-5.785735136E-7
0.0061,0.0,1.004793607,-5.538774882E-7
0.00615,0.0,1.004793595,-5.283313371E-7
0.0062,0.0,1.004793583,-5.019570179E-7
0.00625,0.0,1.004793571,-4.747767313E-7
0.0063,0.0,1.004793559,-4.468129274E-7
0.00635,0.0,1.004793547,-4.180882935E-7
0.0064,0.0,1.004793535,-3.886257618E-7
0.00645,0.0,1.004793523,-3.584484995E-7
0.0065,0.0,1.004793511,-3.275799183E-7
0.00655,0.0,1.004793499,-2.960436658E-7
0.0066,0.0,1.004793487,-2.63863636E-7
0.00665,0.0,1.004793475,-2.310639624E-7
0.0067,0.0,1.004793463,-1.976690296E-7
0.00675,0.0,1.004793451,-1.637034672E-7
0.0068,0.0,1.004793439,-1.291921621E-7
0.00685,0.0,1.004793427,-9.416025323E-8
0.0069,0.0,1.004793415,-5.86331446E-8
0.00695,0.0,1.004793403,-2.263650039E-8
0.007,0.0,1.004793391,1.380374198E-8
0.00705,0.0,1.004793379,5.066137617E-8
0.0071,0.0,1.004793367,8.790991402E-8
0.00715,0.0,1.004793355,1.255225897E-7
0.0072,0.0,1.004793343,1.63472347E-7
0.00725,0.0,1.004793331,2.017318439E-7
0.0073,0.0,1.00479332,2.402734401E-7
0.00735,0.0,1.004793308,2.790692019E-7
0.0074,0.0,1.004793296,3.180908907E-7
0.00745,0.0,1.004793284,3.573099683E-7
0.0075,0.0,1.004793272,3.966975862E-7
0.00755,0.0,1.00479326,4.362245918E-7
0.0076,0.0,1.004793248,4.758615193E-7
0.00765,0.0,1.004793236,5.155785961E-7
0.0077,0.0,1.004793224,5.553457354E-7
0.00775,0.0,1.004793212,5.951325441E-7
0.0078,0.0,1.0047932,6.349083167E-7
0.00785,0.0,1.004793188,6.746420447E-7
0.0079,0.0,1.004793176,7.143024124E-7
0.00795,0.0,1.004793164,7.538578078E-7
