"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M|TESTSPDOUT","Subsystem #1|Machines|M|TESTTELECT"
0.0,0.0,0.9999965702,1.618779775E-6
5.0E-5,0.0,0.9999965702,1.623085233E-6
1.0E-4,0.0,0.9999965702,1.626230338E-6
1.5E-4,0.0,0.9999965701,1.628202423E-6
2.0E-4,0.0,0.9999965701,1.628990165E-6
2.5E-4,0.0,0.9999965701,1.628583638E-6
3.0E-4,0.0,0.9999965701,1.626974372E-6
3.5E-4,0.0,0.9999965701,1.624155401E-6
4.0E-4,0.0,0.9999965701,1.620121316E-6
4.5E-4,0.0,0.99999657,1.614868312E-6
5.0E-4,0.0,0.99999657,1.608394236E-6
5.5E-4,0.0,0.99999657,1.600698625E-6
6.0E-4,0.0,0.99999657,1.591782753E-6
6.5E-4,0.0,0.99999657,1.581649663E-6
7.0E-4,0.0,0.9999965699,1.570304199E-6
7.5E-4,0.0,0.9999965699,1.55775304E-6
8.0E-4,0.0,0.9999965699,1.544004716E-6
8.5E-4,0.0,0.9999965699,1.529069637E-6
9.0E-4,0.0,0.9999965699,1.512960102E-6
9.5E-4,0.0,0.9999965699,1.49569031E-6
0.001,0.0,0.9999965698,1.477276366E-6
0.00105,0.0,0.9999965698,1.457736276E-6
0.0011,0.0,0.9999965698,1.437089945E-6
0.00115,0.0,0.9999965698,1.415359162E-6
0.0012,0.0,0.9999965698,1.392567578E-6
0.00125,0.0,0.9999965698,1.368740685E-6
0.0013,0.0,0.9999965698,1.343905783E-6
0.00135,0.0,0.9999965697,1.318091942E-6
0.0014,0.0,0.9999965697,1.291329958E-6
0.00145,0.0,0.9999965697,1.263652303E-6
0.0015,0.0,0.9999965697,1.23509307E-6
0.00155,0.0,0.9999965697,1.205687907E-6
0.0016,0.0,0.9999965697,1.175473955E-6
0.00165,0.0,0.9999965697,1.144489769E-6
0.0017,0.0,0.9999965697,1.11277524E-6
0.00175,0.0,0.9999965697,1.080371514E-6
0.0018,0.0,0.9999965696,1.047320901E-6
0.00185,0.0,0.9999965696,1.013666781E-6
0.0019,0.0,0.9999965696,9.794535116E-7
0.00195,0.0,0.9999965696,9.447263222E-7
0.002,0.0,0.9999965696,9.095312143E-7
0.00205,0.0,0.9999965696,8.739148547E-7
0.0021,0.0,0.9999965696,8.379244672E-7
0.00215,0.0,0.9999965696,8.016077238E-7
0.0022,0.0,0.9999965696,7.650126341E-7
0.00225,0.0,0.9999965696,7.281874346E-7
0.0023,0.0,0.9999965696,6.91180478E-7
0.00235,0.0,0.9999965696,6.540401229E-7
0.0024,0.0,0.9999965696,6.168146257E-7
0.00245,0.0,0.9999965696,5.795520321E-7
0.0025,0.0,0.9999965696,5.423000733E-7
0.00255,0.0,0.9999965696,5.051060631E-7
0.0026,0.0,0.9999965696,4.680167982E-7
0.00265,0.0,0.9999965696,4.31078463E-7
0.0027,0.0,0.9999965696,3.943365375E-7
0.00275,0.0,0.9999965696,3.578357096E-7
0.0028,0.0,0.9999965696,3.216197924E-7
0.00285,0.0,0.9999965696,2.857316456E-7
0.0029,0.0,0.9999965696,2.502131028E-7
0.00295,0.0,0.9999965696,2.15104904E-7
0.003,0.0,0.9999965696,1.80446633E-7
0.00305,0.0,0.9999965696,1.462766614E-7
0.0031,0.0,0.9999965696,1.126320969E-7
0.00315,0.0,0.9999965696,7.954873923E-8
0.0032,0.0,0.9999965696,4.706104002E-8
0.00325,0.0,0.9999965696,1.52020696E-8
