"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|udA8"
0.0,1.436099572E-4,-9.839213648E-5
5.0E-5,1.40824447E-4,-9.845821881E-5
1.0E-4,1.379000693E-4,-9.85278442E-5
1.5E-4,1.348397468E-4,-9.860094301E-5
2.0E-4,1.316464694E-4,-9.867744387E-5
2.5E-4,1.283233883E-4,-9.875727128E-5
3.0E-4,1.248738183E-4,-9.884034556E-5
3.5E-4,1.213011319E-4,-9.892658554E-5
4.0E-4,1.17608853E-4,-9.901590614E-5
4.5E-4,1.138006595E-4,-9.910821836E-5
5.0E-4,1.09880276E-4,-9.920343193E-5
5.5E-4,1.058515683E-4,-9.930145298E-5
6.0E-4,1.017185446E-4,-9.940218395E-5
6.5E-4,9.748524874E-5,-9.95055263E-5
7.0E-4,9.315585371E-5,-9.961137816E-5
7.5E-4,8.873466301E-5,-9.97196343E-5
8.0E-4,8.422600346E-5,-9.983018878E-5
8.5E-4,7.963431847E-5,-9.994293265E-5
9.0E-4,7.496416907E-5,-1.000577539E-4
9.5E-4,7.022012646E-5,-1.001745402E-4
0.001,6.540686514E-5,-1.002931764E-4
0.00105,6.052916366E-5,-1.004135447E-4
0.0011,5.559179693E-5,-1.005355274E-4
0.00115,5.059962924E-5,-1.006590042E-4
0.0012,4.555761474E-5,-1.007838526E-4
0.00125,4.047068962E-5,-1.009099503E-4
0.0013,3.534386496E-5,-1.010371733E-4
0.00135,3.018222713E-5,-1.011653952E-4
0.0014,2.499082973E-5,-1.012944904E-4
0.00145,1.977478639E-5,-1.014243319E-4
0.0015,1.453926972E-5,-1.015547909E-4
0.00155,9.289384005E-6,-1.016857402E-4
0.0016,4.030303307E-6,-1.018170507E-4
0.00165,-1.232714516E-6,-1.019485912E-4
0.0017,-6.494505409E-6,-1.020802326E-4
0.00175,-1.174991133E-5,-1.022118458E-4
0.0018,-1.699374903E-5,-1.02343301E-4
0.00185,-2.222082253E-5,-1.024744681E-4
0.0019,-2.742601995E-5,-1.026052186E-4
0.00195,-3.260421394E-5,-1.027354238E-4
0.002,-3.775026751E-5,-1.028649546E-4
0.00205,-4.285914225E-5,-1.029936841E-4
0.0021,-4.792580507E-5,-1.031214855E-4
0.00215,-5.294522799E-5,-1.032482319E-4
0.0022,-5.791249648E-5,-1.033737993E-4
0.00225,-6.282271616E-5,-1.03498064E-4
0.0023,-6.767101239E-5,-1.036209026E-4
0.00235,-7.245263843E-5,-1.037421948E-4
0.0024,-7.716288197E-5,-1.038618211E-4
0.00245,-8.179706448E-5,-1.039796627E-4
0.0025,-8.635064932E-5,-1.040956041E-4
0.00255,-9.081914789E-5,-1.042095312E-4
0.0026,-9.519811887E-5,-1.043213307E-4
0.00265,-9.94832761E-5,-1.044308932E-4
0.0027,-1.036703945E-4,-1.045381105E-4
0.00275,-1.077553088E-4,-1.046428762E-4
0.0028,-1.117340218E-4,-1.047450877E-4
0.00285,-1.156026091E-4,-1.048446441E-4
0.0029,-1.193572184E-4,-1.049414463E-4
0.00295,-1.229941769E-4,-1.050353996E-4
0.003,-1.26509896E-4,-1.051264114E-4
0.00305,-1.299008701E-4,-1.052143909E-4
0.0031,-1.331637836E-4,-1.052992521E-4
0.00315,-1.362954156E-4,-1.053809111E-4
0.0032,-1.392926382E-4,-1.054592865E-4
0.00325,-1.421525229E-4,-1.055343017E-4
0.0033,-1.448722451E-4,-1.056058826E-4
0.00335,-1.47449082E-4,-1.056739575E-4
0.0034,-1.498805186E-4,-1.0573846E-4
0.00345,-1.521641519E-4,-1.057993264E-4
0.0035,-1.542976883E-4,-1.058564956E-4
0.00355,-1.562790491E-4,-1.059099118E-4
0.0036,-1.581062743E-4,-1.059595223E-4
0.00365,-1.597775197E-4,-1.06005277E-4
0.0037,-1.61291162E-4,-1.060471314E-4
0.00375,-1.626457022E-4,-1.060850441E-4
0.0038,-1.638397672E-4,-1.061189768E-4
0.00385,-1.648722097E-4,-1.061488968E-4
0.0039,-1.65742E-4,-1.061747742E-4
0.00395,-1.664482228E-4,-1.061965821E-4
0.004,-1.669901976E-4,-1.062142995E-4
0.00405,-1.673673939E-4,-1.062279089E-4
0.0041,-1.67579395E-4,-1.062373957E-4
0.00415,-1.676260179E-4,-1.062427514E-4
0.0042,-1.675072133E-4,-1.062439704E-4
0.00425,-1.672230579E-4,-1.062410507E-4
0.0043,-1.667738572E-4,-1.062339956E-4
0.00435,-1.661600483E-4,-1.062228121E-4
0.0044,-1.653821948E-4,-1.0620751E-4
0.00445,-1.644410897E-4,-1.061881052E-4
0.0045,-1.633376559E-4,-1.061646166E-4
0.00455,-1.620729407E-4,-1.061370663E-4
0.0046,-1.606482181E-4,-1.061054823E-4
0.00465,-1.59064889E-4,-1.060698954E-4
0.0047,-1.573244752E-4,-1.0603034E-4
0.00475,-1.554287209E-4,-1.059868555E-4
0.0048,-1.533794932E-4,-1.059394849E-4
0.00485,-1.511787746E-4,-1.058882739E-4
0.0049,-1.488287647E-4,-1.058332738E-4
0.00495,-1.4633178E-4,-1.057745387E-4
0.005,-1.436902462E-4,-1.057121256E-4
0.00505,-1.409067994E-4,-1.056460969E-4
0.0051,-1.379841851E-4,-1.055765177E-4
0.00515,-1.349252504E-4,-1.055034557E-4
0.0052,-1.317330449E-4,-1.054269838E-4
0.00525,-1.284107189E-4,-1.053471774E-4
