,0,1
0,1.0,1.0
1,0.995,0.986
2,0.994,0.986
3,0.993,0.985
4,0.993,0.985
5,0.994,0.985
6,0.992,0.985
7,0.989,0.985
8,0.989,0.985
9,0.987,0.985
10,0.991,0.985
11,0.99,0.985
12,0.988,0.985
13,0.988,0.985
14,0.991,0.985
15,0.986,0.984
16,0.992,0.985
17,0.992,0.985
18,0.994,0.985
19,0.993,0.985
20,0.989,0.984
21,0.987,0.984
22,0.984,0.984
23,0.987,0.984
24,0.973,0.983
25,0.981,0.983
26,0.966,0.982
27,0.976,0.983
28,0.965,0.982
29,0.977,0.983
30,0.98,0.983
31,0.982,0.983
32,0.978,0.982
33,0.991,0.983
34,0.99,0.983
35,0.993,0.983
36,0.992,0.982
37,1.0,0.984
38,1.0,0.983
39,1.01,0.984
40,1.01,0.983
41,1.01,0.982
42,1.02,0.984
43,1.02,0.983
44,1.02,0.984
45,1.02,0.984
46,1.02,0.982
47,1.02,0.983
48,1.03,0.983
49,1.02,0.98
50,1.03,0.984
51,1.02,0.981
52,1.01,0.977
53,0.991,0.97
54,1.0,0.975
55,0.976,0.969
56,0.975,0.972
57,0.956,0.97
58,0.937,0.968
59,0.944,0.974
60,0.919,0.969
61,0.909,0.968
62,0.912,0.973
63,0.896,0.973
64,0.886,0.975
65,0.895,0.983
66,0.875,0.984
67,0.853,0.985
68,0.866,0.996
69,0.846,0.999
70,0.827,1.0
71,0.841,1.02
72,0.816,1.02
73,0.797,1.02
74,0.812,1.04
75,0.791,1.04
76,0.772,1.05
77,0.789,1.07
78,0.766,1.08
79,0.742,1.08
80,0.759,1.1
81,0.741,1.11
82,0.761,1.13
83,0.74,1.15
84,0.722,1.16
85,0.743,1.18
86,0.721,1.2
87,0.703,1.21
88,0.722,1.24
89,0.7,1.25
90,0.723,1.28
91,0.708,1.3
92,0.687,1.32
93,0.71,1.34
94,0.689,1.36
95,0.677,1.39
96,0.69,1.41
97,0.668,1.43
98,0.692,1.46
99,0.671,1.49
100,0.678,1.52
101,0.673,1.54
102,0.654,1.56
103,0.678,1.6
104,0.652,1.62
105,0.677,1.65
106,0.658,1.67
107,0.633,1.7
108,0.657,1.73
109,0.635,1.75
110,0.661,1.79
111,0.64,1.81
112,0.635,1.84
113,0.639,1.87
114,0.616,1.89
115,0.639,1.92
116,0.611,1.95
117,0.637,1.98
118,0.609,2.0
119,0.635,2.04
120,0.606,2.06
121,0.632,2.09
122,0.605,2.12
123,0.63,2.15
124,0.601,2.17
125,0.626,2.21
126,0.602,2.23
127,0.627,2.26
128,0.594,2.29
129,0.619,2.32
130,0.588,2.34
131,0.613,2.37
132,0.584,2.4
133,0.609,2.43
134,0.575,2.45
135,0.599,2.49
136,0.573,2.51
137,0.598,2.54
138,0.567,2.57
139,0.592,2.6
140,0.566,2.63
141,0.591,2.66
142,0.558,2.69
143,0.583,2.72
144,0.554,2.74
145,0.578,2.78
146,0.547,2.81
147,0.572,2.85
148,0.543,2.87
149,0.567,2.9
150,0.539,2.94
151,0.564,2.98
152,0.565,3.0
153,0.534,3.02
154,0.559,3.06
155,0.528,3.08
156,0.552,3.11
157,0.522,3.14
158,0.546,3.17
159,0.522,3.2
160,0.544,3.23
161,0.515,3.25
162,0.537,3.29
163,0.559,3.32
164,0.538,3.36
165,0.547,3.38
166,0.517,3.4
167,0.541,3.43
168,0.538,3.45
169,0.541,3.48
170,0.563,3.51
171,0.547,3.54
172,0.552,3.55
173,0.538,3.57
174,0.562,3.6
175,0.537,3.62
176,0.561,3.65
177,0.545,3.67
178,0.569,3.7
179,0.547,3.73
180,0.559,3.75
181,0.558,3.77
182,0.561,3.79
183,0.542,3.81
184,0.565,3.84
185,0.545,3.86
186,0.565,3.89
187,0.574,3.91
188,0.578,3.94
189,0.568,3.97
190,0.578,3.98
191,0.578,4.01
192,0.58,4.03
193,0.583,4.05
194,0.582,4.08
195,0.596,4.1
196,0.598,4.12
197,0.592,4.15
198,0.591,4.16
199,0.607,4.19
200,0.602,4.22
201,0.614,4.24
202,0.616,4.26
203,0.608,4.28
204,0.611,4.3
205,0.605,4.32
206,0.626,4.34
207,0.625,4.37
208,0.631,4.39
209,0.63,4.41
210,0.623,4.43
211,0.631,4.45
212,0.63,4.47
213,0.625,4.49
214,0.629,4.51
215,0.63,4.53
216,0.644,4.55
217,0.636,4.56
218,0.636,4.58
219,0.643,4.6
220,0.646,4.62
221,0.653,4.64
222,0.658,4.67
223,0.655,4.68
224,0.65,4.7
225,0.66,4.72
226,0.654,4.74
227,0.655,4.75
228,0.655,4.77
229,0.665,4.79
230,0.654,4.81
231,0.661,4.83
232,0.666,4.85
233,0.671,4.87
234,0.672,4.88
235,0.672,4.9
236,0.673,4.92
237,0.663,4.93
238,0.674,4.95
239,0.674,4.97
240,0.677,4.99
241,0.669,5.0
242,0.675,5.02
243,0.68,5.04
244,0.677,5.05
245,0.684,5.07
246,0.684,5.08
247,0.684,5.1
248,0.688,5.11
249,0.689,5.13
250,0.685,5.14
251,0.689,5.16
252,0.687,5.17
253,0.692,5.19
254,0.695,5.2
255,0.696,5.22
256,0.697,5.23
257,0.7,5.25
258,0.702,5.26
259,0.702,5.28
260,0.703,5.29
261,0.704,5.31
262,0.705,5.32
263,0.707,5.33
264,0.709,5.35
265,0.71,5.36
266,0.71,5.37
267,0.709,5.39
268,0.71,5.4
269,0.714,5.41
270,0.713,5.43
271,0.714,5.44
272,0.716,5.45
273,0.717,5.47
274,0.719,5.48
275,0.722,5.49
276,0.722,5.5
277,0.722,5.52
278,0.721,5.53
279,0.723,5.54
280,0.724,5.55
281,0.727,5.56
282,0.724,5.57
283,0.728,5.59
284,0.725,5.6
285,0.731,5.61
286,0.731,5.62
287,0.733,5.63
288,0.736,5.64
289,0.736,5.65
290,0.737,5.67
291,0.738,5.68
292,0.739,5.69
293,0.739,5.7
294,0.74,5.71
295,0.743,5.72
296,0.743,5.73
297,0.742,5.74
298,0.744,5.75
299,0.745,5.76
300,0.748,5.77
301,0.748,5.78
302,0.75,5.79
303,0.75,5.8
304,0.75,5.81
305,0.751,5.82
306,0.754,5.83
307,0.755,5.84
308,0.75,5.84
309,0.756,5.85
310,0.757,5.86
311,0.758,5.87
312,0.762,5.88
313,0.752,5.89
314,0.761,5.9
315,0.763,5.91
316,0.762,5.91
317,0.764,5.92
318,0.766,5.93
319,0.762,5.94
320,0.767,5.95
321,0.768,5.95
322,0.77,5.96
323,0.771,5.97
324,0.772,5.98
325,0.77,5.98
326,0.773,5.99
327,0.776,6.0
328,0.775,6.01
329,0.774,6.01
330,0.775,6.02
331,0.779,6.03
332,0.781,6.03
333,0.779,6.04
334,0.781,6.05
335,0.784,6.05
336,0.785,6.06
337,0.785,6.07
338,0.786,6.07
339,0.791,6.08
340,0.79,6.09
341,0.794,6.09
342,0.792,6.1
343,0.792,6.1
344,0.793,6.11
345,0.794,6.11
346,0.796,6.12
347,0.797,6.12
348,0.801,6.13
349,0.8,6.13
350,0.803,6.14
351,0.806,6.14
352,0.806,6.15
353,0.806,6.15
354,0.809,6.16
355,0.81,6.16
356,0.803,6.16
357,0.809,6.17
358,0.813,6.17
359,0.813,6.18
360,0.815,6.18
361,0.815,6.19
362,0.819,6.19
363,0.819,6.19
364,0.821,6.2
365,0.821,6.2
366,0.824,6.2
367,0.825,6.21
368,0.826,6.21
369,0.826,6.21
370,0.818,6.21
371,0.823,6.22
372,0.827,6.22
373,0.83,6.22
374,0.832,6.23
375,0.833,6.23
376,0.836,6.23
377,0.837,6.24
378,0.837,6.24
379,0.835,6.24
380,0.841,6.24
381,0.84,6.25
382,0.841,6.25
383,0.844,6.25
384,0.847,6.25
385,0.848,6.25
386,0.848,6.26
387,0.85,6.26
388,0.851,6.26
389,0.855,6.26
390,0.856,6.26
391,0.858,6.26
392,0.85,6.26
393,0.857,6.27
394,0.857,6.27
395,0.86,6.27
396,0.864,6.27
397,0.865,6.27
398,0.868,6.27
399,0.867,6.27
400,0.868,6.27
401,0.871,6.27
402,0.87,6.27
403,0.871,6.27
404,0.874,6.28
405,0.874,6.28
406,0.878,6.28
407,0.878,6.28
408,0.794,6.26
409,0.798,6.27
410,0.811,6.27
411,0.824,6.28
412,0.837,6.29
413,0.843,6.29
414,0.849,6.29
415,0.855,6.29
416,0.859,6.29
417,0.866,6.29
418,0.868,6.3
419,0.87,6.3
420,0.876,6.3
421,0.878,6.3
422,0.88,6.3
423,0.883,6.3
424,0.885,6.3
425,0.886,6.3
426,0.888,6.3
427,0.891,6.3
428,0.89,6.3
429,0.894,6.3
430,0.895,6.3
431,0.899,6.3
432,0.887,6.29
433,0.892,6.29
434,0.895,6.29
435,0.897,6.29
436,0.901,6.29
437,0.901,6.29
438,0.903,6.29
439,0.905,6.29
440,0.909,6.29
441,0.911,6.29
442,0.911,6.29
443,0.914,6.28
444,0.914,6.28
445,0.915,6.28
446,0.918,6.28
447,0.919,6.28
448,0.921,6.28
449,0.877,6.27
450,0.867,6.27
451,0.877,6.27
452,0.89,6.27
453,0.897,6.27
454,0.9,6.27
455,0.908,6.27
456,0.911,6.27
457,0.914,6.27
458,0.918,6.27
459,0.919,6.27
460,0.921,6.26
461,0.922,6.26
462,0.925,6.26
463,0.927,6.26
464,0.928,6.26
465,0.929,6.26
466,0.932,6.25
467,0.932,6.25
468,0.935,6.25
469,0.937,6.25
470,0.939,6.25
471,0.941,6.24
472,0.935,6.24
473,0.942,6.24
474,0.943,6.23
475,0.945,6.23
476,0.947,6.23
477,0.948,6.23
478,0.947,6.22
479,0.95,6.22
480,0.952,6.22
481,0.953,6.22
482,0.954,6.21
483,0.953,6.21
484,0.954,6.21
485,0.955,6.2
486,0.955,6.2
487,0.909,6.19
488,0.924,6.19
489,0.939,6.19
490,0.943,6.19
491,0.948,6.19
492,0.947,6.19
493,0.954,6.18
494,0.956,6.18
495,0.96,6.18
496,0.961,6.18
497,0.96,6.17
498,0.962,6.17
499,0.964,6.17
500,0.966,6.16
501,0.966,6.16
502,0.969,6.16
503,0.97,6.15
504,0.971,6.15
505,0.963,6.14
506,0.97,6.14
507,0.972,6.14
508,0.974,6.14
509,0.975,6.13
510,0.977,6.13
511,0.977,6.12
512,0.979,6.12
513,0.981,6.12
514,0.982,6.11
515,0.977,6.11
516,0.974,6.1
517,0.982,6.1
518,0.983,6.1
519,0.986,6.1
520,0.985,6.09
521,0.988,6.09
522,0.986,6.08
523,0.99,6.08
524,0.989,6.08
525,0.99,6.07
526,0.991,6.07
527,0.973,6.06
528,0.984,6.06
529,0.991,6.06
530,0.992,6.05
531,0.993,6.05
532,0.995,6.04
533,0.995,6.04
534,0.997,6.04
535,0.999,6.03
536,0.935,6.02
537,0.94,6.02
538,0.957,6.02
539,0.974,6.02
540,0.977,6.02
541,0.984,6.01
542,0.986,6.01
543,0.991,6.01
544,0.993,6.0
545,0.997,6.0
546,0.997,5.99
547,0.995,5.99
548,1.0,5.99
549,1.0,5.98
550,1.0,5.98
551,1.01,5.97
552,1.01,5.97
553,1.01,5.96
554,1.01,5.96
555,1.01,5.96
556,1.01,5.95
557,1.01,5.95
558,1.01,5.94
559,1.01,5.94
560,1.01,5.93
561,1.02,5.93
562,1.02,5.92
563,1.02,5.92
564,1.02,5.91
565,1.02,5.91
566,1.02,5.9
567,1.02,5.9
568,1.02,5.9
569,1.02,5.89
570,1.02,5.89
571,1.02,5.88
572,1.02,5.88
573,1.02,5.87
574,1.03,5.87
575,1.03,5.86
576,1.03,5.86
577,1.03,5.85
578,0.922,5.83
579,0.937,5.83
580,0.951,5.83
581,0.965,5.83
582,0.97,5.83
583,0.976,5.83
584,0.983,5.83
585,0.995,5.83
586,0.999,5.82
587,0.997,5.82
588,1.01,5.82
589,1.01,5.81
590,1.01,5.81
591,1.01,5.8
592,1.01,5.8
593,1.02,5.79
594,1.02,5.79
595,1.02,5.79
596,1.03,5.78
597,1.03,5.78
598,1.03,5.77
599,1.03,5.77
600,1.03,5.76
601,1.03,5.76
602,1.04,5.75
603,1.03,5.75
604,1.04,5.74
605,1.04,5.74
606,1.04,5.73
607,1.04,5.73
608,1.04,5.72
609,1.04,5.72
610,1.04,5.71
611,1.04,5.71
612,1.05,5.7
613,1.05,5.7
614,1.05,5.69
615,1.05,5.69
616,1.05,5.68
617,1.05,5.68
618,1.05,5.67
619,1.05,5.67
620,1.05,5.66
621,1.05,5.66
622,1.05,5.65
623,1.05,5.65
624,1.06,5.64
625,1.06,5.64
626,1.06,5.63
627,1.06,5.63
628,1.06,5.62
629,1.06,5.62
630,1.06,5.61
631,1.06,5.6
632,1.06,5.6
633,1.06,5.59
634,1.06,5.59
635,1.06,5.58
636,1.07,5.58
637,1.01,5.57
638,1.03,5.57
639,1.03,5.56
640,1.04,5.56
641,1.04,5.56
642,1.05,5.56
643,1.05,5.55
644,1.05,5.55
645,1.06,5.54
646,1.06,5.54
647,1.06,5.53
648,1.06,5.53
649,1.06,5.52
650,1.07,5.52
651,1.07,5.51
652,1.07,5.5
653,1.07,5.5
654,1.07,5.49
655,1.07,5.49
656,1.07,5.48
657,1.07,5.48
658,1.07,5.47
659,1.08,5.47
660,1.08,5.46
661,1.08,5.45
662,1.08,5.45
663,1.08,5.44
664,1.08,5.44
665,1.08,5.43
666,1.08,5.43
667,1.08,5.42
668,1.08,5.42
669,1.08,5.41
670,1.08,5.4
671,1.08,5.4
672,1.09,5.39
673,1.09,5.39
674,1.09,5.38
675,1.09,5.38
676,1.09,5.37
677,1.09,5.36
678,1.09,5.36
679,1.09,5.35
680,1.09,5.35
681,1.09,5.34
682,1.09,5.34
683,1.09,5.33
684,1.09,5.32
685,1.1,5.32
686,1.1,5.31
687,1.04,5.29
688,1.04,5.28
689,1.06,5.28
690,1.06,5.28
691,1.07,5.28
692,1.07,5.28
693,1.08,5.28
694,1.08,5.27
695,1.08,5.27
696,1.09,5.27
697,1.09,5.26
698,1.09,5.26
699,1.09,5.25
700,1.1,5.24
701,1.1,5.24
702,1.1,5.23
703,1.1,5.23
704,1.1,5.22
705,1.1,5.22
706,1.1,5.21
707,1.1,5.21
708,1.11,5.2
709,1.11,5.19
710,1.11,5.19
711,1.11,5.18
712,1.11,5.18
713,1.11,5.17
714,1.11,5.17
715,1.11,5.16
716,1.11,5.15
717,1.11,5.15
718,1.11,5.14
719,1.12,5.14
720,1.12,5.13
721,1.12,5.12
722,1.12,5.12
723,1.12,5.11
724,1.12,5.11
725,1.12,5.1
726,1.12,5.09
727,1.12,5.09
728,1.12,5.08
729,1.12,5.07
730,1.12,5.07
731,1.12,5.06
732,1.12,5.06
733,1.12,5.05
734,1.12,5.04
735,1.13,5.04
736,1.13,5.03
737,1.13,5.03
738,1.13,5.02
739,1.12,5.01
740,1.13,5.01
741,1.13,5.0
742,1.13,5.0
743,1.13,4.99
744,1.13,4.98
745,1.13,4.98
746,1.13,4.97
747,1.13,4.96
748,1.13,4.96
749,1.13,4.95
750,1.13,4.95
751,1.13,4.94
752,1.13,4.93
753,1.14,4.93
754,1.14,4.92
755,1.14,4.92
756,1.14,4.91
757,1.14,4.9
758,1.14,4.9
759,1.14,4.89
760,1.14,4.89
761,1.14,4.88
762,1.07,4.85
763,1.08,4.85
764,1.09,4.85
765,1.11,4.85
766,1.12,4.85
767,1.12,4.84
768,1.13,4.84
769,1.13,4.84
770,1.13,4.83
771,1.14,4.83
772,1.14,4.82
773,1.14,4.81
774,1.14,4.81
775,1.14,4.8
776,1.14,4.8
777,1.14,4.79
778,1.15,4.78
779,1.15,4.78
780,1.15,4.77
781,1.15,4.76
782,1.15,4.76
783,1.15,4.75
784,1.15,4.75
785,1.15,4.74
786,1.15,4.73
787,1.15,4.73
788,1.15,4.72
789,1.15,4.72
790,1.15,4.71
791,1.16,4.7
792,1.16,4.7
793,1.16,4.69
794,1.16,4.69
795,1.16,4.68
796,1.16,4.67
797,1.16,4.67
798,1.16,4.66
799,1.16,4.66
800,1.16,4.65
801,1.16,4.64
802,1.16,4.64
803,1.16,4.63
804,1.16,4.62
805,1.16,4.61
806,1.07,4.58
807,1.08,4.58
808,1.09,4.58
809,1.1,4.58
810,1.11,4.58
811,1.12,4.58
812,1.13,4.58
813,1.13,4.58
814,1.14,4.58
815,1.14,4.57
816,1.14,4.57
817,1.15,4.56
818,1.15,4.56
819,1.15,4.55
820,1.16,4.55
821,1.16,4.54
822,1.16,4.54
823,1.16,4.53
824,1.16,4.53
825,1.16,4.52
826,1.16,4.51
827,1.17,4.51
828,1.17,4.5
829,1.17,4.5
830,1.17,4.49
831,1.17,4.49
832,1.17,4.48
833,1.17,4.47
834,1.17,4.47
835,1.17,4.46
836,1.17,4.46
837,1.17,4.45
838,1.17,4.45
839,1.17,4.44
840,1.17,4.44
841,1.18,4.43
842,1.18,4.42
843,1.18,4.42
844,1.18,4.41
845,1.18,4.41
846,1.18,4.4
847,1.18,4.4
848,1.18,4.39
849,1.18,4.39
850,1.18,4.38
851,1.18,4.37
852,1.18,4.37
853,1.18,4.36
854,1.18,4.36
855,1.18,4.35
856,1.19,4.35
857,1.19,4.34
858,1.19,4.33
859,1.19,4.33
860,1.19,4.32
861,1.19,4.32
862,1.19,4.31
863,1.14,4.29
864,1.15,4.29
865,1.15,4.29
866,1.16,4.29
867,1.16,4.29
868,1.17,4.28
869,1.17,4.28
870,1.17,4.28
