"Time","Subsystem #1|CTLs|Vars|PGEN","Subsystem #1|Machines|M1|LOADANG1","Subsystem #1|Machines|M1|PMACH","Subsystem #1|Machines|M1|W"
0.0,8.019431853E-10,0.00571947633,8.191571555E-10,313.9931671
5.0E-5,8.019539531E-10,0.005719476332,8.191679864E-10,313.9931673
1.0E-4,8.019647209E-10,0.005719476335,8.19178817E-10,313.9931674
1.5E-4,8.019754887E-10,0.005719476337,8.191896474E-10,313.9931675
2.0E-4,8.019862565E-10,0.00571947634,8.192004776E-10,313.9931676
2.5E-4,8.019970242E-10,0.005719476343,8.192113075E-10,313.9931677
3.0E-4,8.020077919E-10,0.005719476345,8.192221371E-10,313.9931678
3.5E-4,8.020185596E-10,0.005719476348,8.192329664E-10,313.993168
4.0E-4,8.020293273E-10,0.00571947635,8.192437955E-10,313.9931681
4.5E-4,8.02040095E-10,0.005719476353,8.192546243E-10,313.9931682
5.0E-4,8.020508626E-10,0.005719476355,8.192654528E-10,313.9931683
5.5E-4,8.020616302E-10,0.005719476358,8.192762811E-10,313.9931684
6.0E-4,8.020723977E-10,0.005719476361,8.19287109E-10,313.9931685
6.5E-4,8.020831653E-10,0.005719476363,8.192979366E-10,313.9931687
7.0E-4,8.020939328E-10,0.005719476366,8.193087639E-10,313.9931688
7.5E-4,8.021047003E-10,0.005719476368,8.193195909E-10,313.9931689
8.0E-4,8.021154677E-10,0.005719476371,8.193304177E-10,313.993169
8.5E-4,8.021262351E-10,0.005719476373,8.193412441E-10,313.9931691
9.0E-4,8.021370025E-10,0.005719476376,8.193520702E-10,313.9931692
9.5E-4,8.021477699E-10,0.005719476379,8.19362896E-10,313.9931693
0.001,8.021585372E-10,0.005719476381,8.193737215E-10,313.9931695
0.00105,8.021693045E-10,0.005719476384,8.193845466E-10,313.9931696
0.0011,8.021800718E-10,0.005719476386,8.193953715E-10,313.9931697
0.00115,8.02190839E-10,0.005719476389,8.194061961E-10,313.9931698
0.0012,8.022016062E-10,0.005719476391,8.194170203E-10,313.9931699
0.00125,8.022123733E-10,0.005719476394,8.194278442E-10,313.99317
0.0013,8.022231404E-10,0.005719476396,8.194386679E-10,313.9931702
0.00135,8.022339075E-10,0.005719476399,8.194494912E-10,313.9931703
0.0014,8.022446746E-10,0.005719476402,8.194603142E-10,313.9931704
0.00145,8.022554416E-10,0.005719476404,8.194711369E-10,313.9931705
0.0015,8.022662086E-10,0.005719476407,8.194819593E-10,313.9931706
0.00155,8.022769756E-10,0.005719476409,8.194927814E-10,313.9931707
0.0016,8.022877425E-10,0.005719476412,8.195036032E-10,313.9931709
0.00165,8.022985094E-10,0.005719476415,8.195144247E-10,313.993171
0.0017,8.023092763E-10,0.005719476417,8.195252459E-10,313.9931711
0.00175,8.023200431E-10,0.00571947642,8.195360669E-10,313.9931712
0.0018,8.023308099E-10,0.005719476422,8.195468876E-10,313.9931713
0.00185,8.023415767E-10,0.005719476425,8.195577079E-10,313.9931714
0.0019,8.023523434E-10,0.005719476427,8.195685281E-10,313.9931715
0.00195,8.023631101E-10,0.00571947643,8.195793479E-10,313.9931717
0.002,8.023738768E-10,0.005719476432,8.195901675E-10,313.9931718
0.00205,8.023846435E-10,0.005719476435,8.196009869E-10,313.9931719
0.0021,8.023954101E-10,0.005719476438,8.19611806E-10,313.993172
0.00215,8.024061768E-10,0.00571947644,8.196226248E-10,313.9931721
0.0022,8.024169434E-10,0.005719476443,8.196334435E-10,313.9931722
0.00225,8.024277099E-10,0.005719476445,8.196442619E-10,313.9931724
0.0023,8.024384765E-10,0.005719476448,8.1965508E-10,313.9931725
0.00235,8.02449243E-10,0.00571947645,8.19665898E-10,313.9931726
0.0024,8.024600096E-10,0.005719476453,8.196767157E-10,313.9931727
0.00245,8.024707761E-10,0.005719476455,8.196875333E-10,313.9931728
0.0025,8.024815426E-10,0.005719476458,8.196983507E-10,313.9931729
0.00255,8.02492309E-10,0.005719476461,8.197091678E-10,313.993173
0.0026,8.025030755E-10,0.005719476463,8.197199849E-10,313.9931732
0.00265,8.02513842E-10,0.005719476466,8.197308017E-10,313.9931733
0.0027,8.025246084E-10,0.005719476468,8.197416184E-10,313.9931734
0.00275,8.025353749E-10,0.005719476471,8.197524349E-10,313.9931735
0.0028,8.025461413E-10,0.005719476474,8.197632514E-10,313.9931736
0.00285,8.025569078E-10,0.005719476476,8.197740676E-10,313.9931737
0.0029,8.025676742E-10,0.005719476479,8.197848838E-10,313.9931739
0.00295,8.025784406E-10,0.005719476481,8.197956999E-10,313.993174
0.003,8.025892071E-10,0.005719476484,8.198065158E-10,313.9931741
0.00305,8.025999735E-10,0.005719476486,8.198173317E-10,313.9931742
0.0031,8.0261074E-10,0.005719476489,8.198281475E-10,313.9931743
0.00315,8.026215065E-10,0.005719476492,8.198389632E-10,313.9931744
0.0032,8.026322729E-10,0.005719476494,8.198497789E-10,313.9931746
0.00325,8.026430394E-10,0.005719476497,8.198605945E-10,313.9931747
0.0033,8.02653806E-10,0.005719476499,8.198714101E-10,313.9931748
0.00335,8.026645725E-10,0.005719476502,8.198822257E-10,313.9931749
0.0034,8.02675339E-10,0.005719476504,8.198930413E-10,313.993175
0.00345,8.026861056E-10,0.005719476507,8.199038568E-10,313.9931751
0.0035,8.026968722E-10,0.005719476509,8.199146724E-10,313.9931752
0.00355,8.027076388E-10,0.005719476512,8.19925488E-10,313.9931754
0.0036,8.027184055E-10,0.005719476515,8.199363036E-10,313.9931755
0.00365,8.027291721E-10,0.005719476517,8.199471192E-10,313.9931756
0.0037,8.027399388E-10,0.00571947652,8.19957935E-10,313.9931757
0.00375,8.027507056E-10,0.005719476522,8.199687507E-10,313.9931758
0.0038,8.027614724E-10,0.005719476525,8.199795666E-10,313.9931759
0.00385,8.027722392E-10,0.005719476527,8.199903825E-10,313.9931761
0.0039,8.027830061E-10,0.00571947653,8.200011986E-10,313.9931762
0.00395,8.02793773E-10,0.005719476533,8.200120147E-10,313.9931763
0.004,8.028045399E-10,0.005719476535,8.200228309E-10,313.9931764
0.00405,8.028153069E-10,0.005719476538,8.200336473E-10,313.9931765
0.0041,8.02826074E-10,0.00571947654,8.200444638E-10,313.9931766
0.00415,8.028368411E-10,0.005719476543,8.200552805E-10,313.9931768
0.0042,8.028476082E-10,0.005719476545,8.200660973E-10,313.9931769
0.00425,8.028583754E-10,0.005719476548,8.200769143E-10,313.993177
0.0043,8.028691427E-10,0.005719476551,8.200877315E-10,313.9931771
0.00435,8.0287991E-10,0.005719476553,8.200985488E-10,313.9931772
0.0044,8.028906774E-10,0.005719476556,8.201093664E-10,313.9931773
0.00445,8.029014449E-10,0.005719476558,8.201201841E-10,313.9931774
0.0045,8.029122124E-10,0.005719476561,8.201310021E-10,313.9931776
0.00455,8.0292298E-10,0.005719476563,8.201418203E-10,313.9931777
0.0046,8.029337477E-10,0.005719476566,8.201526388E-10,313.9931778
0.00465,8.029445154E-10,0.005719476568,8.201634574E-10,313.9931779
0.0047,8.029552832E-10,0.005719476571,8.201742764E-10,313.993178
0.00475,8.029660511E-10,0.005719476574,8.201850956E-10,313.9931781
0.0048,8.029768191E-10,0.005719476576,8.20195915E-10,313.9931783
0.00485,8.029875871E-10,0.005719476579,8.202067348E-10,313.9931784
0.0049,8.029983553E-10,0.005719476581,8.202175548E-10,313.9931785
0.00495,8.030091235E-10,0.005719476584,8.202283751E-10,313.9931786
0.005,8.030198918E-10,0.005719476586,8.202391957E-10,313.9931787
0.00505,8.030306601E-10,0.005719476589,8.202500167E-10,313.9931788
0.0051,8.030414286E-10,0.005719476592,8.202608379E-10,313.9931789
0.00515,8.030521972E-10,0.005719476594,8.202716594E-10,313.9931791
0.0052,8.030629658E-10,0.005719476597,8.202824813E-10,313.9931792
0.00525,8.030737345E-10,0.005719476599,8.202933035E-10,313.9931793
0.0053,8.030845034E-10,0.005719476602,8.20304126E-10,313.9931794
0.00535,8.030952723E-10,0.005719476604,8.203149489E-10,313.9931795
0.0054,8.031060413E-10,0.005719476607,8.203257721E-10,313.9931796
0.00545,8.031168104E-10,0.005719476609,8.203365957E-10,313.9931798
0.0055,8.031275796E-10,0.005719476612,8.203474196E-10,313.9931799
0.00555,8.031383489E-10,0.005719476615,8.203582439E-10,313.99318
0.0056,8.031491184E-10,0.005719476617,8.203690686E-10,313.9931801
0.00565,8.031598879E-10,0.00571947662,8.203798936E-10,313.9931802
0.0057,8.031706575E-10,0.005719476622,8.20390719E-10,313.9931803
0.00575,8.031814272E-10,0.005719476625,8.204015447E-10,313.9931804
0.0058,8.03192197E-10,0.005719476627,8.204123709E-10,313.9931806
0.00585,8.032029669E-10,0.00571947663,8.204231974E-10,313.9931807
0.0059,8.032137369E-10,0.005719476632,8.204340243E-10,313.9931808
0.00595,8.03224507E-10,0.005719476635,8.204448516E-10,313.9931809
0.006,8.032352773E-10,0.005719476638,8.204556792E-10,313.993181
0.00605,8.032460476E-10,0.00571947664,8.204665072E-10,313.9931811
0.0061,8.03256818E-10,0.005719476643,8.204773356E-10,313.9931813
0.00615,8.032675886E-10,0.005719476645,8.204881644E-10,313.9931814
0.0062,8.032783592E-10,0.005719476648,8.204989936E-10,313.9931815
0.00625,8.0328913E-10,0.00571947665,8.205098232E-10,313.9931816
0.0063,8.032999008E-10,0.005719476653,8.205206531E-10,313.9931817
0.00635,8.033106718E-10,0.005719476656,8.205314834E-10,313.9931818
0.0064,8.033214429E-10,0.005719476658,8.205423141E-10,313.993182
0.00645,8.03332214E-10,0.005719476661,8.205531452E-10,313.9931821
0.0065,8.033429853E-10,0.005719476663,8.205639766E-10,313.9931822
0.00655,8.033537567E-10,0.005719476666,8.205748084E-10,313.9931823
0.0066,8.033645282E-10,0.005719476668,8.205856406E-10,313.9931824
0.00665,8.033752998E-10,0.005719476671,8.205964731E-10,313.9931825
0.0067,8.033860715E-10,0.005719476674,8.20607306E-10,313.9931826
0.00675,8.033968433E-10,0.005719476676,8.206181392E-10,313.9931828
0.0068,8.034076152E-10,0.005719476679,8.206289728E-10,313.9931829
0.00685,8.034183871E-10,0.005719476681,8.206398067E-10,313.993183
0.0069,8.034291592E-10,0.005719476684,8.20650641E-10,313.9931831
0.00695,8.034399314E-10,0.005719476686,8.206614756E-10,313.9931832
0.007,8.034507037E-10,0.005719476689,8.206723106E-10,313.9931833
0.00705,8.034614761E-10,0.005719476692,8.206831458E-10,313.9931835
0.0071,8.034722486E-10,0.005719476694,8.206939814E-10,313.9931836
0.00715,8.034830212E-10,0.005719476697,8.207048173E-10,313.9931837
0.0072,8.034937939E-10,0.005719476699,8.207156535E-10,313.9931838
0.00725,8.035045666E-10,0.005719476702,8.2072649E-10,313.9931839
0.0073,8.035153395E-10,0.005719476704,8.207373268E-10,313.993184
0.00735,8.035261124E-10,0.005719476707,8.207481638E-10,313.9931841
0.0074,8.035368855E-10,0.005719476709,8.207590012E-10,313.9931843
0.00745,8.035476586E-10,0.005719476712,8.207698388E-10,313.9931844
