"Time","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr"
0.0,0.317373213,-4.238830479E-5
5.0E-5,0.3173746371,-4.033322838E-5
1.0E-4,0.3173760898,-3.823833995E-5
1.5E-4,0.3173775696,-3.610570606E-5
2.0E-4,0.3173790751,-3.393743055E-5
2.5E-4,0.3173806049,-3.17356525E-5
3.0E-4,0.3173821574,-2.950254406E-5
3.5E-4,0.317383731,-2.724030838E-5
4.0E-4,0.3173853243,-2.495117738E-5
4.5E-4,0.3173869356,-2.263740958E-5
5.0E-4,0.3173885633,-2.030128787E-5
5.5E-4,0.317390206,-1.794511723E-5
6.0E-4,0.3173918618,-1.557122253E-5
6.5E-4,0.3173935293,-1.318194614E-5
7.0E-4,0.3173952067,-1.077964569E-5
7.5E-4,0.3173968924,-8.366691735E-6
8.0E-4,0.3173985848,-5.945465381E-6
8.5E-4,0.3174002821,-3.518355978E-6
9.0E-4,0.3174019827,-1.087758735E-6
9.5E-4,0.3174036849,1.343927633E-6
0.001,0.3174053871,3.77430327E-6
0.00105,0.3174070875,6.200969557E-6
0.0011,0.3174087845,8.621531467E-6
0.00115,0.3174104764,1.103359994E-5
0.0012,0.3174121615,1.343479424E-5
0.00125,0.3174138382,1.582274431E-5
0.0013,0.3174155048,1.819509309E-5
0.00135,0.3174171596,2.054949886E-5
0.0014,0.3174188011,2.288363759E-5
0.00145,0.3174204276,2.519520515E-5
0.0015,0.3174220376,2.748191968E-5
0.00155,0.3174236293,2.974152376E-5
0.0016,0.3174252013,3.197178672E-5
0.00165,0.317426752,3.417050677E-5
0.0017,0.3174282798,3.633551323E-5
0.00175,0.3174297833,3.846466866E-5
0.0018,0.317431261,4.055587097E-5
0.00185,0.3174327114,4.260705547E-5
0.0019,0.317434133,4.461619698E-5
0.00195,0.3174355246,4.658131175E-5
0.002,0.3174368846,4.850045948E-5
0.00205,0.3174382118,5.037174524E-5
0.0021,0.3174395049,5.219332128E-5
0.00215,0.3174407625,5.396338895E-5
0.0022,0.3174419834,5.568020041E-5
0.00225,0.3174431665,5.73420604E-5
0.0023,0.3174443106,5.894732786E-5
0.00235,0.3174454144,6.049441763E-5
0.0024,0.317446477,6.198180197E-5
0.00245,0.3174474973,6.340801207E-5
0.0025,0.3174484743,6.477163951E-5
0.00255,0.317449407,6.607133767E-5
0.0026,0.3174502945,6.730582305E-5
0.00265,0.3174511359,6.847387652E-5
0.0027,0.3174519303,6.957434457E-5
0.00275,0.3174526771,7.06061404E-5
0.0028,0.3174533755,7.156824505E-5
0.00285,0.3174540247,7.245970836E-5
0.0029,0.3174546242,7.327964993E-5
0.00295,0.3174551733,7.402726002E-5
0.003,0.3174556715,7.47018003E-5
0.00305,0.3174561183,7.53026046E-5
0.0031,0.3174565133,7.582907959E-5
0.00315,0.317456856,7.628070535E-5
0.0032,0.3174571462,7.665703587E-5
0.00325,0.3174573836,7.695769953E-5
0.0033,0.3174575678,7.718239943E-5
0.00335,0.3174576988,7.73309137E-5
0.0034,0.3174577764,7.740309572E-5
0.00345,0.3174578006,7.739887427E-5
0.0035,0.3174577712,7.731825358E-5
0.00355,0.3174576884,7.716131334E-5
0.0036,0.3174575522,7.692820864E-5
0.00365,0.3174573627,7.661916976E-5
0.0037,0.3174571202,7.623450202E-5
0.00375,0.3174568249,7.57745854E-5
0.0038,0.317456477,7.523987421E-5
0.00385,0.317456077,7.463089664E-5
0.0039,0.3174556251,7.39482542E-5
0.00395,0.3174551219,7.319262119E-5
0.004,0.3174545679,7.236474394E-5
0.00405,0.3174539635,7.146544016E-5
0.0041,0.3174533095,7.049559809E-5
0.00415,0.3174526064,6.945617561E-5
0.0042,0.3174518549,6.834819931E-5
0.00425,0.3174510558,6.717276348E-5
0.0043,0.3174502099,6.593102899E-5
0.00435,0.317449318,6.462422219E-5
0.0044,0.3174483809,6.325363367E-5
0.00445,0.3174473997,6.182061698E-5
0.0045,0.3174463753,6.032658729E-5
0.00455,0.3174453086,5.877301999E-5
0.0046,0.3174442008,5.716144928E-5
0.00465,0.3174430529,5.549346653E-5
0.0047,0.3174418661,5.377071886E-5
0.00475,0.3174406416,5.199490738E-5
0.0048,0.3174393805,5.016778561E-5
0.00485,0.3174380841,4.829115767E-5
0.0049,0.3174367536,4.636687652E-5
