"Time","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr"
0.0,0.3172147191,6.114509345E-5
5.0E-5,0.3172139709,5.961856283E-5
1.0E-4,0.3172131949,5.803724708E-5
1.5E-4,0.317212392,5.640270782E-5
2.0E-4,0.3172115628,5.471655918E-5
2.5E-4,0.3172107082,5.298046623E-5
3.0E-4,0.3172098291,5.11961433E-5
3.5E-4,0.3172089263,4.936535231E-5
4.0E-4,0.3172080006,4.748990101E-5
4.5E-4,0.3172070531,4.557164122E-5
5.0E-4,0.3172060847,4.361246696E-5
5.5E-4,0.3172050963,4.161431259E-5
6.0E-4,0.3172040888,3.957915092E-5
6.5E-4,0.3172030634,3.750899123E-5
7.0E-4,0.317202021,3.540587729E-5
7.5E-4,0.3172009625,3.327188536E-5
8.0E-4,0.3171998892,3.110912212E-5
8.5E-4,0.317198802,2.891972258E-5
9.0E-4,0.317197702,2.670584799E-5
9.5E-4,0.3171965903,2.446968372E-5
0.001,0.3171954681,2.221343704E-5
0.00105,0.3171943363,1.9939335E-5
0.0011,0.3171931961,1.764962221E-5
0.00115,0.3171920487,1.534655861E-5
0.0012,0.3171908952,1.303241728E-5
0.00125,0.3171897367,1.070948213E-5
0.0013,0.3171885744,8.380045721E-6
0.00135,0.3171874093,6.046406938E-6
0.0014,0.3171862428,3.710868757E-6
0.00145,0.3171850759,1.375735967E-6
0.0015,0.3171839097,-9.56687118E-7
0.00155,0.3171827455,-3.284098909E-6
0.0016,0.3171815843,-5.604202832E-6
0.00165,0.3171804274,-7.914709587E-6
0.0017,0.3171792758,-1.021333941E-5
0.00175,0.3171781307,-1.249782429E-5
0.0018,0.3171769932,-1.476591028E-5
0.00185,0.3171758645,-1.701535962E-5
0.0019,0.3171747457,-1.924395303E-5
0.00195,0.3171736379,-2.144949184E-5
0.002,0.3171725421,-2.362980019E-5
0.00205,0.3171714594,-2.578272716E-5
0.0021,0.317170391,-2.790614889E-5
0.00215,0.3171693379,-2.999797068E-5
0.0022,0.317168301,-3.205612904E-5
0.00225,0.3171672815,-3.407859373E-5
0.0023,0.3171662804,-3.606336978E-5
0.00235,0.3171652985,-3.800849943E-5
0.0024,0.317164337,-3.991206404E-5
0.00245,0.3171633968,-4.177218603E-5
0.0025,0.3171624787,-4.358703071E-5
0.00255,0.3171615837,-4.535480805E-5
0.0026,0.3171607126,-4.707377452E-5
0.00265,0.3171598664,-4.87422347E-5
0.0027,0.3171590459,-5.035854305E-5
0.00275,0.3171582518,-5.192110547E-5
0.0028,0.317157485,-5.342838087E-5
0.00285,0.3171567462,-5.487888273E-5
0.0029,0.3171560362,-5.627118051E-5
0.00295,0.3171553556,-5.76039011E-5
0.003,0.3171547051,-5.887573016E-5
0.00305,0.3171540854,-6.00854134E-5
0.0031,0.317153497,-6.123175782E-5
0.00315,0.3171529407,-6.231363291E-5
0.0032,0.3171524168,-6.332997172E-5
0.00325,0.3171519259,-6.427977194E-5
0.0033,0.3171514686,-6.516209687E-5
0.00335,0.3171510452,-6.597607636E-5
0.0034,0.3171506562,-6.672090766E-5
0.00345,0.317150302,-6.739585619E-5
0.0035,0.3171499828,-6.800025629E-5
0.00355,0.3171496992,-6.853351185E-5
