"Time","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr"
0.0,0.317420324,2.598957056E-5
5.0E-5,0.3174189789,2.373533558E-5
1.0E-4,0.3174176191,2.145768003E-5
1.5E-4,0.3174162459,1.915885218E-5
2.0E-4,0.3174148606,1.684112112E-5
2.5E-4,0.3174134647,1.450677455E-5
3.0E-4,0.3174120595,1.21581165E-5
3.5E-4,0.3174106464,9.797465057E-6
4.0E-4,0.3174092268,7.427150088E-6
4.5E-4,0.3174078021,5.049510936E-6
5.0E-4,0.3174063737,2.666894102E-6
5.5E-4,0.317404943,2.816509426E-7
6.0E-4,0.3174035114,-2.103864669E-6
6.5E-4,0.3174020804,-4.487298638E-6
7.0E-4,0.3174006513,-6.866299008E-6
7.5E-4,0.3173992255,-9.238518238E-6
8.0E-4,0.3173978045,-1.160161556E-5
8.5E-4,0.3173963897,-1.395325925E-5
9.0E-4,0.3173949825,-1.629112896E-5
9.5E-4,0.3173935842,-1.8612918E-5
0.001,0.3173921962,-2.091633558E-5
0.00105,0.3173908199,-2.31991091E-5
0.0011,0.3173894567,-2.54589864E-5
0.00115,0.3173881078,-2.769373796E-5
0.0012,0.3173867748,-2.990115907E-5
0.00125,0.3173854587,-3.207907207E-5
0.0013,0.317384161,-3.422532845E-5
0.00135,0.3173828829,-3.633781097E-5
0.0014,0.3173816257,-3.841443576E-5
0.00145,0.3173803907,-4.045315436E-5
0.0015,0.317379179,-4.245195576E-5
0.00155,0.3173779918,-4.440886833E-5
0.0016,0.3173768303,-4.632196184E-5
0.00165,0.3173756957,-4.818934928E-5
0.0017,0.3173745891,-5.000918879E-5
0.00175,0.3173735115,-5.17796854E-5
0.0018,0.3173724641,-5.349909288E-5
0.00185,0.3173714478,-5.51657154E-5
0.0019,0.3173704637,-5.677790919E-5
0.00195,0.3173695127,-5.833408424E-5
0.002,0.3173685958,-5.983270576E-5
0.00205,0.3173677139,-6.127229576E-5
0.0021,0.3173668678,-6.265143449E-5
0.00215,0.3173660585,-6.396876181E-5
0.0022,0.3173652865,-6.522297857E-5
0.00225,0.3173645529,-6.641284786E-5
0.0023,0.3173638582,-6.753719622E-5
0.00235,0.3173632031,-6.859491484E-5
0.0024,0.3173625884,-6.95849606E-5
0.00245,0.3173620145,-7.050635715E-5
0.0025,0.3173614821,-7.135819579E-5
0.00255,0.3173609917,-7.213963648E-5
0.0026,0.3173605438,-7.284990855E-5
0.00265,0.3173601388,-7.348831152E-5
0.0027,0.3173597772,-7.405421581E-5
0.00275,0.3173594592,-7.45470633E-5
0.0028,0.3173591852,-7.496636791E-5
0.00285,0.3173589554,-7.531171609E-5
0.0029,0.3173587701,-7.558276721E-5
0.00295,0.3173586295,-7.577925389E-5
