0 [1.00e+00, 1.00e+00]
200 [1.02e+00, 1.00e+00]
400 [1.04e+00, 1.00e+00]
600 [1.06e+00, 1.00e+00]
800 [1.08e+00, 1.00e+00]
1000 [1.10e+00, 1.00e+00]
1200 [1.12e+00, 1.00e+00]
1400 [1.14e+00, 1.00e+00]
1600 [1.16e+00, 1.00e+00]
1800 [1.18e+00, 1.00e+00]
2000 [1.20e+00, 1.00e+00]
2200 [1.22e+00, 1.00e+00]
2400 [1.24e+00, 1.00e+00]
2600 [1.26e+00, 1.00e+00]
2800 [1.28e+00, 1.00e+00]
3000 [1.30e+00, 1.00e+00]
3200 [1.32e+00, 1.00e+00]
3400 [1.34e+00, 1.00e+00]
3600 [1.36e+00, 1.00e+00]
3800 [1.38e+00, 1.00e+00]
4000 [1.40e+00, 1.00e+00]
4200 [1.42e+00, 1.00e+00]
4400 [1.44e+00, 1.00e+00]
4600 [1.46e+00, 1.00e+00]
4800 [1.48e+00, 1.00e+00]
5000 [1.50e+00, 1.00e+00]
5200 [1.52e+00, 1.00e+00]
