0 [1.00e+00, 1.00e+00]
200 [1.00e+00, 9.91e-01]
400 [1.00e+00, 9.91e-01]
600 [1.00e+00, 9.91e-01]
800 [1.00e+00, 9.91e-01]
1000 [1.00e+00, 9.91e-01]
1200 [1.00e+00, 9.91e-01]
1400 [1.00e+00, 9.91e-01]
1600 [1.00e+00, 9.91e-01]
1800 [1.00e+00, 9.91e-01]
2000 [1.00e+00, 9.91e-01]
2200 [1.00e+00, 9.91e-01]
2400 [1.00e+00, 9.91e-01]
2600 [1.00e+00, 9.91e-01]
2800 [9.99e-01, 9.89e-01]
3000 [9.99e-01, 9.89e-01]
3200 [9.98e-01, 9.87e-01]
3400 [9.97e-01, 9.84e-01]
3600 [9.97e-01, 9.84e-01]
3800 [9.97e-01, 9.84e-01]
4000 [9.97e-01, 9.84e-01]
4200 [9.80e-01, 9.30e-01]
4400 [9.80e-01, 9.30e-01]
4600 [9.80e-01, 9.30e-01]
4800 [9.80e-01, 9.30e-01]
5000 [9.80e-01, 9.30e-01]
5200 [9.80e-01, 9.30e-01]
5400 [9.80e-01, 9.30e-01]
5600 [9.80e-01, 9.30e-01]
5800 [9.80e-01, 9.30e-01]
6000 [9.80e-01, 9.30e-01]
6200 [9.80e-01, 9.30e-01]
6400 [9.80e-01, 9.30e-01]
6600 [9.80e-01, 9.30e-01]
6800 [9.77e-01, 9.17e-01]
7000 [9.76e-01, 9.14e-01]
7200 [9.76e-01, 9.14e-01]
7400 [9.76e-01, 9.14e-01]
7600 [9.72e-01, 8.93e-01]
7800 [9.72e-01, 8.93e-01]
8000 [9.72e-01, 8.93e-01]
8200 [9.72e-01, 8.93e-01]
8400 [9.68e-01, 8.76e-01]
8600 [9.68e-01, 8.76e-01]
8800 [9.68e-01, 8.76e-01]
9000 [9.65e-01, 8.59e-01]
9200 [9.65e-01, 8.59e-01]
9400 [9.65e-01, 8.59e-01]
9600 [9.54e-01, 8.05e-01]
9800 [9.54e-01, 8.05e-01]
10000 [9.54e-01, 8.05e-01]
10200 [9.54e-01, 8.05e-01]
10400 [9.54e-01, 8.05e-01]
10600 [9.54e-01, 8.05e-01]
10800 [9.54e-01, 8.05e-01]
11000 [8.92e-01, 6.80e-01]
11200 [8.92e-01, 6.80e-01]
11400 [8.92e-01, 6.80e-01]
11600 [8.92e-01, 6.80e-01]
11800 [8.92e-01, 6.80e-01]
12000 [8.92e-01, 6.80e-01]
12200 [8.92e-01, 6.80e-01]
12400 [8.92e-01, 6.80e-01]
12600 [8.92e-01, 6.80e-01]
12800 [8.92e-01, 6.80e-01]
13000 [8.92e-01, 6.80e-01]
13200 [8.92e-01, 6.80e-01]
13400 [8.92e-01, 6.80e-01]
13600 [8.92e-01, 6.80e-01]
13800 [8.92e-01, 6.80e-01]
14000 [8.92e-01, 6.80e-01]
14200 [8.54e-01, 5.89e-01]
14400 [8.54e-01, 5.89e-01]
14600 [8.54e-01, 5.89e-01]
14800 [8.54e-01, 5.89e-01]
15000 [8.54e-01, 5.89e-01]
15200 [8.54e-01, 5.89e-01]
15400 [8.54e-01, 5.89e-01]
15600 [8.54e-01, 5.89e-01]
15800 [8.54e-01, 5.89e-01]
16000 [8.54e-01, 5.89e-01]
16200 [8.54e-01, 5.87e-01]
16400 [8.54e-01, 5.87e-01]
16600 [8.41e-01, 5.33e-01]
16800 [8.40e-01, 5.29e-01]
17000 [8.40e-01, 5.29e-01]
17200 [8.40e-01, 5.29e-01]
17400 [8.40e-01, 5.29e-01]
17600 [8.40e-01, 5.29e-01]
17800 [8.39e-01, 5.23e-01]
18000 [8.39e-01, 5.23e-01]
18200 [7.39e-01, 3.50e-01]
18400 [7.39e-01, 3.49e-01]
18600 [7.39e-01, 3.49e-01]
18800 [7.39e-01, 3.49e-01]
19000 [7.39e-01, 3.49e-01]
19200 [7.39e-01, 3.49e-01]
19400 [7.39e-01, 3.49e-01]
19600 [7.39e-01, 3.49e-01]
19800 [7.39e-01, 3.49e-01]
20000 [7.39e-01, 3.49e-01]
20200 [7.39e-01, 3.48e-01]
20400 [7.39e-01, 3.48e-01]
20600 [7.39e-01, 3.46e-01]
20800 [7.39e-01, 3.46e-01]
21000 [7.39e-01, 3.46e-01]
21200 [7.39e-01, 3.38e-01]
21400 [7.39e-01, 3.38e-01]
21600 [7.39e-01, 3.38e-01]
21800 [7.39e-01, 3.33e-01]
22000 [7.39e-01, 3.32e-01]
22200 [7.39e-01, 3.32e-01]
22400 [7.40e-01, 3.08e-01]
22600 [7.40e-01, 3.08e-01]
22800 [7.40e-01, 2.96e-01]
23000 [7.41e-01, 2.96e-01]
23200 [7.41e-01, 2.96e-01]
23400 [7.41e-01, 2.78e-01]
23600 [7.41e-01, 2.75e-01]
23800 [7.41e-01, 2.69e-01]
24000 [7.41e-01, 2.54e-01]
24200 [7.41e-01, 2.47e-01]
24400 [7.41e-01, 2.43e-01]
24600 [7.40e-01, 2.27e-01]
24800 [7.40e-01, 2.19e-01]
25000 [7.40e-01, 2.09e-01]
25200 [7.40e-01, 2.02e-01]
25400 [7.40e-01, 1.92e-01]
25600 [7.40e-01, 1.86e-01]
25800 [7.39e-01, 1.75e-01]
26000 [6.77e-01, 1.05e-01]
26200 [6.69e-01, 1.06e-01]
26400 [6.69e-01, 1.06e-01]
26600 [6.69e-01, 1.06e-01]
26800 [6.69e-01, 1.06e-01]
27000 [6.69e-01, 1.06e-01]
27200 [6.69e-01, 1.06e-01]
27400 [6.69e-01, 1.06e-01]
27600 [6.69e-01, 1.06e-01]
27800 [6.69e-01, 1.06e-01]
28000 [6.69e-01, 1.06e-01]
28200 [6.69e-01, 1.06e-01]
28400 [6.69e-01, 1.06e-01]
28600 [6.69e-01, 1.06e-01]
28800 [6.69e-01, 1.06e-01]
29000 [6.69e-01, 1.06e-01]
29200 [6.69e-01, 1.06e-01]
29400 [6.69e-01, 1.06e-01]
29600 [6.69e-01, 1.05e-01]
29800 [6.69e-01, 1.05e-01]
30000 [6.69e-01, 1.05e-01]
30200 [6.69e-01, 1.05e-01]
30400 [6.69e-01, 1.05e-01]
30600 [6.69e-01, 1.05e-01]
30800 [6.69e-01, 1.04e-01]
31000 [6.69e-01, 1.04e-01]
31200 [6.69e-01, 1.04e-01]
31400 [6.69e-01, 1.02e-01]
31600 [6.69e-01, 1.02e-01]
31800 [6.69e-01, 1.00e-01]
32000 [6.69e-01, 1.00e-01]
32200 [6.69e-01, 9.97e-02]
32400 [6.69e-01, 9.82e-02]
32600 [6.69e-01, 9.76e-02]
32800 [6.69e-01, 9.58e-02]
33000 [6.69e-01, 9.45e-02]
33200 [6.69e-01, 9.44e-02]
33400 [6.69e-01, 9.18e-02]
33600 [6.69e-01, 9.18e-02]
33800 [6.69e-01, 8.94e-02]
34000 [6.69e-01, 8.72e-02]
34200 [6.69e-01, 8.67e-02]
34400 [6.69e-01, 8.46e-02]
34600 [6.69e-01, 8.32e-02]
34800 [6.69e-01, 8.08e-02]
35000 [6.69e-01, 7.97e-02]
35200 [6.69e-01, 7.77e-02]
