0 [1.00e+00, 1.00e+00]
200 [9.81e-01, 9.32e-01]
400 [9.80e-01, 9.04e-01]
600 [9.70e-01, 8.97e-01]
800 [9.58e-01, 8.91e-01]
1000 [9.45e-01, 8.84e-01]
1200 [9.29e-01, 8.77e-01]
1400 [9.12e-01, 8.70e-01]
1600 [8.94e-01, 8.64e-01]
1800 [8.74e-01, 8.59e-01]
2000 [8.55e-01, 8.54e-01]
2200 [8.35e-01, 8.42e-01]
2400 [8.11e-01, 8.28e-01]
2600 [7.87e-01, 8.14e-01]
2800 [7.65e-01, 8.02e-01]
3000 [7.45e-01, 7.94e-01]
3200 [7.28e-01, 7.89e-01]
3400 [7.14e-01, 7.87e-01]
3600 [7.04e-01, 7.88e-01]
3800 [6.95e-01, 7.93e-01]
4000 [6.89e-01, 8.01e-01]
4200 [6.85e-01, 8.13e-01]
4400 [6.82e-01, 8.27e-01]
4600 [6.80e-01, 8.42e-01]
4800 [6.78e-01, 8.60e-01]
5000 [6.77e-01, 8.78e-01]
5200 [6.75e-01, 8.97e-01]
5400 [6.74e-01, 9.17e-01]
5600 [6.73e-01, 9.38e-01]
5800 [6.73e-01, 9.58e-01]
6000 [6.72e-01, 9.80e-01]
6200 [6.71e-01, 1.00e+00]
6400 [6.70e-01, 1.02e+00]
6600 [6.69e-01, 1.04e+00]
6800 [6.68e-01, 1.07e+00]
7000 [6.67e-01, 1.09e+00]
7200 [6.66e-01, 1.11e+00]
7400 [6.65e-01, 1.13e+00]
7600 [6.64e-01, 1.16e+00]
7800 [6.63e-01, 1.18e+00]
8000 [6.62e-01, 1.20e+00]
8200 [6.61e-01, 1.22e+00]
8400 [6.60e-01, 1.24e+00]
8600 [6.59e-01, 1.27e+00]
8800 [6.58e-01, 1.29e+00]
9000 [6.57e-01, 1.31e+00]
9200 [6.56e-01, 1.33e+00]
9400 [6.55e-01, 1.36e+00]
9600 [6.54e-01, 1.38e+00]
9800 [6.53e-01, 1.40e+00]
10000 [6.52e-01, 1.42e+00]
10200 [6.51e-01, 1.45e+00]
10400 [6.49e-01, 1.47e+00]
10600 [6.48e-01, 1.49e+00]
10800 [6.47e-01, 1.51e+00]
11000 [6.46e-01, 1.54e+00]
11200 [6.45e-01, 1.56e+00]
11400 [6.44e-01, 1.58e+00]
11600 [6.43e-01, 1.60e+00]
11800 [6.42e-01, 1.63e+00]
12000 [6.41e-01, 1.65e+00]
12200 [6.40e-01, 1.67e+00]
12400 [6.39e-01, 1.69e+00]
12600 [6.38e-01, 1.72e+00]
12800 [6.37e-01, 1.74e+00]
13000 [6.36e-01, 1.76e+00]
13200 [6.35e-01, 1.78e+00]
13400 [6.34e-01, 1.80e+00]
13600 [6.33e-01, 1.82e+00]
13800 [6.32e-01, 1.84e+00]
14000 [6.31e-01, 1.87e+00]
14200 [6.30e-01, 1.89e+00]
14400 [6.29e-01, 1.91e+00]
14600 [6.28e-01, 1.93e+00]
14800 [6.27e-01, 1.95e+00]
15000 [6.26e-01, 1.97e+00]
15200 [6.26e-01, 1.99e+00]
15400 [6.25e-01, 2.01e+00]
15600 [6.24e-01, 2.03e+00]
15800 [6.23e-01, 2.05e+00]
16000 [6.22e-01, 2.07e+00]
16200 [6.21e-01, 2.09e+00]
16400 [6.20e-01, 2.11e+00]
16600 [6.19e-01, 2.13e+00]
16800 [6.19e-01, 2.14e+00]
17000 [6.18e-01, 2.16e+00]
17200 [6.17e-01, 2.18e+00]
17400 [6.16e-01, 2.20e+00]
17600 [6.15e-01, 2.22e+00]
17800 [6.15e-01, 2.24e+00]
18000 [6.14e-01, 2.25e+00]
18200 [6.13e-01, 2.27e+00]
18400 [6.13e-01, 2.29e+00]
18600 [6.12e-01, 2.31e+00]
18800 [6.11e-01, 2.32e+00]
19000 [6.10e-01, 2.34e+00]
19200 [6.10e-01, 2.36e+00]
19400 [6.09e-01, 2.37e+00]
19600 [6.08e-01, 2.39e+00]
19800 [6.07e-01, 2.41e+00]
20000 [6.07e-01, 2.42e+00]
20200 [6.06e-01, 2.44e+00]
20400 [6.05e-01, 2.46e+00]
20600 [6.05e-01, 2.47e+00]
20800 [6.04e-01, 2.49e+00]
21000 [6.04e-01, 2.50e+00]
21200 [6.03e-01, 2.52e+00]
21400 [6.02e-01, 2.54e+00]
21600 [6.02e-01, 2.55e+00]
21800 [6.01e-01, 2.56e+00]
22000 [6.00e-01, 2.58e+00]
22200 [5.99e-01, 2.59e+00]
22400 [5.99e-01, 2.61e+00]
22600 [5.98e-01, 2.62e+00]
22800 [5.97e-01, 2.64e+00]
23000 [5.97e-01, 2.65e+00]
23200 [5.96e-01, 2.67e+00]
23400 [5.95e-01, 2.68e+00]
23600 [5.94e-01, 2.70e+00]
23800 [5.94e-01, 2.71e+00]
24000 [5.93e-01, 2.73e+00]
24200 [5.93e-01, 2.74e+00]
24400 [5.92e-01, 2.76e+00]
24600 [5.91e-01, 2.77e+00]
24800 [5.91e-01, 2.78e+00]
25000 [5.90e-01, 2.80e+00]
25200 [5.90e-01, 2.81e+00]
25400 [5.89e-01, 2.83e+00]
25600 [5.88e-01, 2.84e+00]
25800 [5.88e-01, 2.85e+00]
26000 [5.87e-01, 2.87e+00]
26200 [5.87e-01, 2.88e+00]
26400 [5.86e-01, 2.89e+00]
26600 [5.86e-01, 2.91e+00]
26800 [5.85e-01, 2.92e+00]
27000 [5.85e-01, 2.93e+00]
27200 [5.84e-01, 2.95e+00]
27400 [5.83e-01, 2.96e+00]
27600 [5.83e-01, 2.97e+00]
27800 [5.82e-01, 2.99e+00]
28000 [5.82e-01, 3.00e+00]
28200 [5.81e-01, 3.01e+00]
28400 [5.81e-01, 3.02e+00]
28600 [5.80e-01, 3.04e+00]
28800 [5.80e-01, 3.05e+00]
29000 [5.79e-01, 3.06e+00]
29200 [5.79e-01, 3.07e+00]
29400 [5.78e-01, 3.09e+00]
29600 [5.78e-01, 3.10e+00]
29800 [5.77e-01, 3.11e+00]
30000 [5.77e-01, 3.12e+00]
30200 [5.76e-01, 3.13e+00]
30400 [5.76e-01, 3.14e+00]
30600 [5.75e-01, 3.16e+00]
30800 [5.75e-01, 3.17e+00]
31000 [5.74e-01, 3.18e+00]
31200 [5.74e-01, 3.19e+00]
31400 [5.73e-01, 3.20e+00]
31600 [5.73e-01, 3.21e+00]
31800 [5.72e-01, 3.22e+00]
32000 [5.72e-01, 3.23e+00]
32200 [5.71e-01, 3.24e+00]
32400 [5.71e-01, 3.26e+00]
32600 [5.70e-01, 3.27e+00]
32800 [5.70e-01, 3.28e+00]
33000 [5.69e-01, 3.29e+00]
33200 [5.69e-01, 3.30e+00]
33400 [5.69e-01, 3.31e+00]
33600 [5.68e-01, 3.32e+00]
33800 [5.68e-01, 3.33e+00]
34000 [5.67e-01, 3.34e+00]
34200 [5.67e-01, 3.35e+00]
34400 [5.66e-01, 3.36e+00]
34600 [5.66e-01, 3.37e+00]
34800 [5.66e-01, 3.38e+00]
35000 [5.65e-01, 3.39e+00]
35200 [5.65e-01, 3.40e+00]
35400 [5.64e-01, 3.41e+00]
35600 [5.64e-01, 3.42e+00]
35800 [5.64e-01, 3.43e+00]
36000 [5.63e-01, 3.44e+00]
36200 [5.63e-01, 3.45e+00]
36400 [5.62e-01, 3.46e+00]
36600 [5.62e-01, 3.47e+00]
36800 [5.62e-01, 3.48e+00]
37000 [5.61e-01, 3.48e+00]
37200 [5.61e-01, 3.49e+00]
37400 [5.60e-01, 3.50e+00]
37600 [5.60e-01, 3.51e+00]
37800 [5.60e-01, 3.52e+00]
38000 [5.59e-01, 3.53e+00]
38200 [5.59e-01, 3.54e+00]
38400 [5.58e-01, 3.55e+00]
38600 [5.58e-01, 3.56e+00]
38800 [5.58e-01, 3.57e+00]
39000 [5.57e-01, 3.58e+00]
39200 [5.57e-01, 3.58e+00]
39400 [5.57e-01, 3.59e+00]
39600 [5.56e-01, 3.60e+00]
39800 [5.56e-01, 3.61e+00]
40000 [5.55e-01, 3.62e+00]
40200 [5.55e-01, 3.63e+00]
40400 [5.55e-01, 3.64e+00]
40600 [5.54e-01, 3.64e+00]
40800 [5.54e-01, 3.65e+00]
41000 [5.54e-01, 3.66e+00]
41200 [5.53e-01, 3.67e+00]
41400 [5.53e-01, 3.68e+00]
41600 [5.53e-01, 3.69e+00]
41800 [5.52e-01, 3.69e+00]
42000 [5.52e-01, 3.70e+00]
42200 [5.52e-01, 3.71e+00]
42400 [5.51e-01, 3.72e+00]
42600 [5.51e-01, 3.73e+00]
42800 [5.51e-01, 3.73e+00]
43000 [5.50e-01, 3.74e+00]
43200 [5.50e-01, 3.75e+00]
43400 [5.50e-01, 3.76e+00]
43600 [5.49e-01, 3.77e+00]
43800 [5.49e-01, 3.77e+00]
44000 [5.49e-01, 3.78e+00]
44200 [5.48e-01, 3.79e+00]
44400 [5.48e-01, 3.80e+00]
44600 [5.48e-01, 3.81e+00]
44800 [5.48e-01, 3.81e+00]
45000 [5.47e-01, 3.82e+00]
45200 [5.47e-01, 3.83e+00]
45400 [5.47e-01, 3.83e+00]
45600 [5.46e-01, 3.84e+00]
45800 [5.46e-01, 3.85e+00]
46000 [5.46e-01, 3.86e+00]
46200 [5.45e-01, 3.86e+00]
46400 [5.45e-01, 3.87e+00]
